,who,was,on,celeron,'s,expedition,?
céloron,0.19246281683444977,0.2376924753189087,0.19579695165157318,0.4971884787082672,0.03577094525098801,0.21526706218719482,0.21622054278850555
's,0.05599616840481758,0.008974763564765453,0.0026888418942689896,0.021033210679888725,0.9999999403953552,0.031321313232183456,-0.023395681753754616
expedition,0.26266250014305115,0.2416619211435318,0.21539552509784698,0.18103016912937164,0.031321313232183456,1.0000001192092896,0.10355690121650696
force,0.19492056965827942,0.20879842340946198,0.1764998733997345,0.18388289213180542,0.020782919600605965,0.2360467165708542,0.1650998443365097
consisted,0.13768917322158813,0.3243633210659027,0.261086106300354,0.12559223175048828,0.019784079864621162,0.20059016346931458,0.01278369128704071
of,0.2827862501144409,0.4069072902202606,0.3966929316520691,0.24308432638645172,-0.03817026689648628,0.18468376994132996,0.1826142966747284
about,0.3477841317653656,0.2577359974384308,0.322975218296051,0.13766294717788696,-0.020936643704771996,0.19075018167495728,0.302409827709198
200,-0.22405165433883667,-0.17400217056274414,-0.1306719034910202,-0.10961421579122543,-0.023642173036932945,-0.16906380653381348,-0.22913911938667297
troupes,0.2672475278377533,0.24742178618907928,0.21636568009853363,0.22551530599594116,0.05949437990784645,0.24093066155910492,0.14822158217430115
de,0.18189555406570435,0.20575080811977386,0.1432282030582428,0.284030020236969,0.018396059051156044,0.22248412668704987,0.11064168810844421
la,0.08889032155275345,0.1975202113389969,0.14670400321483612,0.28571343421936035,0.023460369557142258,0.20180743932724,0.16701938211917877
marine,0.19449232518672943,0.14990459382534027,0.18864913284778595,0.23338568210601807,-0.027492959052324295,0.26694241166114807,0.1407923698425293
and,0.41279885172843933,0.3740963041782379,0.4077630043029785,0.29231131076812744,0.06895173341035843,0.21988366544246674,0.20544172823429108
30,0.0856964960694313,0.08394331485033035,0.0936402678489685,0.06571724265813828,-0.03394532576203346,0.017926711589097977,-0.08261742442846298
indians,0.3267531394958496,0.207571879029274,0.08200109750032425,0.09593307226896286,0.07308351993560791,0.314456045627594,0.13372346758842468
.,0.3541337847709656,0.40146201848983765,0.49257001280784607,0.23717518150806427,-0.003708066651597619,0.17779675126075745,0.4130953550338745
,who,was,on,celeron,'s,expedition,?
there,0.2844357192516327,0.24909798800945282,0.3521401882171631,0.13246478140354156,-0.04860968142747879,0.09641105681657791,0.29405656456947327
céloron,0.19246281683444977,0.2376924753189087,0.19579695165157318,0.4971884787082672,0.03577094525098801,0.21526706218719482,0.21622054278850555
buried,0.19468241930007935,0.28686758875846863,0.21917641162872314,0.13267414271831512,-0.04317710921168327,0.1587066799402237,0.18487362563610077
lead,0.19455209374427795,0.1970783770084381,0.18420197069644928,0.09714978188276291,-0.057115159928798676,0.20348072052001953,0.14552436769008636
plates,0.10783727467060089,0.15388374030590057,0.18826749920845032,0.28049609065055847,0.062453415244817734,0.13398303091526031,0.15258446335792542
engraved,0.22060006856918335,0.2676674723625183,0.22603967785835266,0.16348658502101898,0.04045955836772919,0.24946491420269012,0.1466713845729828
with,0.3282766342163086,0.27411898970603943,0.40749499201774597,0.2736569046974182,-0.04624466598033905,0.15766257047653198,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,0.5107308030128479,0.2833483815193176,-0.01540423184633255,0.26213887333869934,0.22068053483963013
french,0.2756427824497223,0.2523815333843231,0.1382952481508255,0.2268296331167221,0.0634014755487442,0.15031877160072327,0.1386883556842804
claim,0.26877546310424805,0.15881295502185822,0.21378369629383087,0.022236498072743416,-0.01196212600916624,0.25871163606643677,0.2665664851665497
to,0.42656609416007996,0.3636345863342285,0.41031414270401,0.22752350568771362,0.03782717138528824,0.2431555688381195,0.29463258385658264
the,0.3733934462070465,0.48711544275283813,0.5107308030128479,0.2833483815193176,-0.01540423184633255,0.26213887333869934,0.22068053483963013
ohio,0.13413026928901672,0.207236185669899,0.16643011569976807,0.16339963674545288,0.02506769821047783,0.14209099113941193,0.10064033418893814
country,0.22791717946529388,0.24557247757911682,0.21584933996200562,0.09659630060195923,0.0747150406241417,0.20510128140449524,0.12647280097007751
.,0.3541337847709656,0.40146201848983765,0.49257001280784607,0.23717518150806427,-0.003708066651597619,0.17779675126075745,0.4130953550338745
