,how,many,warriors,did,toghrul,provide,temüjin,when,his,wife,was,captured,?
temüjin,0.3138812780380249,0.325673371553421,0.31508776545524597,0.3476600646972656,0.3945753872394562,0.25128036737442017,1.0,0.38259974122047424,0.4682264029979706,0.28186294436454773,0.38774195313453674,0.32279106974601746,0.21090233325958252
turned,0.2075119912624359,0.2971467673778534,0.1731128841638565,0.3006841838359833,0.10580815374851227,0.18552441895008087,0.3279288411140442,0.32919174432754517,0.31171542406082153,0.15230794250965118,0.3994938135147095,0.29703783988952637,0.130948007106781
to,0.44169697165489197,0.40243685245513916,0.22249600291252136,0.4452643394470215,0.29692113399505615,0.3479624092578888,0.36858871579170227,0.5423505902290344,0.3715193271636963,0.20460014045238495,0.3636345863342285,0.22367680072784424,0.29463258385658264
toghrul,0.23643364012241364,0.26665425300598145,0.18616759777069092,0.1954176276922226,0.9999998807907104,0.3046012222766876,0.3945753872394562,0.17944321036338806,0.22943545877933502,0.1864813268184662,0.2445739507675171,0.19381621479988098,0.24630779027938843
for,0.3308170735836029,0.40972793102264404,0.21939313411712646,0.318512886762619,0.28215083479881287,0.42299434542655945,0.2671065032482147,0.43402108550071716,0.39312878251075745,0.1919161081314087,0.3863949179649353,0.13360175490379333,0.264628142118454
support,0.28316521644592285,0.25043240189552307,0.15864405035972595,0.2911772131919861,0.24077683687210083,0.44317498803138733,0.2898428738117218,0.19993360340595245,0.20473214983940125,0.13702531158924103,0.2208256870508194,0.1328296959400177,0.22626608610153198
",",0.22659391164779663,0.40610817074775696,0.22148914635181427,0.3015086054801941,0.38870057463645935,0.20966707170009613,0.3484273850917816,0.36674630641937256,0.3378419280052185,0.27755871415138245,0.45456063747406006,0.27242976427078247,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.1800636202096939,0.34479495882987976,0.3432293236255646,0.32960009574890137,0.3789469599723816,0.4716290831565857,0.4234102666378021,0.284628689289093,0.3740963041782379,0.23562167584896088,0.20544172823429108
in,0.2601168751716614,0.41474202275276184,0.13349492847919464,0.2593238651752472,0.31668028235435486,0.1910654902458191,0.3433155417442322,0.4431333839893341,0.3598145842552185,0.19467613101005554,0.45514053106307983,0.27827006578445435,0.20430970191955566
response,0.34960323572158813,0.23894017934799194,0.07707007229328156,0.23455248773097992,0.18024030327796936,0.29717549681663513,0.20714229345321655,0.35236990451812744,0.17898187041282654,0.1321895569562912,0.2303798496723175,0.1357898712158203,0.2007838636636734
