,what,was,the,name,of,the,first,building,built,on,campus,grounds,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.49448907375335693,0.3159640431404114,0.2950156033039093,0.5107308030128479,0.20087170600891113,0.2690851390361786,0.22068053483963013
original,0.24651947617530823,0.32203906774520874,0.4037000238895416,0.29879865050315857,0.30228546261787415,0.4037000238895416,0.3307017385959625,0.2584973871707916,0.22398509085178375,0.21149557828903198,0.16787558794021606,0.1907166689634323,0.17256900668144226
physical,0.27895045280456543,0.15173566341400146,0.20230218768119812,0.033469535410404205,0.3124530017375946,0.20230218768119812,0.16885176301002502,0.12502408027648926,0.08904312551021576,0.19125182926654816,0.18890579044818878,0.13678032159805298,0.11781801283359528
campus,0.13670016825199127,0.271132230758667,0.20087170600891113,0.11855568736791611,0.22980211675167084,0.20087170600891113,0.14150583744049072,0.36256664991378784,0.3217719495296478,0.2515745162963867,1.0,0.3106050193309784,0.06952692568302155
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.5022147297859192,0.237406387925148,0.3424932360649109,0.3909217119216919,0.271132230758667,0.2614538073539734,0.18412111699581146
financed,0.1939217448234558,0.3189451992511749,0.27420926094055176,0.15780489146709442,0.3334687054157257,0.27420926094055176,0.2616565227508545,0.32496610283851624,0.325466126203537,0.19052426517009735,0.22107741236686707,0.1977280229330063,0.1003001257777214
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.3877052962779999,0.20441755652427673,0.22056880593299866,0.33887791633605957,0.11948434263467789,0.13694457709789276,0.17966607213020325
donations,0.24264419078826904,0.201571986079216,0.2718135714530945,0.16085472702980042,0.2541070878505707,0.2718135714530945,0.20151816308498383,0.25566035509109497,0.20689505338668823,0.26682910323143005,0.26073259115219116,0.2753123939037323,0.2354247123003006
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.40150508284568787,0.23348960280418396,0.20497049391269684,0.15788282454013824,0.36926645040512085,0.18000026047229767,0.17019647359848022,0.19969791173934937
wealthy,0.1760208159685135,0.26133468747138977,0.2220325618982315,0.1330925077199936,0.2134784311056137,0.2220325618982315,0.13861872255802155,0.1990109235048294,0.2959674298763275,0.11311256885528564,0.18681755661964417,0.20951341092586517,0.07667969912290573
