,what,tribes,were,the,romans,fearful,would,invade,from,the,north,?
the,0.42745697498321533,0.26830655336380005,0.3906462490558624,1.0,0.2908686399459839,0.221258282661438,0.4133751392364502,0.3208954632282257,0.40150508284568787,1.0,0.36298373341560364,0.22068053483963013
extent,0.369102418422699,0.22259259223937988,0.15431098639965057,0.2727625370025635,0.22909902036190033,0.13807012140750885,0.3039941191673279,0.2418254017829895,0.21519839763641357,0.2727625370025635,0.17235325276851654,0.1940663903951645
of,0.33290785551071167,0.21502000093460083,0.34038281440734863,0.733189046382904,0.2405557483434677,0.2266579270362854,0.3353942930698395,0.26843005418777466,0.4249346852302551,0.733189046382904,0.3604778051376343,0.1826142966747284
hadrian,0.19138076901435852,0.2839658558368683,0.19723188877105713,0.2668677270412445,0.5236251950263977,0.17772120237350464,0.18543602526187897,0.2576495409011841,0.16811250150203705,0.2668677270412445,0.24707186222076416,0.16117039322853088
's,0.02692362666130066,0.045371316373348236,0.007088581565767527,-0.01540423184633255,0.11780223250389099,0.06232190132141113,0.036968596279621124,-0.05694495141506195,-0.01936490088701248,-0.01540423184633255,0.06196961551904678,-0.023395681753754616
wall,0.164457768201828,0.11775360256433487,0.17470213770866394,0.3003387749195099,0.24808479845523834,0.17803630232810974,0.19978411495685577,0.2110060304403305,0.22894826531410217,0.3003387749195099,0.23734554648399353,0.06349854171276093
was,0.22111038863658905,0.16813719272613525,0.590133786201477,0.48711544275283813,0.26076552271842957,0.2291972041130066,0.41663143038749695,0.20349261164665222,0.31171464920043945,0.48711544275283813,0.29020047187805176,0.18412111699581146
73,0.06067493557929993,0.017055556178092957,-0.07304934412240982,0.01825747825205326,-0.024635909125208855,0.007327064871788025,0.027695052325725555,-0.028992628678679466,0.007397965062409639,0.01825747825205326,-0.00767102837562561,-0.079054094851017
miles,0.1893789917230606,0.15644794702529907,0.16204240918159485,0.25706055760383606,0.21803127229213715,0.14147230982780457,0.13924895226955414,0.16062505543231964,0.21209825575351715,0.25706055760383606,0.34716692566871643,0.09363767504692078
(,0.2411840260028839,0.10183855146169662,0.14743882417678833,0.33289089798927307,0.08486215025186539,0.14157429337501526,0.21630488336086273,0.19281283020973206,0.25806233286857605,0.33289089798927307,0.20408999919891357,0.40561532974243164
117,0.0027294973842799664,0.12159283459186554,0.1091960221529007,-0.02223125845193863,0.03642021864652634,0.16229088604450226,0.0028712418861687183,0.06058814749121666,-0.015732787549495697,-0.02223125845193863,0.013236955739557743,-0.0430130697786808
km,0.1805391013622284,0.07816743850708008,0.16988182067871094,0.21376769244670868,0.21506774425506592,0.08147437870502472,0.084450863301754,0.17412620782852173,0.21550244092941284,0.21376769244670868,0.3494616746902466,0.08180338144302368
),0.26259949803352356,0.09287569671869278,0.1566188633441925,0.3456730246543884,0.09184587746858597,0.1508498191833496,0.2093871831893921,0.17133326828479767,0.2672361731529236,0.3456730246543884,0.19693730771541595,0.42300865054130554
",",0.3087472915649414,0.19590550661087036,0.36755475401878357,0.4933079481124878,0.2246275097131729,0.26790234446525574,0.32586824893951416,0.2533637285232544,0.39760664105415344,0.4933079481124878,0.31834840774536133,0.31091248989105225
