,what,doctor,who,actress,was,nominated,for,an,award,in,2016,?
in,0.30808621644973755,0.25567495822906494,0.2792111933231354,0.22754959762096405,0.45514053106307983,0.17825894057750702,0.4322226941585541,0.2605783939361572,0.23376452922821045,1.0,0.05308714509010315,0.20430970191955566
2011,0.04286744073033333,-0.01649976149201393,0.023839345201849937,-0.12617787718772888,-0.022202642634510994,-0.0012997315498068929,0.10438573360443115,0.05892946198582649,0.01281694881618023,0.08290185779333115,0.09801867604255676,0.005212190095335245
",",0.3087472915649414,0.20407600700855255,0.3365725874900818,0.29510700702667236,0.45456063747406006,0.2839058041572571,0.4464869201183319,0.3581022024154663,0.25078102946281433,0.5201468467712402,-0.10076791793107986,0.31091248989105225
matt,0.15552017092704773,0.195547953248024,0.2321597933769226,0.22010891139507294,0.1816798448562622,0.19682975113391876,0.1864968091249466,0.15778405964374542,0.19228710234165192,0.14907358586788177,-0.205807626247406,0.11641338467597961
smith,0.2301866114139557,0.2512682378292084,0.3096564710140228,0.19334417581558228,0.23871435225009918,0.1533941626548767,0.22693631052970886,0.22991205751895905,0.2325822412967682,0.20223411917686462,-0.038104236125946045,0.21930724382400513
became,0.1434093862771988,0.11620187759399414,0.2624726891517639,0.14474892616271973,0.6575068235397339,0.1533169448375702,0.3017078936100006,0.19704453647136688,0.2082284688949585,0.31047213077545166,0.02796795964241028,0.11374033987522125
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.16107499599456787,0.48711544275283813,0.22135822474956512,0.4739971458911896,0.4207492768764496,0.24073810875415802,0.6662389636039734,0.11571308970451355,0.22068053483963013
first,0.28086137771606445,0.27244147658348083,0.39065709710121155,0.19586046040058136,0.5022147297859192,0.22881580889225006,0.3800288736820221,0.29757723212242126,0.2244419902563095,0.4127444326877594,0.03759026899933815,0.18701928853988647
doctor,0.20870667695999146,0.9999999403953552,0.3504868149757385,0.23929369449615479,0.19672659039497375,0.1173943355679512,0.1556548923254013,0.1790127456188202,0.14153583347797394,0.25567495822906494,-0.055056627839803696,0.1462511420249939
to,0.455847829580307,0.22950075566768646,0.42656609416007996,0.10752200335264206,0.3636345863342285,0.20610158145427704,0.4451248347759247,0.3138085603713989,0.14828933775424957,0.45010748505592346,0.1695822924375534,0.29463258385658264
be,0.3929833769798279,0.1729569286108017,0.3371641933917999,0.11130579560995102,0.42228707671165466,0.23365472257137299,0.3801851272583008,0.33041056990623474,0.16230110824108124,0.3481820821762085,0.06743061542510986,0.3324260413646698
nominated,0.16956520080566406,0.1173943355679512,0.21708045899868011,0.3180733025074005,0.23620247840881348,1.0,0.4048205018043518,0.15131765604019165,0.5525957345962524,0.17825894057750702,-0.1394999921321869,0.23086711764335632
