,what,do,pharmacy,technicians,depend,on,more,and,more,?
pharmacy,0.21638189256191254,0.21983878314495087,1.0,0.27077218890190125,0.2422311156988144,0.17541885375976562,0.1321602463722229,0.21655313670635223,0.1321602463722229,0.1355620175600052
technicians,0.21377219259738922,0.24359148740768433,0.27077218890190125,0.9999999403953552,0.21095936000347137,0.17224732041358948,0.2827249765396118,0.21089348196983337,0.2827249765396118,0.16329023241996765
are,0.29724663496017456,0.41111594438552856,0.1491841822862625,0.2528601288795471,0.37832799553871155,0.268924742937088,0.4066504240036011,0.48576638102531433,0.4066504240036011,0.24591213464736938
now,0.4903225302696228,0.2690879702568054,0.2329590767621994,0.15829162299633026,0.14671029150485992,0.2978019714355469,0.26616397500038147,0.35309651494026184,0.26616397500038147,0.29641881585121155
more,0.3484537899494171,0.3514035940170288,0.1321602463722229,0.2827249765396118,0.3370777368545532,0.37351730465888977,1.0,0.39880692958831787,1.0,0.27894994616508484
dependent,0.2771287262439728,0.2427292913198471,0.19154833257198334,0.12066963315010071,0.6486951112747192,0.23826982080936432,0.3072624206542969,0.24231232702732086,0.3072624206542969,0.1324409693479538
upon,0.2878674864768982,0.15569667518138885,0.08288706839084625,0.12009958922863007,0.33899256587028503,0.3876325786113739,0.1633194535970688,0.2482176125049591,0.1633194535970688,0.13780277967453003
automation,0.29592621326446533,0.30689892172813416,0.2764151692390442,0.3201903998851776,0.26603934168815613,0.2400067299604416,0.21870765089988708,0.21454113721847534,0.21870765089988708,0.26651784777641296
to,0.455847829580307,0.38876664638519287,0.1824638396501541,0.30056139826774597,0.2928173840045929,0.41031414270401,0.47084665298461914,0.48971283435821533,0.47084665298461914,0.29463258385658264
assist,0.2079332321882248,0.2620828449726105,0.15119291841983795,0.3085222840309143,0.19172866642475128,0.22676263749599457,0.2795829772949219,0.27347391843795776,0.2795829772949219,0.1584155559539795
them,0.4994642734527588,0.4653012752532959,0.16964799165725708,0.3196965456008911,0.29027068614959717,0.30083513259887695,0.4907491207122803,0.48717668652534485,0.4907491207122803,0.35435691475868225
in,0.30808621644973755,0.23402775824069977,0.22082467377185822,0.20121940970420837,0.20353147387504578,0.46853652596473694,0.32563260197639465,0.4954058527946472,0.32563260197639465,0.20430970191955566
their,0.35142919421195984,0.35424983501434326,0.15922963619232178,0.2778872549533844,0.4017657935619354,0.3598666191101074,0.36147117614746094,0.45114588737487793,0.36147117614746094,0.1898253709077835
new,0.2130378633737564,0.21221688389778137,0.1783100962638855,0.15974114835262299,0.17272339761257172,0.31106263399124146,0.3023035526275635,0.31402453780174255,0.3023035526275635,0.14782847464084625
role,0.22614215314388275,0.10153601318597794,0.08443436771631241,0.05822242796421051,0.1483359932899475,0.16022825241088867,0.1629766970872879,0.2629789710044861,0.1629766970872879,0.18676944077014923
dealing,0.3540358245372772,0.31571656465530396,0.16530068218708038,0.33696964383125305,0.2959793210029602,0.26501399278640747,0.35291361808776855,0.3381464183330536,0.35291361808776855,0.27334651350975037
with,0.2464839518070221,0.23744353652000427,0.17199546098709106,0.21666087210178375,0.28886526823043823,0.40749499201774597,0.3535402715206146,0.5477725267410278,0.3535402715206146,0.2433311939239502
patients,0.28700166940689087,0.2464439868927002,0.27920523285865784,0.3477899730205536,0.2727974057197571,0.21079674363136292,0.2821991741657257,0.2402365654706955,0.2821991741657257,0.17145128548145294
',0.3245812654495239,0.33874475955963135,0.213267982006073,0.0986069068312645,0.12210612744092941,0.30823177099227905,0.20702357590198517,0.3053182065486908,0.20702357590198517,0.330942302942276
prescriptions,0.2768646776676178,0.30674901604652405,0.4631243646144867,0.33742237091064453,0.36136382818222046,0.20337554812431335,0.3014691174030304,0.22024312615394592,0.3014691174030304,0.1843581348657608
and,0.31309178471565247,0.276123583316803,0.21655313670635223,0.21089348196983337,0.24564869701862335,0.4077630043029785,0.39880692958831787,1.0,0.39880692958831787,0.20544172823429108
patient,0.3135989308357239,0.23987282812595367,0.28659823536872864,0.29871585965156555,0.2593429386615753,0.2075355350971222,0.24067845940589905,0.24569113552570343,0.24067845940589905,0.24355199933052063
safety,0.1898718774318695,0.13894101977348328,0.18943549692630768,0.3103134334087372,0.19463421404361725,0.20992831885814667,0.15345756709575653,0.27546536922454834,0.15345756709575653,0.1443338692188263
issues,0.33279702067375183,0.25844764709472656,0.16822734475135803,0.2166426181793213,0.2005593627691269,0.2723107933998108,0.2737673223018646,0.2817770540714264,0.2737673223018646,0.320565789937973
.,0.3567904531955719,0.3613996207714081,0.23916830122470856,0.19580017030239105,0.2650664448738098,0.49257001280784607,0.4070230722427368,0.588965117931366,0.4070230722427368,0.4130953550338745
