,what,type,of,surveys,show,the,location,of,stratigraphic,units,in,the,subsurface,?
stratigraphers,0.3075239956378937,0.18166761100292206,0.27618104219436646,0.46711763739585876,0.22753006219863892,0.2791062891483307,0.16165566444396973,0.27618104219436646,0.7783257365226746,0.29716071486473083,0.23076798021793365,0.2791062891483307,0.3805820941925049,0.1410115361213684
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.24255363643169403,0.32992470264434814,0.6021018624305725,0.22226928174495697,0.4924938678741455,0.21622900664806366,0.15155017375946045,0.5073733329772949,0.6021018624305725,0.2556297183036804,0.21848613023757935
analyze,0.2935202717781067,0.2416716367006302,0.2221144735813141,0.3992651402950287,0.22726070880889893,0.2610788345336914,0.12521356344223022,0.2221144735813141,0.3713681995868683,0.2205059826374054,0.232345312833786,0.2610788345336914,0.35066890716552734,0.19188500940799713
data,0.23453554511070251,0.2064599096775055,0.20013196766376495,0.36024171113967896,0.15339085459709167,0.20546740293502808,0.24716712534427643,0.20013196766376495,0.25496435165405273,0.22644370794296265,0.17588379979133606,0.20546740293502808,0.27646493911743164,0.17909851670265198
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.16224642097949982,0.2004580795764923,0.40150508284568787,0.3039056956768036,0.4249346852302551,0.19845211505889893,0.14156638085842133,0.4274188280105591,0.40150508284568787,0.17865757644176483,0.19969791173934937
geophysical,0.2702294886112213,0.18377132713794708,0.3964819014072418,0.38620251417160034,0.14115633070468903,0.2591146230697632,0.2545231878757477,0.3964819014072418,0.4536074697971344,0.24661245942115784,0.23535239696502686,0.2591146230697632,0.395904004573822,0.09115879982709885
surveys,0.32375720143318176,0.21587780117988586,0.2617456614971161,1.0000001192092896,0.2289985716342926,0.2685038149356842,0.19180454313755035,0.2617456614971161,0.39950162172317505,0.2412870228290558,0.22894077003002167,0.2685038149356842,0.3532518148422241,0.20467156171798706
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.283384770154953,0.3486354649066925,0.5473989248275757,0.1944330334663391,0.41498205065727234,0.24591417610645294,0.1855207085609436,0.435920387506485,0.5473989248275757,0.3382074534893036,0.32716336846351624
show,0.29653704166412354,0.10632410645484924,0.21383242309093475,0.2289985716342926,0.9999999403953552,0.319829523563385,0.14620709419250488,0.21383242309093475,0.23506852984428406,0.11873911321163177,0.27595704793930054,0.319829523563385,0.2194673866033554,0.2520138621330261
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2685038149356842,0.319829523563385,1.0,0.351087361574173,0.733189046382904,0.3194960653781891,0.2691343426704407,0.6662389636039734,1.0,0.2781147360801697,0.22068053483963013
locations,0.21363390982151031,0.20554578304290771,0.2825617790222168,0.3016403019428253,0.19068816304206848,0.3575807511806488,0.8220941424369812,0.2825617790222168,0.29210546612739563,0.27353525161743164,0.36845505237579346,0.3575807511806488,0.27078956365585327,0.14570996165275574
of,0.33290785551071167,0.18112817406654358,1.0,0.2617456614971161,0.21383242309093475,0.733189046382904,0.28702232241630554,1.0,0.338003009557724,0.2597769498825073,0.5696388483047485,0.733189046382904,0.23344574868679047,0.1826142966747284
stratigraphic,0.24726764857769012,0.18558530509471893,0.338003009557724,0.39950162172317505,0.23506852984428406,0.3194960653781891,0.2423742711544037,0.338003009557724,0.9999998807907104,0.2891218960285187,0.26945239305496216,0.3194960653781891,0.4836878180503845,0.13672329485416412
units,0.1804584264755249,0.16914549469947815,0.2597769498825073,0.2412870228290558,0.11873911321163177,0.2691343426704407,0.15252617001533508,0.2597769498825073,0.2891218960285187,1.0,0.24701444804668427,0.2691343426704407,0.26306697726249695,0.089388407766819
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.22894077003002167,0.27595704793930054,0.6662389636039734,0.3397608697414398,0.5696388483047485,0.26945239305496216,0.24701444804668427,1.0,0.6662389636039734,0.23074151575565338,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2685038149356842,0.319829523563385,1.0,0.351087361574173,0.733189046382904,0.3194960653781891,0.2691343426704407,0.6662389636039734,1.0,0.2781147360801697,0.22068053483963013
subsurface,0.2581934928894043,0.2731274962425232,0.23344574868679047,0.3532518148422241,0.2194673866033554,0.2781147360801697,0.1956857144832611,0.23344574868679047,0.4836878180503845,0.26306697726249695,0.23074151575565338,0.2781147360801697,1.0,0.18042322993278503
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24828051030635834,0.3016606271266937,0.5934505462646484,0.27818506956100464,0.5352458953857422,0.25224223732948303,0.2587635815143585,0.5591574311256409,0.5934505462646484,0.2585841417312622,0.4130953550338745
