,how,is,the,opening,of,the,grainger,market,documented,in,the,laing,art,gallery,?
the,0.33890387415885925,0.5823672413825989,1.0,0.37298497557640076,0.733189046382904,1.0,0.19754326343536377,0.2041238248348236,0.33553433418273926,0.6662389636039734,1.0,0.24434538185596466,0.20297785103321075,0.19251246750354767,0.22068053483963013
opening,0.18178050220012665,0.1926470547914505,0.37298497557640076,1.0,0.2651100158691406,0.37298497557640076,0.12011558562517166,0.19696761667728424,0.1377774327993393,0.2907836139202118,0.37298497557640076,0.1760127693414688,0.15909059345722198,0.18310916423797607,0.16502447426319122
was,0.16678167879581451,0.5810302495956421,0.48711544275283813,0.20817555487155914,0.4069072902202606,0.48711544275283813,0.24651384353637695,0.2252027839422226,0.22689683735370636,0.45514053106307983,0.48711544275283813,0.2563466429710388,0.20564036071300507,0.1648058146238327,0.18412111699581146
celebrated,0.13984297215938568,0.1804109513759613,0.27264803647994995,0.2590915262699127,0.2706945240497589,0.27264803647994995,0.15267537534236908,0.14921589195728302,0.23746062815189362,0.2994932532310486,0.27264803647994995,0.13559095561504364,0.1929720640182495,0.18991094827651978,0.19592389464378357
with,0.3525622487068176,0.3250955045223236,0.4223487675189972,0.20575091242790222,0.41827285289764404,0.4223487675189972,0.17993372678756714,0.14471584558486938,0.2497844249010086,0.4080928862094879,0.4223487675189972,0.24829606711864471,0.13893495500087738,0.172745481133461,0.2433311939239502
a,0.29312583804130554,0.658733606338501,0.5829201340675354,0.2575104236602783,0.5052502155303955,0.5829201340675354,0.19068177044391632,0.2680419683456421,0.2316526174545288,0.539380669593811,0.5829201340675354,0.232979878783226,0.1329297125339508,0.13071094453334808,0.23916715383529663
grand,0.10164935886859894,0.212590292096138,0.305169016122818,0.1719074547290802,0.27195852994918823,0.305169016122818,0.2111462503671646,0.12290587276220322,0.15780816972255707,0.24767720699310303,0.305169016122818,0.17029400169849396,0.13893704116344452,0.1342158019542694,0.1168735921382904
dinner,0.21551257371902466,0.18212784826755524,0.22098013758659363,0.21736137568950653,0.1450214833021164,0.22098013758659363,0.24260996282100677,0.18416933715343475,0.10329274833202362,0.21827612817287445,0.22098013758659363,0.19766713678836823,0.14352060854434967,0.19190670549869537,0.2127307951450348
attended,0.04582925885915756,0.16561348736286163,0.2369099110364914,0.19487164914608002,0.25085145235061646,0.2369099110364914,0.20322248339653015,0.14217448234558105,0.16000312566757202,0.2787896692752838,0.2369099110364914,0.22166165709495544,0.20385295152664185,0.18870657682418823,0.08268529176712036
by,0.34370526671409607,0.3899846076965332,0.4408751428127289,0.19892098009586334,0.3646814823150635,0.4408751428127289,0.25031065940856934,0.09993520379066467,0.23752611875534058,0.370934396982193,0.4408751428127289,0.26988616585731506,0.2189643532037735,0.17317011952400208,0.17966607213020325
2000,-0.07386910915374756,-0.07182633876800537,-0.015081177465617657,-0.012052337639033794,0.010344067588448524,-0.015081177465617657,0.1460435688495636,-0.11690688133239746,-0.12350032478570938,-0.0435720756649971,-0.015081177465617657,0.010033367201685905,-0.048338744789361954,-0.08653926849365234,-0.0824366956949234
guests,0.22807630896568298,0.14388474822044373,0.2437257617712021,0.23187705874443054,0.19911393523216248,0.2437257617712021,0.19093148410320282,0.12355973571538925,0.15201957523822784,0.18445709347724915,0.2437257617712021,0.14151355624198914,0.1314772069454193,0.2061055451631546,0.21235743165016174
",",0.22659391164779663,0.4691906273365021,0.4933079481124878,0.24495157599449158,0.4946078956127167,0.4933079481124878,0.40289974212646484,0.2499394416809082,0.25195392966270447,0.5201468467712402,0.4933079481124878,0.2862335741519928,0.2700960636138916,0.21593497693538666,0.31091248989105225
and,0.33647966384887695,0.3859752118587494,0.5171257257461548,0.23275460302829742,0.5116966962814331,0.5171257257461548,0.34008583426475525,0.23057621717453003,0.24345988035202026,0.4954058527946472,0.5171257257461548,0.3007065951824188,0.2631918787956238,0.20957361161708832,0.20544172823429108
the,0.33890387415885925,0.5823672413825989,1.0,0.37298497557640076,0.733189046382904,1.0,0.19754326343536377,0.2041238248348236,0.33553433418273926,0.6662389636039734,1.0,0.24434538185596466,0.20297785103321075,0.19251246750354767,0.22068053483963013
laing,0.1995251625776291,0.15758146345615387,0.24434538185596466,0.1760127693414688,0.23130974173545837,0.24434538185596466,0.44505420327186584,0.2105177640914917,0.10265062004327774,0.235178142786026,0.24434538185596466,1.0,0.24347645044326782,0.24011245369911194,0.18105347454547882
art,0.17110610008239746,0.17386884987354279,0.20297785103321075,0.15909059345722198,0.22648051381111145,0.20297785103321075,0.31933242082595825,0.1950397938489914,0.19711148738861084,0.2282189577817917,0.20297785103321075,0.24347645044326782,1.0,0.5883238911628723,0.138971745967865
gallery,0.12040410190820694,0.15374112129211426,0.19251246750354767,0.18310916423797607,0.1971534639596939,0.19251246750354767,0.25724729895591736,0.13609914481639862,0.173557847738266,0.21665531396865845,0.19251246750354767,0.24011245369911194,0.5883238911628723,1.0,0.18202216923236847
has,0.26820555329322815,0.5668748617172241,0.4177538752555847,0.1872546672821045,0.3909035325050354,0.4177538752555847,0.12680231034755707,0.19473139941692352,0.21236394345760345,0.4173259735107422,0.4177538752555847,0.13093343377113342,0.17609576880931854,0.16960209608078003,0.15994466841220856
a,0.29312583804130554,0.658733606338501,0.5829201340675354,0.2575104236602783,0.5052502155303955,0.5829201340675354,0.19068177044391632,0.2680419683456421,0.2316526174545288,0.539380669593811,0.5829201340675354,0.232979878783226,0.1329297125339508,0.13071094453334808,0.23916715383529663
painting,0.19175013899803162,0.20089110732078552,0.20519959926605225,0.17289690673351288,0.22635287046432495,0.20519959926605225,0.26943275332450867,0.19121086597442627,0.20032325387001038,0.22482578456401825,0.20519959926605225,0.24155768752098083,0.5437445640563965,0.49767011404037476,0.18062187731266022
of,0.2480744868516922,0.4854315221309662,0.733189046382904,0.2651100158691406,1.0,0.733189046382904,0.19878338277339935,0.1694333702325821,0.298829048871994,0.5696388483047485,0.733189046382904,0.23130974173545837,0.22648051381111145,0.1971534639596939,0.1826142966747284
this,0.45272302627563477,0.480927973985672,0.6274310946464539,0.30977872014045715,0.45148900151252747,0.6274310946464539,0.14560914039611816,0.15831081569194794,0.28930991888046265,0.45205554366111755,0.6274310946464539,0.2078004777431488,0.23056387901306152,0.17661002278327942,0.3155723512172699
event,0.1736278086900711,0.2078172266483307,0.2960145175457001,0.3158341944217682,0.19878064095973969,0.2960145175457001,0.0927707627415657,0.17704348266124725,0.26511138677597046,0.27304479479789734,0.2960145175457001,0.07380824536085129,0.10539703071117401,0.15966306626796722,0.16076280176639557
.,0.3287222981452942,0.4569662809371948,0.5934505462646484,0.2886379361152649,0.5352458953857422,0.5934505462646484,0.28335756063461304,0.19660170376300812,0.28191161155700684,0.5591574311256409,0.5934505462646484,0.2968178987503052,0.21795564889907837,0.21326512098312378,0.4130953550338745
