,what,injury,did,thomas,davis,suffer,from,repeatedly,",",for,a,total,of,three,times,",",during,his,career,?
carolina,0.1956660896539688,0.2282656729221344,0.18489903211593628,0.1952405422925949,0.22498787939548492,0.13737505674362183,0.23510479927062988,0.14353445172309875,0.2566046118736267,0.17749637365341187,0.1979188621044159,0.14527776837348938,0.26946863532066345,0.1938534528017044,0.07134926319122314,0.2566046118736267,0.17862752079963684,0.19019079208374023,0.2012605518102646,0.11847445368766785
suffered,0.13741295039653778,0.4912109673023224,0.28497523069381714,0.17204545438289642,0.14957281947135925,0.7251672148704529,0.2501325309276581,0.25296154618263245,0.24693666398525238,0.17500363290309906,0.2735525667667389,0.1634318083524704,0.2524636387825012,0.19089125096797943,0.18589693307876587,0.24693666398525238,0.36370640993118286,0.3798946738243103,0.30149081349372864,0.08963493257761002
a,0.3320399522781372,0.27168452739715576,0.2552328109741211,0.19268037378787994,0.19002141058444977,0.2534792721271515,0.322764128446579,0.2288050651550293,0.427140474319458,0.44038116931915283,1.0,0.20922091603279114,0.5052502155303955,0.3025658130645752,0.2745400369167328,0.427140474319458,0.30341604351997375,0.3497250974178314,0.21774303913116455,0.23916715383529663
major,0.21026742458343506,0.14403967559337616,0.20997437834739685,0.10622677206993103,0.14990930259227753,0.11424127221107483,0.1417090892791748,0.11207349598407745,0.29355156421661377,0.23592928051948547,0.22990699112415314,0.17210349440574646,0.2641255557537079,0.2582734227180481,0.17528977990150452,0.29355156421661377,0.2254045009613037,0.17332184314727783,0.18908503651618958,0.19788557291030884
setback,0.3320176899433136,0.3659624755382538,0.2703627347946167,0.12432343512773514,0.136392280459404,0.3885895311832428,0.20789580047130585,0.2607448101043701,0.2521812319755554,0.2295939028263092,0.27779510617256165,0.17173095047473907,0.28151196241378784,0.24480941891670227,0.23168261349201202,0.2521812319755554,0.29688888788223267,0.30988627672195435,0.1922612488269806,0.20897552371025085
when,0.4700249433517456,0.28201207518577576,0.3228907287120819,0.19259870052337646,0.23257681727409363,0.25208327174186707,0.405669629573822,0.3983765244483948,0.36674630641937256,0.43402108550071716,0.44397395849227905,0.15801572799682617,0.3757161796092987,0.2820437252521515,0.3857055902481079,0.36674630641937256,0.46721696853637695,0.37120407819747925,0.20571725070476532,0.22841128706932068
thomas,0.1806955188512802,0.13305605947971344,0.20728807151317596,1.0000001192092896,0.35804271697998047,0.18261775374412537,0.16298171877861023,0.07767509669065475,0.25079426169395447,0.19489257037639618,0.19268037378787994,0.07827602326869965,0.18699592351913452,0.11748330295085907,0.0909549668431282,0.25079426169395447,0.170392706990242,0.20028819143772125,0.14576682448387146,0.16133050620555878
davis,0.18317241966724396,0.11406615376472473,0.17277368903160095,0.35804271697998047,0.9999999403953552,0.1832769811153412,0.15894365310668945,0.1384970098733902,0.31438660621643066,0.20754043757915497,0.19002141058444977,0.09843149781227112,0.18173569440841675,0.14830386638641357,0.15709751844406128,0.31438660621643066,0.17898905277252197,0.2677081823348999,0.2350463569164276,0.17094263434410095
",",0.3087472915649414,0.23598910868167877,0.3015086054801941,0.25079426169395447,0.31438660621643066,0.28302544355392456,0.39760664105415344,0.15116502344608307,1.0000001192092896,0.4464869201183319,0.427140474319458,0.25815486907958984,0.4946078956127167,0.3347506821155548,0.2897866368293762,1.0000001192092896,0.3225448727607727,0.3378419280052185,0.217554971575737,0.31091248989105225
an,0.2821882665157318,0.1705569177865982,0.22598257660865784,0.15775039792060852,0.24183200299739838,0.16750821471214294,0.20876385271549225,0.1946268081665039,0.3581022024154663,0.3236706852912903,0.44552403688430786,0.1526704579591751,0.32280945777893066,0.1749064028263092,0.18957601487636566,0.3581022024154663,0.21076080203056335,0.24025635421276093,0.21881447732448578,0.19793890416622162
11-year,0.19224752485752106,0.22834956645965576,0.1603643298149109,0.19694937765598297,0.21379505097866058,0.16470906138420105,0.21908943355083466,0.12154553085565567,0.3337153494358063,0.20720820128917694,0.18799151480197906,0.24862025678157806,0.21797926723957062,0.1716432422399521,0.1523939073085785,0.3337153494358063,0.29905587434768677,0.13285498321056366,0.29428529739379883,0.32096078991889954
veteran,0.12123548984527588,0.19383969902992249,0.10862443596124649,0.20413291454315186,0.30011120438575745,0.1616852581501007,0.20423799753189087,0.1383354663848877,0.20004725456237793,0.1840239316225052,0.22508226335048676,0.11514247208833694,0.22665295004844666,0.08249304443597794,0.08724800497293472,0.20004725456237793,0.305077463388443,0.25014764070510864,0.17019765079021454,0.15891358256340027
who,0.40942975878715515,0.18636278808116913,0.34038686752319336,0.26103657484054565,0.2547153830528259,0.28011447191238403,0.27839982509613037,0.32156744599342346,0.3365725874900818,0.37110671401023865,0.36608949303627014,0.16190829873085022,0.2827862501144409,0.2491552233695984,0.24510560929775238,0.3365725874900818,0.30551859736442566,0.44966956973075867,0.21169690787792206,0.26220351457595825
