,what,process,attributes,new,wealth,to,those,that,already,have,it,?
wealth,0.2415573000907898,0.1429525911808014,0.25626757740974426,0.17288216948509216,0.9999998807907104,0.30562296509742737,0.24763578176498413,0.256238728761673,0.22826328873634338,0.20081286132335663,0.2183379977941513,0.1624586433172226
concentration,0.2389112114906311,0.25172051787376404,0.17228233814239502,0.0812152773141861,0.19168125092983246,0.26137882471084595,0.2731715738773346,0.2594655752182007,0.15809370577335358,0.21130657196044922,0.2168501317501068,0.1292840540409088
is,0.28837618231773376,0.21762968599796295,0.2318233847618103,0.2208656519651413,0.19482117891311646,0.42745086550712585,0.2352088838815689,0.3995479643344879,0.27460595965385437,0.3613572418689728,0.6328473687171936,0.22961433231830597
a,0.3320399522781372,0.2601566016674042,0.24784983694553375,0.3214259147644043,0.20101723074913025,0.45503583550453186,0.24251152575016022,0.47537946701049805,0.33469632267951965,0.338716596364975,0.5452592968940735,0.23916715383529663
theoretical,0.3012935221195221,0.2560882568359375,0.30087998509407043,0.1620326191186905,0.17210792005062103,0.20695699751377106,0.26419246196746826,0.3066844344139099,0.26025182008743286,0.206339031457901,0.1959863156080246,0.14929188787937164
[,0.010752761736512184,0.01671840250492096,-0.050601448863744736,0.18660779297351837,0.1008341833949089,0.07649242132902145,0.013835988007485867,0.052145641297101974,0.05836476385593414,0.010582555085420609,0.008456743322312832,0.011015460826456547
according,0.2776208221912384,0.10630735754966736,0.2955407202243805,0.1695622354745865,0.285123348236084,0.28520727157592773,0.2206927239894867,0.29146862030029297,0.19243693351745605,0.23988237977027893,0.2640290856361389,0.21173474192619324
to,0.455847829580307,0.35462963581085205,0.2728220522403717,0.33159172534942627,0.30562296509742737,1.0,0.47350940108299255,0.5436353087425232,0.3676825761795044,0.4544740617275238,0.513711154460907,0.29463258385658264
whom,0.27163395285606384,0.14516323804855347,0.21388088166713715,0.1495581567287445,0.302239328622818,0.3108522593975067,0.3069823682308197,0.3278515338897705,0.34206750988960266,0.25754275918006897,0.18352724611759186,0.222135990858078
?,0.5051238536834717,0.2460896074771881,0.250948429107666,0.14782847464084625,0.1624586433172226,0.29463258385658264,0.3328189253807068,0.32716336846351624,0.3477933406829834,0.32991164922714233,0.25732165575027466,1.0
],-0.03775298595428467,-0.02785930037498474,0.018890470266342163,-0.03610344976186752,0.03971387818455696,-0.04249158129096031,-0.1061067059636116,0.009409040212631226,-0.005392222665250301,0.006664168555289507,-0.07210399955511093,-0.0022520492784678936
