,what,is,the,increased,rates,of,self-employment,based,on,?
however,0.4480680823326111,0.33769986033439636,0.49814513325691223,0.40285348892211914,0.3566247224807739,0.3800618350505829,0.28351297974586487,0.27770280838012695,0.3940407931804657,0.2152075469493866
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20936180651187897,0.19299949705600739,0.4946078956127167,0.2385079711675644,0.27976205945014954,0.49057599902153015,0.31091248989105225
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.2506605088710785,0.2823983430862427,0.4178851246833801,0.16046877205371857,0.24925106763839722,0.28303956985473633,0.2107497900724411
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3371390700340271,0.2585311233997345,1.0,0.2520904541015625,0.3033197224140167,0.3966929316520691,0.1826142966747284
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.1905038207769394,0.20320101082324982,0.38761502504348755,0.21597464382648468,0.304902046918869,0.4529881477355957,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.1395888477563858,0.24308988451957703,0.4854315221309662,0.22138960659503937,0.3248139023780823,0.3635730445384979,0.22961433231830597
often,0.3849453330039978,0.3856629431247711,0.38004449009895325,0.2662849724292755,0.2980625331401825,0.3351972997188568,0.2522973120212555,0.24628451466560364,0.24822035431861877,0.23748154938220978
based,0.274813175201416,0.3248139023780823,0.29860720038414,0.20279768109321594,0.24331390857696533,0.3033197224140167,0.19203928112983704,1.0000001192092896,0.36055147647857666,0.134929820895195
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.23179513216018677,0.2461378127336502,0.3966929316520691,0.17919862270355225,0.36055147647857666,0.9999999403953552,0.2714994251728058
necessity,0.3584839403629303,0.22375617921352386,0.303897887468338,0.2788887619972229,0.27033859491348267,0.29507577419281006,0.32818421721458435,0.1501345932483673,0.13351532816886902,0.20659345388412476
rather,0.3923804461956024,0.2886356711387634,0.31983619928359985,0.2652101218700409,0.3046084940433502,0.3045461177825928,0.23991422355175018,0.2979939877986908,0.2960607409477234,0.3053998053073883
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.337054044008255,0.3696898818016052,0.33036211133003235,0.20353949069976807,0.23088355362415314,0.2864885926246643,0.24917294085025787
opportunity,0.2871367037296295,0.12906494736671448,0.2641824185848236,0.31093767285346985,0.1836245059967041,0.2255665808916092,0.3455989360809326,0.15283022820949554,0.20927020907402039,0.19524551928043365
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21367591619491577,0.2061878889799118,0.5352458953857422,0.26540282368659973,0.29699069261550903,0.49257001280784607,0.4130953550338745
