,who,is,viewed,as,the,first,modern,geologist,?
james,0.2562035918235779,0.1426199972629547,0.1362289935350418,0.21306896209716797,0.22481533885002136,0.2605716586112976,0.12671135365962982,0.2614716589450836,0.12139993160963058
hutton,0.25914403796195984,0.2173139899969101,0.17590737342834473,0.24040481448173523,0.20083338022232056,0.2316717952489853,0.20423299074172974,0.3831726014614105,0.1513788402080536
is,0.24293622374534607,1.0,0.24106821417808533,0.43216490745544434,0.5823672413825989,0.30889374017715454,0.24170172214508057,0.17544354498386383,0.22961433231830597
often,0.393799751996994,0.3856629431247711,0.27546876668930054,0.405699223279953,0.38004449009895325,0.26239994168281555,0.3331293761730194,0.08771678805351257,0.23748154938220978
viewed,0.18551990389823914,0.24106821417808533,1.0000001192092896,0.2334030270576477,0.34172287583351135,0.13595259189605713,0.1825387328863144,0.12169366329908371,0.19983090460300446
as,0.3923053741455078,0.43216490745544434,0.2334030270576477,1.0,0.48381632566452026,0.33842000365257263,0.242071270942688,0.13615284860134125,0.27043893933296204
the,0.3733934462070465,0.5823672413825989,0.34172287583351135,0.48381632566452026,1.0,0.49448907375335693,0.3283970355987549,0.19648471474647522,0.22068053483963013
first,0.39065709710121155,0.30889374017715454,0.13595259189605713,0.33842000365257263,0.49448907375335693,1.0,0.33161288499832153,0.2356836348772049,0.18701928853988647
modern,0.16937296092510223,0.24170172214508057,0.1825387328863144,0.242071270942688,0.3283970355987549,0.33161288499832153,0.9999999403953552,0.13173238933086395,0.12475407868623734
geologist,0.24621933698654175,0.17544354498386383,0.12169366329908371,0.13615284860134125,0.19648471474647522,0.2356836348772049,0.13173238933086395,0.9999998807907104,0.16616028547286987
.,0.3541337847709656,0.4569662809371948,0.27454590797424316,0.515582263469696,0.5934505462646484,0.4345304071903229,0.22790057957172394,0.2056465595960617,0.4130953550338745
