,what,is,the,general,perception,of,non-mongolian,histories,of,genghis,khan,by,mongolians,themselves,?
mongolians,0.20104487240314484,0.173089399933815,0.2997082769870758,0.14694878458976746,0.16420860588550568,0.25245094299316406,0.8422496318817139,0.2346961349248886,0.25245094299316406,0.4736461043357849,0.382771372795105,0.20108768343925476,1.0,0.29776597023010254,0.13447150588035583
maintain,0.2619679272174835,0.22511275112628937,0.2896709144115448,0.16729219257831573,0.28476467728614807,0.2703363299369812,0.21096277236938477,0.23070481419563293,0.2703363299369812,0.1297808140516281,0.15751372277736664,0.19259802997112274,0.18952345848083496,0.3635173738002777,0.20568779110908508
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2510950565338135,0.35168594121932983,0.41498205065727234,0.2950160503387451,0.29633772373199463,0.41498205065727234,0.21352417767047882,0.14077997207641602,0.37496164441108704,0.288248747587204,0.3640199303627014,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.28634732961654663,0.2696559429168701,0.733189046382904,0.30641674995422363,0.3027343153953552,0.733189046382904,0.3448939025402069,0.21067845821380615,0.4408751428127289,0.2997082769870758,0.3444426357746124,0.22068053483963013
historical,0.2923852205276489,0.23039913177490234,0.30835282802581787,0.12724992632865906,0.208228200674057,0.3218611776828766,0.22053584456443787,0.5929943323135376,0.3218611776828766,0.25947242975234985,0.08585064113140106,0.1782611459493637,0.19145528972148895,0.14159633219242096,0.1665111482143402
records,0.17999422550201416,0.16368350386619568,0.23809710144996643,0.09116073697805405,0.19633112847805023,0.17885147035121918,0.1681213527917862,0.2415936440229416,0.17885147035121918,0.21356354653835297,0.07778643071651459,0.16593503952026367,0.10819951444864273,0.1641930341720581,0.12384546548128128
written,0.25412634015083313,0.2634589672088623,0.2582438886165619,0.18573115766048431,0.18644659221172333,0.20874574780464172,0.23993350565433502,0.27541854977607727,0.20874574780464172,0.17503853142261505,0.12784332036972046,0.3622937500476837,0.18877939879894257,0.14979638159275055,0.21451954543590546
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.2654627859592438,0.21010006964206696,0.3646814823150635,0.18272021412849426,0.1918097734451294,0.3646814823150635,0.22102472186088562,0.13558374345302582,1.0000001192092896,0.20108768343925476,0.30082204937934875,0.17966607213020325
non-mongolians,0.23760953545570374,0.21024638414382935,0.33077529072761536,0.16867227852344513,0.20636719465255737,0.2892139256000519,0.873967707157135,0.2708321213722229,0.2892139256000519,0.42947879433631897,0.34620749950408936,0.22137296199798584,0.9697096347808838,0.32456594705581665,0.18142931163311005
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.15219135582447052,0.24185463786125183,0.39081433415412903,0.2523486018180847,0.25981542468070984,0.39081433415412903,0.10714367032051086,0.10875514894723892,0.37842893600463867,0.2537470757961273,0.45687565207481384,0.24591213464736938
