,what,do,you,get,when,you,figure,the,sum,of,forces,with,vector,addition,?
summing,0.29442447423934937,0.20577161014080048,0.29113462567329407,0.17827871441841125,0.2514191269874573,0.29113462567329407,0.21122339367866516,0.3001292943954468,0.32700616121292114,0.2551160454750061,0.18963372707366943,0.25772005319595337,0.2556639313697815,0.2979629933834076,0.22091694176197052
these,0.4164220690727234,0.4402875602245331,0.36201566457748413,0.3668822646141052,0.3811454772949219,0.36201566457748413,0.17775681614875793,0.49086877703666687,0.22470368444919586,0.42684608697891235,0.23580892384052277,0.37595367431640625,0.22552120685577393,0.37524592876434326,0.2571668326854706
component,0.19980107247829437,0.17985059320926666,0.1860591173171997,0.18011462688446045,0.194128155708313,0.1860591173171997,0.19412565231323242,0.3172481954097748,0.31342175602912903,0.30378368496894836,0.1941075176000595,0.2005489468574524,0.31545665860176086,0.2867255210876465,0.14409896731376648
forces,0.2112482488155365,0.1300598382949829,0.18848340213298798,0.12930838763713837,0.2460811883211136,0.18848340213298798,0.16132386028766632,0.3134811818599701,0.16834430396556854,0.3090144991874695,1.0,0.18998397886753082,0.1949061155319214,0.18349410593509674,0.16984491050243378
using,0.27984681725502014,0.31007856130599976,0.34516316652297974,0.34778517484664917,0.4100514352321625,0.34516316652297974,0.11678064614534378,0.28364112973213196,0.2599007189273834,0.24298200011253357,0.13638299703598022,0.3917884826660156,0.32537785172462463,0.27723923325538635,0.2804589569568634
vector,0.26669490337371826,0.2648661732673645,0.3583436906337738,0.30603528022766113,0.211900994181633,0.3583436906337738,0.17186561226844788,0.18854442238807678,0.3233417570590973,0.20483794808387756,0.1949061155319214,0.16130279004573822,0.9999998807907104,0.25971317291259766,0.26140129566192627
addition,0.20643717050552368,0.2532966136932373,0.18716423213481903,0.258577823638916,0.2340734601020813,0.18716423213481903,0.17196659743785858,0.32955414056777954,0.27396222949028015,0.27503931522369385,0.18349410593509674,0.3659588098526001,0.25971317291259766,1.0,0.19187232851982117
yields,0.16749948263168335,0.2079308182001114,0.23792022466659546,0.2537270486354828,0.22403916716575623,0.23792022466659546,0.10857115685939789,0.1598329097032547,0.30553558468818665,0.19571909308433533,0.19783052802085876,0.24060115218162537,0.3095557689666748,0.2823156714439392,0.20131081342697144
the,0.42745697498321533,0.30239659547805786,0.30037742853164673,0.29667025804519653,0.5091903209686279,0.30037742853164673,0.24786046147346497,1.0,0.1759771853685379,0.733189046382904,0.3134811818599701,0.4223487675189972,0.18854442238807678,0.32955414056777954,0.22068053483963013
original,0.24651947617530823,0.1608448624610901,0.2349896878004074,0.1484023928642273,0.2014450877904892,0.2349896878004074,0.09312134236097336,0.4037000238895416,0.13911932706832886,0.30228546261787415,0.11928536742925644,0.24073785543441772,0.1254522204399109,0.25079870223999023,0.17256900668144226
force,0.16915984451770782,0.20164671540260315,0.1904318630695343,0.16184772551059723,0.24609562754631042,0.1904318630695343,0.16026310622692108,0.2800885736942291,0.17877601087093353,0.27094775438308716,0.6498695015907288,0.15703244507312775,0.24381080269813538,0.24005858600139618,0.1650998443365097
.,0.3567904531955719,0.3613996207714081,0.31283900141716003,0.39392393827438354,0.475719153881073,0.31283900141716003,0.24939633905887604,0.5934505462646484,0.1653650403022766,0.5352458953857422,0.21802116930484772,0.4446153938770294,0.26781588792800903,0.27481022477149963,0.4130953550338745
