,what,opened,on,january,30th,at,the,justin,herman,plaza,?
in,0.30808621644973755,0.2972770035266876,0.46853652596473694,0.28467586636543274,0.1858179271221161,0.4374977946281433,0.6662389636039734,0.16384002566337585,0.14911341667175293,0.1517188549041748,0.20430970191955566
addition,0.20643717050552368,0.1860494613647461,0.2673063576221466,0.11605040729045868,0.12250655144453049,0.2062952220439911,0.32955414056777954,0.0999825969338417,0.06515007466077805,0.23686468601226807,0.19187232851982117
",",0.3087472915649414,0.24598844349384308,0.49057599902153015,0.4213674068450928,0.1899278610944748,0.38314947485923767,0.4933079481124878,0.26351892948150635,0.2558126747608185,0.1780022531747818,0.31091248989105225
``,0.008517155423760414,-0.1391703486442566,-0.03274054825305939,0.0859564021229744,0.026102574542164803,-0.07642947137355804,0.029072100296616554,0.05647547170519829,-0.06882932782173157,-0.03835507482290268,0.0685480609536171
super,0.13651713728904724,0.12151654809713364,0.1569211632013321,0.08795880526304245,0.1932530552148819,0.11449114978313446,0.21959073841571808,0.18469490110874176,0.10644732415676117,0.11758657544851303,0.166326642036438
bowl,0.15942467749118805,0.16360460221767426,0.1334993690252304,0.13797584176063538,0.13127975165843964,0.2709662914276123,0.21576224267482758,0.11253492534160614,0.06547024846076965,0.15374425053596497,0.21118052303791046
city,0.17493832111358643,0.25895923376083374,0.2549738585948944,0.22583067417144775,0.12725824117660522,0.2310783565044403,0.35769423842430115,0.1887744814157486,0.19312141835689545,0.3448775112628937,0.13423943519592285
'',0.08143015950918198,0.05927160009741783,0.04238596186041832,-0.05028661713004112,-0.024868134409189224,0.04379578307271004,0.041273195296525955,-0.010182631202042103,0.042492616921663284,-0.012585800141096115,0.018684765323996544
opened,0.14500318467617035,1.0,0.2514764964580536,0.1764276921749115,0.08387337625026703,0.30489158630371094,0.28544309735298157,0.12053462862968445,0.16703085601329803,0.3003566265106201,0.1934700310230255
on,0.34226128458976746,0.2514764964580536,0.9999999403953552,0.3576357066631317,0.16972272098064423,0.4806317389011383,0.5107308030128479,0.2112480252981186,0.2101747840642929,0.1835595965385437,0.2714994251728058
january,0.19257698953151703,0.1764276921749115,0.3576357066631317,1.0000001192092896,0.04432389512658119,0.25715434551239014,0.2467057853937149,0.22159449756145477,0.16788257658481598,0.09929802268743515,0.28608936071395874
30,-0.04443084076046944,0.012705380097031593,0.0936402678489685,0.05664760619401932,-0.016052762046456337,0.08557987958192825,0.0730796679854393,0.0463276170194149,0.02315383404493332,0.11494836211204529,-0.08261742442846298
at,0.2838611304759979,0.30489158630371094,0.4806317389011383,0.25715434551239014,0.08008196949958801,1.0,0.457212895154953,0.15325449407100677,0.14482979476451874,0.24878543615341187,0.21978627145290375
justin,0.14793814718723297,0.12053462862968445,0.2112480252981186,0.22159449756145477,0.18002423644065857,0.15325449407100677,0.17751482129096985,1.0,0.2427445650100708,0.16461516916751862,0.17168305814266205
herman,0.16345740854740143,0.16703085601329803,0.2101747840642929,0.16788257658481598,0.2047703117132187,0.14482979476451874,0.19971449673175812,0.2427445650100708,1.0000001192092896,0.16061931848526,0.15866468846797943
plaza,0.09566929191350937,0.3003566265106201,0.1835595965385437,0.09929802268743515,0.013572653755545616,0.24878543615341187,0.2343834489583969,0.16461516916751862,0.16061931848526,1.0000001192092896,0.14521731436252594
on,0.34226128458976746,0.2514764964580536,0.9999999403953552,0.3576357066631317,0.16972272098064423,0.4806317389011383,0.5107308030128479,0.2112480252981186,0.2101747840642929,0.1835595965385437,0.2714994251728058
the,0.42745697498321533,0.28544309735298157,0.5107308030128479,0.2467057853937149,0.2819302976131439,0.457212895154953,1.0,0.17751482129096985,0.19971449673175812,0.2343834489583969,0.22068053483963013
embarcadero,0.2514929175376892,0.26090896129608154,0.21783459186553955,0.28909483551979065,0.007200791034847498,0.22375448048114777,0.2974037826061249,0.21262159943580627,0.1880379170179367,0.37396538257598877,0.2404213696718216
",",0.3087472915649414,0.24598844349384308,0.49057599902153015,0.4213674068450928,0.1899278610944748,0.38314947485923767,0.4933079481124878,0.26351892948150635,0.2558126747608185,0.1780022531747818,0.31091248989105225
featuring,0.18412666022777557,0.16121119260787964,0.24591706693172455,0.17389564216136932,0.1770516037940979,0.13106809556484222,0.21340800821781158,0.3405510485172272,0.21889439225196838,0.1118273213505745,0.24838131666183472
games,0.1820194572210312,0.13519972562789917,0.2148774266242981,0.15639139711856842,0.13710008561611176,0.23006781935691833,0.2676136791706085,0.1534121334552765,0.10527218133211136,0.12833087146282196,0.1360001415014267
and,0.31309178471565247,0.22545495629310608,0.4077630043029785,0.24588775634765625,0.28300732374191284,0.3571503460407257,0.5171257257461548,0.2104688435792923,0.20138958096504211,0.17174072563648224,0.20544172823429108
activities,0.21757790446281433,0.18824730813503265,0.24141795933246613,0.18392837047576904,0.049195241183042526,0.17364175617694855,0.2626894414424896,0.1046421006321907,0.13675805926322937,0.22850783169269562,0.11289679259061813
that,0.6297725439071655,0.18032540380954742,0.42569106817245483,0.2010406255722046,0.21984019875526428,0.3183255195617676,0.5473989248275757,0.21042943000793457,0.12836246192455292,0.13629882037639618,0.32716336846351624
will,0.3510494530200958,0.21327795088291168,0.3240351676940918,0.19195622205734253,0.19575655460357666,0.26192525029182434,0.3635469079017639,0.14737318456172943,0.16736739873886108,0.14810892939567566,0.35046905279159546
highlight,0.27256110310554504,0.12307088822126389,0.22924281656742096,0.0518919862806797,0.14735303819179535,0.1672203540802002,0.26126983761787415,0.12274573743343353,0.07180389016866684,0.10898133367300034,0.19680358469486237
the,0.42745697498321533,0.28544309735298157,0.5107308030128479,0.2467057853937149,0.2819302976131439,0.457212895154953,1.0,0.17751482129096985,0.19971449673175812,0.2343834489583969,0.22068053483963013
bay,0.20251236855983734,0.20640476047992706,0.22998327016830444,0.1556418538093567,0.0914856418967247,0.163857102394104,0.2441686987876892,0.18231961131095886,0.17992910742759705,0.2070087045431137,0.10773546993732452
area,0.21965408325195312,0.27607014775276184,0.20868615806102753,0.1519424170255661,0.1536206752061844,0.25113749504089355,0.37834644317626953,0.08930287510156631,0.12004327028989792,0.1996215581893921,0.12640461325645447
's,0.02692362666130066,-0.006441329140216112,0.0026888418942689896,-0.08409902453422546,0.11903931200504303,-0.08481216430664062,-0.01540423184633255,-0.012240738607943058,0.009405276738107204,-0.061702050268650055,-0.023395681753754616
technology,0.1940862536430359,0.1409624218940735,0.19346705079078674,0.16770197451114655,0.167720764875412,0.23659983277320862,0.21669498085975647,0.07134640961885452,0.1380845606327057,0.12388628721237183,0.11564995348453522
",",0.3087472915649414,0.24598844349384308,0.49057599902153015,0.4213674068450928,0.1899278610944748,0.38314947485923767,0.4933079481124878,0.26351892948150635,0.2558126747608185,0.1780022531747818,0.31091248989105225
culinary,0.16607517004013062,0.10060550272464752,0.1873849332332611,0.08176598697900772,0.006569551769644022,0.14972011744976044,0.22274447977542877,0.05792190879583359,0.13655276596546173,0.14938633143901825,0.14946907758712769
creations,0.26645737886428833,0.1937432438135147,0.24339531362056732,0.17635130882263184,0.08528333157300949,0.18926362693309784,0.2928679883480072,0.17509160935878754,0.10128770023584366,0.13602042198181152,0.2910361588001251
