,who,created,the,photographic,series,titled,animal,locomotion,?
one,0.40083858370780945,0.30343082547187805,0.5514441132545471,0.1754586398601532,0.21504130959510803,0.21898752450942993,0.2689667344093323,0.2059331238269806,0.2673267424106598
of,0.2827862501144409,0.32043445110321045,0.733189046382904,0.23462572693824768,0.22268271446228027,0.2194010466337204,0.2429264932870865,0.1762722134590149,0.1826142966747284
the,0.3733934462070465,0.3539263904094696,1.0,0.23959757387638092,0.31376904249191284,0.267250657081604,0.2502762973308563,0.2234269082546234,0.22068053483963013
more,0.31567877531051636,0.23486116528511047,0.39758381247520447,0.22723744809627533,0.17123346030712128,0.1725088506937027,0.1914156824350357,0.15320825576782227,0.27894994616508484
unusual,0.2062169313430786,0.12475524842739105,0.3101860284805298,0.20384421944618225,0.14536088705062866,0.16801117360591888,0.260579913854599,0.2421594262123108,0.1398017257452011
collections,0.16047273576259613,0.2306104153394699,0.27174001932144165,0.27596548199653625,0.26971185207366943,0.3221425414085388,0.20182880759239197,0.18611201643943787,0.1873358190059662
is,0.24293622374534607,0.28467464447021484,0.5823672413825989,0.21573130786418915,0.20355552434921265,0.14943374693393707,0.22882415354251862,0.18280862271785736,0.22961433231830597
that,0.45444270968437195,0.3583657741546631,0.5473989248275757,0.1900232434272766,0.24595457315444946,0.237295463681221,0.20606283843517303,0.17920225858688354,0.32716336846351624
of,0.2827862501144409,0.32043445110321045,0.733189046382904,0.23462572693824768,0.22268271446228027,0.2194010466337204,0.2429264932870865,0.1762722134590149,0.1826142966747284
eadweard,0.33091557025909424,0.23091335594654083,0.23059135675430298,0.31773632764816284,0.2235165536403656,0.20648694038391113,0.20879249274730682,0.2058216631412506,0.2170843631029129
muybridge,0.21686992049217224,0.13185882568359375,0.24930675327777863,0.27873873710632324,0.24504327774047852,0.21667788922786713,0.17679926753044128,0.2279215157032013,0.18299800157546997
's,0.05599616840481758,-0.015766004100441933,-0.01540423184633255,-0.01290880050510168,0.0006390819908119738,-0.02731235884130001,0.12318587303161621,0.03072351962327957,-0.023395681753754616
photographs,0.1026417538523674,0.14792229235172272,0.16852141916751862,0.8336602449417114,0.13655038177967072,0.16665390133857727,0.10337751358747482,0.08548130840063095,0.16775095462799072
of,0.2827862501144409,0.32043445110321045,0.733189046382904,0.23462572693824768,0.22268271446228027,0.2194010466337204,0.2429264932870865,0.1762722134590149,0.1826142966747284
animal,0.2076256275177002,0.08653369545936584,0.2502762973308563,0.1333428919315338,0.17492635548114777,0.19169233739376068,0.9999998807907104,0.31734785437583923,0.13991324603557587
locomotion,0.14181719720363617,0.14122222363948822,0.2234269082546234,0.14131005108356476,0.23121361434459686,0.14608097076416016,0.31734785437583923,1.0000001192092896,0.15499655902385712
of,0.2827862501144409,0.32043445110321045,0.733189046382904,0.23462572693824768,0.22268271446228027,0.2194010466337204,0.2429264932870865,0.1762722134590149,0.1826142966747284
1887,0.04769701510667801,-0.04512081295251846,-0.032284706830978394,-0.1425025463104248,-0.19207815825939178,-0.016686050221323967,-0.11261770874261856,-0.12590104341506958,-0.017046842724084854
",",0.3365725874900818,0.2755771577358246,0.4933079481124878,0.20997461676597595,0.24060699343681335,0.25777438282966614,0.18390819430351257,0.15530134737491608,0.31091248989105225
this,0.3345087468624115,0.31965404748916626,0.6274310946464539,0.22146621346473694,0.23312100768089294,0.2604043483734131,0.22004614770412445,0.24270853400230408,0.3155723512172699
consists,0.05287136882543564,0.2481347769498825,0.3362659811973572,0.13069865107536316,0.15539947152137756,0.22402997314929962,0.17199622094631195,0.09897883981466293,-0.004641483072191477
of,0.2827862501144409,0.32043445110321045,0.733189046382904,0.23462572693824768,0.22268271446228027,0.2194010466337204,0.2429264932870865,0.1762722134590149,0.1826142966747284
781,-0.047964926809072495,0.03664422780275345,0.002367998706176877,0.18491971492767334,0.13381461799144745,0.12219623476266861,-0.03818441554903984,0.03785621002316475,0.04112726449966431
plates,0.10783727467060089,0.14758902788162231,0.2566349506378174,0.26506561040878296,0.1833595335483551,0.1215037927031517,0.2445223331451416,0.2338036149740219,0.15258446335792542
.,0.3541337847709656,0.3230568766593933,0.5934505462646484,0.21537554264068604,0.3121925890445709,0.21316426992416382,0.2140108346939087,0.23785719275474548,0.4130953550338745
