,who,produced,the,illumination,for,the,1524,charter,that,is,in,the,v,&,a,library,archive,?
illuminated,0.1494809091091156,0.3288261294364929,0.25755834579467773,0.8338977098464966,0.22375370562076569,0.25755834579467773,-0.05507231131196022,0.0976007878780365,0.23726719617843628,0.2354755699634552,0.19316352903842926,0.25755834579467773,0.1447104513645172,0.23285849392414093,0.17589955031871796,0.23275749385356903,0.18208472430706024,0.14651840925216675
manuscripts,0.19917462766170502,0.17363528907299042,0.2274177074432373,0.44343987107276917,0.16162212193012238,0.2274177074432373,-0.0692116841673851,0.18769988417625427,0.24341008067131042,0.15741916000843048,0.20494025945663452,0.2274177074432373,0.14413684606552124,0.058022018522024155,0.12508811056613922,0.47801464796066284,0.3554403483867645,0.16131190955638885
in,0.2792111933231354,0.2542861998081207,0.6662389636039734,0.18508875370025635,0.4322226941585541,0.6662389636039734,-0.09039775282144547,0.20881880819797516,0.435920387506485,0.5394441485404968,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.2101847380399704,0.11993463337421417,0.20430970191955566
the,0.3733934462070465,0.22045251727104187,1.0,0.2851928770542145,0.4739971458911896,1.0,-0.09282234311103821,0.26436546444892883,0.5473989248275757,0.5823672413825989,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.19920319318771362,0.20227214694023132,0.22068053483963013
library,0.15864916145801544,0.12623906135559082,0.19920319318771362,0.2660369575023651,0.17405205965042114,0.19920319318771362,-0.11647866666316986,0.23898981511592865,0.1702454686164856,0.16916222870349884,0.2101847380399704,0.19920319318771362,0.16114428639411926,0.1183592677116394,0.13480092585086823,0.9999999403953552,0.39149990677833557,0.18938742578029633
dating,0.15735501050949097,0.17610229551792145,0.23401090502738953,0.26864293217658997,0.20495396852493286,0.23401090502738953,-0.03474389389157295,0.13435274362564087,0.2635617256164551,0.20874302089214325,0.2300887107849121,0.23401090502738953,0.03615359961986542,0.08294995874166489,0.18985961377620697,0.14178980886936188,0.10364930331707001,0.1135709211230278
from,0.27839982509613037,0.19831010699272156,0.40150508284568787,0.19961784780025482,0.314039945602417,0.40150508284568787,-0.06258510798215866,0.17687533795833588,0.3477667272090912,0.27355384826660156,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.21735483407974243,0.12935520708560944,0.19969791173934937
the,0.3733934462070465,0.22045251727104187,1.0,0.2851928770542145,0.4739971458911896,1.0,-0.09282234311103821,0.26436546444892883,0.5473989248275757,0.5823672413825989,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.19920319318771362,0.20227214694023132,0.22068053483963013
12th,0.12905758619308472,0.14159919321537018,0.27435246109962463,0.19066587090492249,0.15720227360725403,0.27435246109962463,0.04686194285750389,0.07714743167161942,0.1867433786392212,0.25654837489128113,0.16606415808200836,0.27435246109962463,0.17841649055480957,0.09368837624788284,0.19884245097637177,0.06257530301809311,0.08908887207508087,0.05097517371177673
to,0.42656609416007996,0.16305041313171387,0.535392165184021,0.2218901813030243,0.4451248347759247,0.535392165184021,-0.017873845994472504,0.2440456748008728,0.5436353087425232,0.42745086550712585,0.45010748505592346,0.535392165184021,0.2109750658273697,0.1254875510931015,0.45503583550453186,0.19252733886241913,0.2094893753528595,0.29463258385658264
16th,0.09550163894891739,0.1417640596628189,0.2201097458600998,0.16798128187656403,0.18713271617889404,0.2201097458600998,0.06892656534910202,0.08215659856796265,0.1176328957080841,0.20989952981472015,0.1515994518995285,0.2201097458600998,0.1764819324016571,0.11967941373586655,0.18024180829524994,0.09076862037181854,0.12033172696828842,0.06695828586816788
