,which,famous,dutch,artist,who,painted,the,night,watch,is,represented,in,the,drawings,collection,of,the,v,&,a,?
the,0.6521818041801453,0.28616565465927124,0.1705695390701294,0.1862100064754486,0.3733934462070465,0.18695808947086334,1.0,0.2817382514476776,0.24077482521533966,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.19117170572280884,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
collection,0.30199134349823,0.23276883363723755,0.08413251489400864,0.2585020363330841,0.11647152900695801,0.24867796897888184,0.25281965732574463,0.1644856333732605,0.16594015061855316,0.21135231852531433,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.3887491524219513,0.9999998807907104,0.2915455996990204,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
of,0.5011631846427917,0.3074295222759247,0.14408773183822632,0.15722915530204773,0.2827862501144409,0.21165502071380615,0.733189046382904,0.19958451390266418,0.19463703036308289,0.4854315221309662,0.3891753554344177,0.5696388483047485,0.733189046382904,0.23873206973075867,0.2915455996990204,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
drawings,0.23354779183864594,0.3058651387691498,0.1666788011789322,0.40011364221572876,0.20902255177497864,0.5305083990097046,0.19117170572280884,0.19865313172340393,0.16465626657009125,0.14478443562984467,0.20017090439796448,0.18445944786071777,0.19117170572280884,1.0000001192092896,0.3887491524219513,0.23873206973075867,0.19117170572280884,0.08071447908878326,0.14873763918876648,0.15433108806610107,0.15541397035121918
includes,0.36315640807151794,0.2944819927215576,0.07941512018442154,0.1369931846857071,0.10480155050754547,0.15336082875728607,0.3388250470161438,0.12744799256324768,0.17151953279972076,0.4033885896205902,0.21544957160949707,0.32460328936576843,0.3388250470161438,0.2228592187166214,0.3749653398990631,0.4359378218650818,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.14011523127555847
over,0.4256240129470825,0.2533319890499115,0.141489639878273,0.18880997598171234,0.316001296043396,0.17566092312335968,0.39856547117233276,0.22360053658485413,0.28114593029022217,0.2159561663866043,0.17716996371746063,0.3605569899082184,0.39856547117233276,0.20427492260932922,0.21212655305862427,0.36136594414711,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.25742942094802856
"10,000",-0.1248844638466835,0.04802420735359192,0.05591616779565811,-0.007887069135904312,-0.0025381569284945726,0.0008646470378153026,-0.07657112926244736,0.07780956476926804,-0.012530440464615822,-0.00011738140892703086,-0.03563957288861275,-0.056806739419698715,-0.07657112926244736,-0.05514957383275032,0.000463886623037979,-0.024864796549081802,-0.07657112926244736,0.1218033954501152,0.12590238451957703,-0.006958124227821827,0.10342991352081299
british,0.2002234309911728,0.23513521254062653,0.3739546239376068,0.15826356410980225,0.2666113078594208,0.16832199692726135,0.28973397612571716,0.12690968811511993,0.1399533897638321,0.19484983384609222,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.10146314650774002,0.15021207928657532,0.23701532185077667,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.09711728990077972
and,0.506277859210968,0.2970265746116638,0.26873692870140076,0.20686885714530945,0.41279885172843933,0.22326073050498962,0.5171257257461548,0.2350444346666336,0.28016096353530884,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.26347166299819946,0.2379438579082489,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
"2,000",-0.05872787535190582,0.10288267582654953,0.07120490819215775,0.1413199007511139,0.15622515976428986,0.03680536895990372,0.06475643068552017,0.07525143027305603,0.01322559081017971,-0.004002113360911608,0.016650240868330002,0.04807119444012642,0.06475643068552017,0.07774565368890762,0.047761909663677216,0.10164742916822433,0.06475643068552017,-0.030162058770656586,0.05775902420282364,0.04046183079481125,-0.01396813802421093
old,0.3071022629737854,0.20580843091011047,0.13689342141151428,0.12518973648548126,0.2511109709739685,0.15141835808753967,0.31849798560142517,0.12355336546897888,0.1224474310874939,0.24332627654075623,0.15632617473602295,0.2865324318408966,0.31849798560142517,0.21005967259407043,0.15432500839233398,0.30522194504737854,0.31849798560142517,0.07272037863731384,0.13134126365184784,0.2846200466156006,0.20577076077461243
master,0.18431153893470764,0.1524212509393692,0.16449709236621857,0.27713289856910706,0.3010654151439667,0.14003117382526398,0.19769129157066345,0.14519742131233215,0.09636522829532623,0.16117574274539948,0.1442679464817047,0.17882928252220154,0.19769129157066345,0.2171470820903778,0.15440933406352997,0.17072871327400208,0.19769129157066345,0.09621870517730713,0.14030353724956512,0.2078990340232849,0.11915034055709839
works,0.2730301022529602,0.28817856311798096,0.14714467525482178,0.27076712250709534,0.2919859290122986,0.3006913959980011,0.26337864995002747,0.15261049568653107,0.14481064677238464,0.30236580967903137,0.15046696364879608,0.2656683027744293,0.26337864995002747,0.3757094442844391,0.3417747914791107,0.1964656114578247,0.26337864995002747,0.1258377879858017,0.12323866784572601,0.2170431762933731,0.19597402215003967
",",0.3658004403114319,0.2816491723060608,0.23674406111240387,0.2583858072757721,0.3365725874900818,0.1939309537410736,0.4933079481124878,0.24717365205287933,0.19597528874874115,0.4691906273365021,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2235531359910965,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
including,0.41826364398002625,0.3776775002479553,0.13590611517429352,0.17414095997810364,0.2835840582847595,0.19063293933868408,0.3738902807235718,0.1905103176832199,0.20084339380264282,0.25093933939933777,0.22142086923122406,0.35857823491096497,0.3738902807235718,0.26133641600608826,0.32469215989112854,0.44195112586021423,0.3738902807235718,0.07733747363090515,0.24869678914546967,0.21045410633087158,0.1633303165435791
works,0.2730301022529602,0.28817856311798096,0.14714467525482178,0.27076712250709534,0.2919859290122986,0.3006913959980011,0.26337864995002747,0.15261049568653107,0.14481064677238464,0.30236580967903137,0.15046696364879608,0.2656683027744293,0.26337864995002747,0.3757094442844391,0.3417747914791107,0.1964656114578247,0.26337864995002747,0.1258377879858017,0.12323866784572601,0.2170431762933731,0.19597402215003967
