,who,is,known,as,the,father,of,the,modern,steam,railways,?
other,0.3612329661846161,0.25895947217941284,0.2199651598930359,0.42805421352386475,0.44152235984802246,0.19568870961666107,0.38583824038505554,0.44152235984802246,0.2693008780479431,0.17945607006549835,0.15349815785884857,0.24682199954986572
notable,0.23320899903774261,0.20672309398651123,0.3208778202533722,0.2787022590637207,0.20948168635368347,0.12588180601596832,0.1985267549753189,0.20948168635368347,0.10472715646028519,0.13549526035785675,0.14162318408489227,0.31928157806396484
people,0.3933800458908081,0.34254953265190125,0.13246847689151764,0.15704652667045593,0.36838498711586,0.2560059428215027,0.3251037895679474,0.36838498711586,0.17982760071754456,0.1555713415145874,0.23586110770702362,0.23739641904830933
born,0.3351559042930603,0.2600996494293213,0.3922918140888214,0.2520121932029724,0.19202874600887299,0.43920791149139404,0.19769194722175598,0.19202874600887299,0.1715320497751236,0.07303018122911453,0.11977116763591766,0.19166848063468933
in,0.2792111933231354,0.5394441485404968,0.32641831040382385,0.3887844979763031,0.6662389636039734,0.25954100489616394,0.5696388483047485,0.6662389636039734,0.29808807373046875,0.19852672517299652,0.23811113834381104,0.20430970191955566
or,0.31144875288009644,0.41870999336242676,0.2710355222225189,0.4400654137134552,0.4174870550632477,0.16996145248413086,0.3792596757411957,0.4174870550632477,0.23133128881454468,0.2369248867034912,0.17129114270210266,0.32389625906944275
associated,0.1752842664718628,0.2300606518983841,0.3094818592071533,0.2813912034034729,0.2742886245250702,0.14874210953712463,0.3077163100242615,0.2742886245250702,0.1609509438276291,0.11715645343065262,0.15884101390838623,0.1453326791524887
with,0.3282766342163086,0.3250955045223236,0.23440474271774292,0.40387406945228577,0.4223487675189972,0.17124000191688538,0.41827285289764404,0.4223487675189972,0.17969171702861786,0.21801024675369263,0.13971759378910065,0.2433311939239502
newcastle,0.21185682713985443,0.1841045320034027,0.14520376920700073,0.21526619791984558,0.2253497689962387,0.11288730800151825,0.18781472742557526,0.2253497689962387,0.12813922762870789,0.23284360766410828,0.23747022449970245,0.0902252271771431
include,0.15078489482402802,0.28863582015037537,0.323519766330719,0.3469957113265991,0.2951717972755432,0.10783843696117401,0.37431180477142334,0.2951717972755432,0.23768767714500427,0.1874508410692215,0.14649419486522675,0.14925788342952728
:,-0.0025186005514115095,-0.07222653180360794,-0.08845984935760498,-0.11037297546863556,-0.03403344005346298,0.042727965861558914,-0.08807745575904846,-0.03403344005346298,-0.021275630220770836,-0.08801178634166718,-0.07440993934869766,-0.07156077772378922
engineer,0.24997320771217346,0.15446330606937408,0.12763400375843048,0.17610689997673035,0.16607177257537842,0.2825526297092438,0.13477154076099396,0.16607177257537842,0.21812792122364044,0.28024187684059143,0.28231459856033325,0.12995383143424988
and,0.41279885172843933,0.3859752118587494,0.3468935489654541,0.49487000703811646,0.5171257257461548,0.3168204128742218,0.5116966962814331,0.5171257257461548,0.3277876079082489,0.24133789539337158,0.23216985166072845,0.20544172823429108
industrialist,0.2483951300382614,0.1653907597064972,0.22016623616218567,0.19473521411418915,0.20365475118160248,0.28938642144203186,0.20889975130558014,0.20365475118160248,0.21058090031147003,0.2571827173233032,0.369657427072525,0.08886928111314774
lord,0.25294241309165955,0.14423592388629913,0.14128296077251434,0.18802540004253387,0.2489406019449234,0.2710990607738495,0.20127125084400177,0.2489406019449234,0.0334264300763607,0.14979217946529388,0.11354843527078629,0.09544310718774796
armstrong,0.2220722734928131,0.1491171419620514,0.1283353865146637,0.26776552200317383,0.21708513796329498,0.1546057164669037,0.22170914709568024,0.21708513796329498,0.12869764864444733,0.14770589768886566,0.08053348958492279,0.16033582389354706
