,where,was,the,gate,of,king,hugo,?
it,0.36972272396087646,0.4577186405658722,0.6251175999641418,0.1883658766746521,0.38761502504348755,0.23369887471199036,0.1864708513021469,0.25732165575027466
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.2281380146741867,0.4069072902202606,0.27377256751060486,0.24069054424762726,0.18412111699581146
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.19865471124649048,0.5696388483047485,0.2044914960861206,0.17243455350399017,0.20430970191955566
this,0.4012809097766876,0.3638818562030792,0.6274310946464539,0.18494731187820435,0.45148900151252747,0.2415798157453537,0.1721339076757431,0.3155723512172699
place,0.4786618947982788,0.26867109537124634,0.4179787337779999,0.20434777438640594,0.2685627043247223,0.19338911771774292,0.15649834275245667,0.2455766350030899
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.19865471124649048,0.5696388483047485,0.2044914960861206,0.17243455350399017,0.20430970191955566
tours,0.17971090972423553,0.16784882545471191,0.24928417801856995,0.10644178092479706,0.22984883189201355,0.20911118388175964,0.17485573887825012,0.09602359682321548
that,0.4876193106174469,0.33670201897621155,0.5473989248275757,0.18597249686717987,0.41498205065727234,0.16788895428180695,0.15956133604049683,0.32716336846351624
the,0.5003893971443176,0.48711544275283813,1.0,0.23649795353412628,0.733189046382904,0.25887003540992737,0.2635921835899353,0.22068053483963013
prétendus,0.26183751225471497,0.371084064245224,0.4075843095779419,0.29320457577705383,0.350101113319397,0.3455551266670227,0.303021639585495,0.15486977994441986
réformés,0.3025195598602295,0.3385307192802429,0.3785887062549591,0.2017918825149536,0.3707495629787445,0.2949332892894745,0.31496286392211914,0.348922461271286
(,0.1970011591911316,0.2980341613292694,0.33289089798927307,0.1783822774887085,0.35032153129577637,0.16882751882076263,0.1698152720928192,0.40561532974243164
``,0.020612511783838272,-0.012679691426455975,0.029072100296616554,-0.13433998823165894,0.06780257821083069,0.05158674716949463,-0.013774187304079533,0.0685480609536171
these,0.380450963973999,0.19784674048423767,0.49086877703666687,0.11092828959226608,0.42684608697891235,0.15986226499080658,0.12426937371492386,0.2571668326854706
supposedly,0.317930668592453,0.3860795795917511,0.3071683347225189,0.16989916563034058,0.21371346712112427,0.20159050822257996,0.1529674232006073,0.2077445387840271
'reformed,0.16969358921051025,0.310123085975647,0.2251901775598526,0.18014509975910187,0.24612921476364136,0.16586509346961975,0.06497824937105179,0.14761577546596527
',0.24928376078605652,0.33675912022590637,0.474788099527359,0.18280193209648132,0.39136970043182373,0.22070179879665375,0.18325118720531464,0.330942302942276
'',0.016034942120313644,0.04456103965640068,0.041273195296525955,0.10644444078207016,0.13035868108272552,0.039368029683828354,-0.023280616849660873,0.018684765323996544
),0.20711064338684082,0.3267642855644226,0.3456730246543884,0.19361355900764465,0.3680361211299896,0.19200363755226135,0.15478858351707458,0.42300865054130554
habitually,0.28275278210639954,0.22544211149215698,0.23796434700489044,0.05872181057929993,0.23525667190551758,0.08960303664207458,0.0734037384390831,0.21654124557971954
gathered,0.30543252825737,0.25376200675964355,0.3359522223472595,0.24323226511478424,0.3358455300331116,0.259838730096817,0.07660965621471405,0.14883534610271454
at,0.4402937591075897,0.36707764863967896,0.457212895154953,0.19346238672733307,0.42558613419532776,0.17968851327896118,0.10710553079843521,0.21978627145290375
night,0.21789921820163727,0.21724213659763336,0.2817382514476776,0.14569222927093506,0.19958451390266418,0.16595393419265747,0.13021573424339294,0.13794848322868347
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.1897594928741455,0.4946078956127167,0.27879971265792847,0.26286637783050537,0.31091248989105225
both,0.3814130425453186,0.2990766167640686,0.4931981563568115,0.18382351100444794,0.3565710783004761,0.1732235699892044,0.14485107362270355,0.19455738365650177
for,0.38599511981010437,0.3863949179649353,0.4739971458911896,0.1342562735080719,0.4185989499092102,0.17887762188911438,0.23698927462100983,0.264628142118454
political,0.16760075092315674,0.24282537400722504,0.20477235317230225,0.09215875715017319,0.27319738268852234,0.1624220758676529,0.1631944328546524,0.17130474746227264
purposes,0.26942265033721924,0.18800880014896393,0.27476897835731506,0.1565350443124771,0.2639778256416321,0.04776744171977043,0.078556127846241,0.15262550115585327
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.1897594928741455,0.4946078956127167,0.27879971265792847,0.26286637783050537,0.31091248989105225
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.19764412939548492,0.5116966962814331,0.24642229080200195,0.19064243137836456,0.20544172823429108
for,0.38599511981010437,0.3863949179649353,0.4739971458911896,0.1342562735080719,0.4185989499092102,0.17887762188911438,0.23698927462100983,0.264628142118454
prayer,0.1671883761882782,0.1432703286409378,0.2471906840801239,0.2237321436405182,0.18775463104248047,0.224971741437912,0.08274571597576141,0.2122897058725357
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.19764412939548492,0.5116966962814331,0.24642229080200195,0.19064243137836456,0.20544172823429108
singing,0.21792766451835632,0.18716584146022797,0.20382609963417053,0.07700400799512863,0.19703896343708038,0.18265429139137268,0.15376709401607513,0.16125191748142242
psalms,0.19301281869411469,0.1978234052658081,0.258597731590271,0.22203899919986725,0.25122636556625366,0.2946799695491791,0.23190537095069885,0.2002570480108261
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.17268480360507965,0.5352458953857422,0.2334747016429901,0.213288351893425,0.4130953550338745
