,what,is,also,decided,by,the,presiding,officer,?
the,0.42745697498321533,0.5823672413825989,0.6021018624305725,0.37534645199775696,0.4408751428127289,1.0,0.3267684876918793,0.25777485966682434,0.22068053483963013
presiding,0.21225658059120178,0.2072397768497467,0.18273694813251495,0.22580675780773163,0.2119493931531906,0.3267684876918793,1.0000001192092896,0.33943602442741394,0.177648663520813
officer,0.18551595509052277,0.19916827976703644,0.1805957555770874,0.2148662507534027,0.2153020203113556,0.25777485966682434,0.33943602442741394,0.9999998807907104,0.119948610663414
(,0.2411840260028839,0.35393038392066956,0.2962331771850586,0.15056683123111725,0.20696312189102173,0.33289089798927307,0.18819591403007507,0.20257292687892914,0.40561532974243164
or,0.33867141604423523,0.41870999336242676,0.46319106221199036,0.22533480823040009,0.30274316668510437,0.4174870550632477,0.17279033362865448,0.1590348482131958,0.32389625906944275
deputy,0.20033134520053864,0.1354430913925171,0.18918122351169586,0.17747510969638824,0.1871693879365921,0.2075105756521225,0.4791545867919922,0.4500807821750641,0.08738585561513901
presiding,0.21225658059120178,0.2072397768497467,0.18273694813251495,0.22580675780773163,0.2119493931531906,0.3267684876918793,1.0000001192092896,0.33943602442741394,0.177648663520813
officer,0.18551595509052277,0.19916827976703644,0.1805957555770874,0.2148662507534027,0.2153020203113556,0.25777485966682434,0.33943602442741394,0.9999998807907104,0.119948610663414
),0.26259949803352356,0.37732169032096863,0.32058730721473694,0.15647068619728088,0.2151763141155243,0.3456730246543884,0.1879853457212448,0.22641605138778687,0.42300865054130554
decides,0.33449020981788635,0.27412500977516174,0.2051839828491211,0.5742282271385193,0.22951313853263855,0.32573065161705017,0.2644043266773224,0.2632531225681305,0.2636670470237732
who,0.40942975878715515,0.24293622374534607,0.47919341921806335,0.3009106516838074,0.39727845788002014,0.3733934462070465,0.24317249655723572,0.31437572836875916,0.26220351457595825
speaks,0.23671430349349976,0.33243292570114136,0.2559933662414551,0.12457214295864105,0.1399732381105423,0.2779020071029663,0.26637697219848633,0.1848340481519699,0.20732364058494568
in,0.30808621644973755,0.5394441485404968,0.5073733329772949,0.30060529708862305,0.370934396982193,0.6662389636039734,0.21499644219875336,0.24015754461288452,0.20430970191955566
chamber,0.1224752739071846,0.18098223209381104,0.2452014833688736,0.11695875972509384,0.16238753497600555,0.2594704031944275,0.15809614956378937,0.1796741485595703,0.04307165369391441
debates,0.2959657907485962,0.21664585173130035,0.2365485429763794,0.2551089823246002,0.1896974891424179,0.2661968469619751,0.3781055808067322,0.1369011253118515,0.23877738416194916
and,0.31309178471565247,0.3859752118587494,0.5755972862243652,0.2995150089263916,0.4289871156215668,0.5171257257461548,0.2103288769721985,0.22929392755031586,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,0.6021018624305725,0.37534645199775696,0.4408751428127289,1.0,0.3267684876918793,0.25777485966682434,0.22068053483963013
amount,0.2602839767932892,0.3016021251678467,0.3289831578731537,0.1723170280456543,0.19143085181713104,0.3336862325668335,0.1107461228966713,0.11768189072608948,0.17984020709991455
of,0.33290785551071167,0.4854315221309662,0.4924938678741455,0.2880963683128357,0.3646814823150635,0.733189046382904,0.3004159927368164,0.23883900046348572,0.1826142966747284
time,0.36319252848625183,0.25187405943870544,0.385476291179657,0.3059038817882538,0.26502725481987,0.43061500787734985,0.18436990678310394,0.169559508562088,0.27391523122787476
for,0.3017193675041199,0.43268078565597534,0.5373267531394958,0.2708965837955475,0.3248702883720398,0.4739971458911896,0.18266896903514862,0.17035067081451416,0.264628142118454
which,0.5261979103088379,0.4457404911518097,0.6566565632820129,0.23397822678089142,0.40543368458747864,0.6521818041801453,0.17698591947555542,0.11291004717350006,0.25814583897590637
they,0.4431931674480438,0.330102801322937,0.5272021293640137,0.39493227005004883,0.3391372263431549,0.49925389885902405,0.1254286915063858,0.09851228445768356,0.2753053903579712
are,0.29724663496017456,0.5330929756164551,0.4565894305706024,0.14153756201267242,0.37842893600463867,0.40399202704429626,0.11356163769960403,0.05922366678714752,0.24591213464736938
allowed,0.2693612575531006,0.14454121887683868,0.33208227157592773,0.5057175755500793,0.24764572083950043,0.2985120713710785,0.18059326708316803,0.10837753862142563,0.2309964895248413
to,0.455847829580307,0.42745086550712585,0.5348826050758362,0.43155255913734436,0.33534231781959534,0.535392165184021,0.2064446657896042,0.2198503315448761,0.29463258385658264
speak,0.3106061816215515,0.24546261131763458,0.2880311906337738,0.19149500131607056,0.12778501212596893,0.2565973103046417,0.22968415915966034,0.18748311698436737,0.2619509994983673
.,0.3567904531955719,0.4569662809371948,0.49166762828826904,0.2819988429546356,0.3936232924461365,0.5934505462646484,0.2744200527667999,0.20371799170970917,0.4130953550338745
