,savannah,areas,expanded,over,the,last,how,many,years,?
climate,0.3540549874305725,0.29518818855285645,0.1708153486251831,0.18225818872451782,0.2693597674369812,0.12640663981437683,0.23680974543094635,0.22610758244991302,0.15675710141658783,0.19998492300510406
fluctuations,0.15475763380527496,0.3712148368358612,0.3674500584602356,0.32344692945480347,0.34029945731163025,0.22136980295181274,0.36450380086898804,0.3527121841907501,0.30112698674201965,0.21348461508750916
during,0.1863948255777359,0.2592601776123047,0.1970842182636261,0.3472751975059509,0.4838213622570038,0.3807850182056427,0.26830652356147766,0.3661181330680847,0.39110565185546875,0.1325719803571701
the,0.22411200404167175,0.3311663568019867,0.3258892893791199,0.39856547117233276,1.0,0.3698786795139313,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
last,0.1030784547328949,0.11621955782175064,0.17547596991062164,0.29127854108810425,0.3698786795139313,1.0,0.24577783048152924,0.21182136237621307,0.36042001843452454,0.22371746599674225
34,0.1327792853116989,0.05162569880485535,-0.04516225680708885,-0.040974557399749756,0.0011487285373732448,0.023834485560655594,0.02601894736289978,-0.062289293855428696,0.00219153449870646,-0.004250505939126015
million,0.10799729824066162,0.18135081231594086,0.13369859755039215,0.3791847825050354,0.277012437582016,0.17416778206825256,0.21114659309387207,0.3520967364311218,0.4808195233345032,0.23092924058437347
years,0.09128279238939285,0.17982381582260132,0.24936622381210327,0.3751278817653656,0.2912273406982422,0.36042001843452454,0.21949264407157898,0.2731519937515259,1.0,0.1914375126361847
have,0.1455920785665512,0.35837849974632263,0.3090464174747467,0.41283175349235535,0.40389683842658997,0.27193668484687805,0.4370637536048889,0.5841760635375977,0.31441381573677063,0.32991164922714233
allowed,0.18435151875019073,0.22568538784980774,0.23423218727111816,0.26872584223747253,0.2985120713710785,0.22123445570468903,0.29753124713897705,0.28547772765159607,0.2063078135251999,0.2309964895248413
savanna,0.8351864218711853,0.3461507558822632,0.14619429409503937,0.1580457240343094,0.25403106212615967,0.10924678295850754,0.17556031048297882,0.25629064440727234,0.09940794110298157,0.13222691416740417
regions,0.17369048297405243,0.5606828927993774,0.2622624635696411,0.23590515553951263,0.36158451437950134,0.1300315409898758,0.17269299924373627,0.2500225305557251,0.19158801436424255,0.11608363687992096
to,0.2469266653060913,0.29808273911476135,0.29032543301582336,0.38635820150375366,0.535392165184021,0.30156898498535156,0.44169697165489197,0.40243685245513916,0.23891852796077728,0.29463258385658264
expand,0.08955533802509308,0.2230657935142517,0.7629560232162476,0.29183125495910645,0.28561270236968994,0.17663449048995972,0.26880985498428345,0.1983940452337265,0.22454269230365753,0.2819165587425232
into,0.11900178343057632,0.28776416182518005,0.28300613164901733,0.372319757938385,0.39493247866630554,0.0981624573469162,0.2303972691297531,0.2618265151977539,0.16104477643966675,0.15662476420402527
the,0.22411200404167175,0.3311663568019867,0.3258892893791199,0.39856547117233276,1.0,0.3698786795139313,0.33890387415885925,0.4335206151008606,0.2912273406982422,0.22068053483963013
tropics,0.34740251302719116,0.42606234550476074,0.18582530319690704,0.2195068597793579,0.23706603050231934,0.15547794103622437,0.20418035984039307,0.26751282811164856,0.20473086833953857,0.151444211602211
.,0.24154837429523468,0.23760369420051575,0.2730693221092224,0.37877383828163147,0.5934505462646484,0.3548945486545563,0.3287222981452942,0.3974229395389557,0.31919315457344055,0.4130953550338745
