,who,was,abc,'s,third,major,rival,in,1949,?
in,0.2792111933231354,0.45514053106307983,0.1697147786617279,-0.037580832839012146,0.3309578001499176,0.3249945342540741,0.17891286313533783,1.0,0.17519041895866394,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.2068762183189392,-0.01540423184633255,0.4229298532009125,0.31775903701782227,0.2149961143732071,0.6662389636039734,0.2687380611896515,0.22068053483963013
fall,0.14571887254714966,0.22278504073619843,0.14103294909000397,-0.05826059728860855,0.20445090532302856,0.15361826121807098,0.17891930043697357,0.22958555817604065,0.03899022936820984,0.1656162142753601
of,0.2827862501144409,0.4069072902202606,0.14607268571853638,-0.03817026689648628,0.30602210760116577,0.2641255557537079,0.16546274721622467,0.5696388483047485,0.2565067410469055,0.1826142966747284
1949,0.15308405458927155,0.22808216512203217,0.1190110445022583,0.06702027469873428,0.09228024631738663,0.13715022802352905,0.05164809897542,0.17519041895866394,0.9999999403953552,0.16888584196567535
",",0.3365725874900818,0.45456063747406006,0.2097204476594925,-0.0016132977325469255,0.283071368932724,0.29355156421661377,0.16514593362808228,0.5201468467712402,0.1767846941947937,0.31091248989105225
abc,0.14673753082752228,0.21565799415111542,1.0000001192092896,0.06670809537172318,0.09984055906534195,0.1743539571762085,0.09486591815948486,0.1697147786617279,0.1190110445022583,0.19065172970294952
found,0.17055200040340424,0.18447895348072052,0.09876810014247894,0.005866709165275097,0.13518866896629333,0.15146303176879883,0.12079916149377823,0.39141854643821716,0.027668887749314308,0.16790300607681274
itself,0.1538408249616623,0.24240277707576752,0.1984531283378601,-0.024358876049518585,0.20796482264995575,0.2078542858362198,0.11541992425918579,0.28042417764663696,0.19644775986671448,0.17933900654315948
in,0.2792111933231354,0.45514053106307983,0.1697147786617279,-0.037580832839012146,0.3309578001499176,0.3249945342540741,0.17891286313533783,1.0,0.17519041895866394,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.2068762183189392,-0.01540423184633255,0.4229298532009125,0.31775903701782227,0.2149961143732071,0.6662389636039734,0.2687380611896515,0.22068053483963013
position,0.2597297430038452,0.23203803598880768,0.1637340784072876,-0.02956485003232956,0.14991925656795502,0.13214832544326782,0.1385345607995987,0.20453733205795288,0.15764634311199188,0.15529610216617584
of,0.2827862501144409,0.4069072902202606,0.14607268571853638,-0.03817026689648628,0.30602210760116577,0.2641255557537079,0.16546274721622467,0.5696388483047485,0.2565067410469055,0.1826142966747284
an,0.2848317325115204,0.3694365322589874,0.16561369597911835,0.025255560874938965,0.233324334025383,0.14518070220947266,0.05997709929943085,0.2605783939361572,0.12778796255588531,0.19793890416622162
outsider,0.37053146958351135,0.2776632308959961,0.17686188220977783,0.004016268532723188,0.2443418800830841,0.2306334674358368,0.18537333607673645,0.321720689535141,0.1963513344526291,0.26101720333099365
",",0.3365725874900818,0.45456063747406006,0.2097204476594925,-0.0016132977325469255,0.283071368932724,0.29355156421661377,0.16514593362808228,0.5201468467712402,0.1767846941947937,0.31091248989105225
