,what,are,the,three,major,traditions,present,in,christianity,?
there,0.35085538029670715,0.5433560013771057,0.47025805711746216,0.3531675636768341,0.27976733446121216,0.2990190386772156,0.22687895596027374,0.5361666083335876,0.2046097069978714,0.29405656456947327
are,0.29724663496017456,1.0,0.40399202704429626,0.38895705342292786,0.21536177396774292,0.3339942693710327,0.20985287427902222,0.3841303884983063,0.17709970474243164,0.24591213464736938
many,0.36131182312965393,0.5655534863471985,0.4335206151008606,0.4501400589942932,0.2907782793045044,0.36509189009666443,0.14346416294574738,0.41474202275276184,0.2578398585319519,0.2124512493610382
forms,0.16334041953086853,0.32807791233062744,0.2950737178325653,0.19852806627750397,0.17501302063465118,0.3904150426387787,0.1941041648387909,0.26377561688423157,0.20290516316890717,0.1196754202246666
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3844621181488037,0.2641255557537079,0.2921203374862671,0.3116828501224518,0.5696388483047485,0.2674740254878998,0.1826142966747284
spiritual,0.2431802898645401,0.1689925491809845,0.2149372547864914,0.12194996327161789,0.11362297832965851,0.4124178886413574,0.0484187975525856,0.1903325319290161,0.4858110249042511,0.1801415979862213
or,0.33867141604423523,0.5374364256858826,0.4174870550632477,0.25355035066604614,0.21074031293392181,0.32729700207710266,0.17365464568138123,0.3586423695087433,0.18387722969055176,0.32389625906944275
religious,0.26794421672821045,0.20633597671985626,0.22950971126556396,0.14797210693359375,0.209694966673851,0.45478489995002747,0.13910427689552307,0.24099457263946533,0.5730897188186646,0.15727058053016663
teachers,0.2526462972164154,0.2565288841724396,0.22025763988494873,0.1903533935546875,0.07087451219558716,0.31369519233703613,0.15451742708683014,0.2128150761127472,0.20471397042274475,0.19522249698638916
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.34828072786331177,0.3249945342540741,0.251825749874115,0.23905439674854279,1.0,0.22138716280460358,0.20430970191955566
christianity,0.27987581491470337,0.17709970474243164,0.2489117980003357,0.1538826823234558,0.12036482989788055,0.49514275789260864,0.175095796585083,0.22138716280460358,1.0,0.22408421337604523
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.29355156421661377,0.2505646049976349,0.267320841550827,0.5201468467712402,0.255263090133667,0.31091248989105225
across,0.24809791147708893,0.24150612950325012,0.3816230297088623,0.18344904482364655,0.21833650767803192,0.15605022013187408,0.06973163783550262,0.36988839507102966,0.22294487059116364,0.17034576833248138
all,0.41981086134910583,0.5343062281608582,0.4860881567001343,0.3989922106266022,0.27899685502052307,0.24854715168476105,0.26032355427742004,0.3335905969142914,0.24064089357852936,0.29575422406196594
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,1.0,0.2582734227180481,0.21608790755271912,0.20450296998023987,0.34828072786331177,0.1538826823234558,0.20928427577018738
major,0.21026742458343506,0.21536177396774292,0.31775903701782227,0.2582734227180481,0.9999998807907104,0.1747908890247345,0.16361168026924133,0.3249945342540741,0.12036482989788055,0.19788557291030884
traditions,0.253129243850708,0.3339942693710327,0.26193809509277344,0.21608790755271912,0.1747908890247345,1.0,0.15394502878189087,0.251825749874115,0.49514275789260864,0.18007412552833557
-,0.13380742073059082,0.16516205668449402,0.3207225501537323,0.20532630383968353,0.1488903909921646,0.12713339924812317,0.24620294570922852,0.2593633532524109,0.12237419188022614,0.3336010277271271
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.2272176295518875,0.19543711841106415,0.13984061777591705,0.27962008118629456,0.3087427020072937,0.15904149413108826,0.40561532974243164
roman,0.17852471768856049,0.1207391545176506,0.2862859070301056,0.16889168322086334,0.18925079703330994,0.26053401827812195,0.14519323408603668,0.24986636638641357,0.4328136146068573,0.1663191318511963
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.2493964433670044,0.17611342668533325,0.16180410981178284,0.2881450951099396,0.3326910734176636,0.19382785260677338,0.42300865054130554
catholic,0.1882777214050293,0.17294862866401672,0.26391419768333435,0.1872492879629135,0.09357519447803497,0.31562018394470215,0.12014342099428177,0.26313918828964233,0.5075134038925171,0.16609853506088257
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.29355156421661377,0.2505646049976349,0.267320841550827,0.5201468467712402,0.255263090133667,0.31091248989105225
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.2272176295518875,0.19543711841106415,0.13984061777591705,0.27962008118629456,0.3087427020072937,0.15904149413108826,0.40561532974243164
eastern,0.2263268083333969,0.21353314816951752,0.3928247392177582,0.21739931404590607,0.21762019395828247,0.2954370081424713,0.12621627748012543,0.3306356370449066,0.2969541847705841,0.20060817897319794
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.2493964433670044,0.17611342668533325,0.16180410981178284,0.2881450951099396,0.3326910734176636,0.19382785260677338,0.42300865054130554
orthodox,0.21725283563137054,0.2058437019586563,0.22059780359268188,0.1776888519525528,0.1355966031551361,0.4272244870662689,0.166642963886261,0.21750958263874054,0.5601819157600403,0.20826838910579681
catholic,0.1882777214050293,0.17294862866401672,0.26391419768333435,0.1872492879629135,0.09357519447803497,0.31562018394470215,0.12014342099428177,0.26313918828964233,0.5075134038925171,0.16609853506088257
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.29355156421661377,0.2505646049976349,0.267320841550827,0.5201468467712402,0.255263090133667,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.3826501965522766,0.29795366525650024,0.30337002873420715,0.2790124714374542,0.4954058527946472,0.23834297060966492,0.20544172823429108
protestant/non-denominational,0.29851919412612915,0.28965041041374207,0.3221241533756256,0.24058793485164642,0.16643284261226654,0.3964875340461731,0.2171867936849594,0.2932242155075073,0.6559560894966125,0.28688934445381165
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3347506821155548,0.29355156421661377,0.2505646049976349,0.267320841550827,0.5201468467712402,0.255263090133667,0.31091248989105225
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.35964319109916687,0.21643421053886414,0.22819775342941284,0.20671819150447845,0.4080928862094879,0.19412072002887726,0.2433311939239502
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.3025658130645752,0.22990699112415314,0.2177383005619049,0.14277903735637665,0.539380669593811,0.17630846798419952,0.23916715383529663
stronger,0.26740801334381104,0.23034387826919556,0.24540938436985016,0.19245615601539612,0.11549468338489532,0.1689254194498062,0.14657269418239594,0.20021474361419678,0.1578408181667328,0.12132075428962708
tradition,0.24046438932418823,0.2424667924642563,0.2632053792476654,0.18906500935554504,0.11079912632703781,0.9031673073768616,0.13422757387161255,0.24601249396800995,0.45918983221054077,0.15717756748199463
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3844621181488037,0.2641255557537079,0.2921203374862671,0.3116828501224518,0.5696388483047485,0.2674740254878998,0.1826142966747284
spiritual,0.2431802898645401,0.1689925491809845,0.2149372547864914,0.12194996327161789,0.11362297832965851,0.4124178886413574,0.0484187975525856,0.1903325319290161,0.4858110249042511,0.1801415979862213
formation,0.16291823983192444,0.21110086143016815,0.33687281608581543,0.2060924768447876,0.20607638359069824,0.23228611052036285,0.2019030898809433,0.27297577261924744,0.19173915684223175,0.09831923991441727
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.34828072786331177,0.3249945342540741,0.251825749874115,0.23905439674854279,1.0,0.22138716280460358,0.20430970191955566
the,0.42745697498321533,0.40399202704429626,1.0,0.43452659249305725,0.31775903701782227,0.26193809509277344,0.2829846143722534,0.6662389636039734,0.2489117980003357,0.22068053483963013
