,what,team,received,the,opening,kickoff,?
denver,0.1275133192539215,0.18347741663455963,0.17163492739200592,0.2052404284477234,0.10460881143808365,0.39676401019096375,0.1520889848470688
took,0.1316593885421753,0.1669916957616806,0.2925611436367035,0.31657639145851135,0.2356862723827362,0.1176876649260521,0.14109265804290771
the,0.42745697498321533,0.22564226388931274,0.24890556931495667,1.0,0.37298497557640076,0.17987047135829926,0.22068053483963013
opening,0.18146683275699615,0.1467795968055725,0.21052293479442596,0.37298497557640076,1.0,0.2133951038122177,0.16502447426319122
kickoff,0.16015206277370453,0.32289573550224304,0.15791106224060059,0.17987047135829926,0.2133951038122177,1.0,0.1969275325536728
and,0.31309178471565247,0.22394508123397827,0.24762246012687683,0.5171257257461548,0.23275460302829742,0.19636206328868866,0.20544172823429108
started,0.21609699726104736,0.1727430373430252,0.25011616945266724,0.3222070634365082,0.21723462641239166,0.20826411247253418,0.19447724521160126
out,0.3633197546005249,0.17385028302669525,0.1494208574295044,0.39404502511024475,0.2739563286304474,0.2570548951625824,0.22020699083805084
strong,0.19839218258857727,0.09091665595769882,0.13993796706199646,0.22482411563396454,0.11281617730855942,0.17215654253959656,0.11990999430418015
with,0.2464839518070221,0.21111343801021576,0.1975138634443283,0.4223487675189972,0.20575091242790222,0.24098356068134308,0.2433311939239502
peyton,0.2249990701675415,0.2283242791891098,0.21814307570457458,0.2709864377975464,0.2150452733039856,0.38470762968063354,0.17519715428352356
manning,0.20007498562335968,0.22664494812488556,0.19801078736782074,0.27058160305023193,0.24547283351421356,0.45715853571891785,0.15856626629829407
completing,0.25126639008522034,0.2771773040294647,0.29573482275009155,0.31240642070770264,0.2821562588214874,0.35102784633636475,0.08928072452545166
an,0.2821882665157318,0.09274635463953018,0.1721169799566269,0.4207492768764496,0.1827966272830963,0.18702736496925354,0.19793890416622162
18-yard,0.21207571029663086,0.18798665702342987,0.13475045561790466,0.28322163224220276,0.2314615100622177,0.29400473833084106,0.11260943114757538
pass,0.24105259776115417,0.13830174505710602,0.17646455764770508,0.25961899757385254,0.2594235837459564,0.2549406588077545,0.09478675574064255
to,0.455847829580307,0.23889471590518951,0.18226240575313568,0.535392165184021,0.2393702119588852,0.22069962322711945,0.29463258385658264
tight,0.1766127198934555,0.14180642366409302,0.00018309030565433204,0.20536431670188904,0.20003148913383484,0.32799169421195984,0.11662518978118896
end,0.29234179854393005,0.1527280956506729,0.10250400751829147,0.39658910036087036,0.36104637384414673,0.2109704464673996,0.12543344497680664
owen,0.13150911033153534,0.2127012312412262,0.1916959285736084,0.1796451061964035,0.11962193995714188,0.2915872633457184,0.13738884031772614
daniels,0.10835716128349304,0.24389556050300598,0.20401215553283691,0.15338526666164398,0.07009243965148926,0.3287482261657715,0.1694222241640091
and,0.31309178471565247,0.22394508123397827,0.24762246012687683,0.5171257257461548,0.23275460302829742,0.19636206328868866,0.20544172823429108
a,0.3320399522781372,0.19125498831272125,0.22444266080856323,0.5829201340675354,0.2575104236602783,0.2637993097305298,0.23916715383529663
22-yard,0.22812843322753906,0.17897149920463562,0.12790469825267792,0.28675422072410583,0.2318570464849472,0.28062787652015686,0.11066537350416183
throw,0.250568687915802,0.2162051796913147,0.09542948752641678,0.23050227761268616,0.2461579144001007,0.3464527130126953,0.2296752780675888
to,0.455847829580307,0.23889471590518951,0.18226240575313568,0.535392165184021,0.2393702119588852,0.22069962322711945,0.29463258385658264
receiver,0.17021551728248596,0.26599493622779846,0.5054073929786682,0.21850530803203583,0.17791993916034698,0.3630446493625641,0.11587938666343689
andre,0.12957245111465454,0.2906617224216461,0.13722564280033112,0.17126552760601044,0.08814826607704163,0.315060019493103,0.09964141994714737
caldwell,0.16882453858852386,0.16532351076602936,0.10548768192529678,0.1637139618396759,0.11525140702724457,0.28279128670692444,0.20924519002437592
.,0.3567904531955719,0.26467522978782654,0.25050681829452515,0.5934505462646484,0.2886379361152649,0.2711223363876343,0.4130953550338745
