,along,with,fuel,sources,",",what,concern,has,contributed,to,the,development,of,the,advanced,steam,movement,?
recent,0.18695296347141266,0.2035779356956482,0.14638902246952057,0.2408580332994461,0.26883119344711304,0.24256184697151184,0.3360092341899872,0.3722807466983795,0.3844775855541229,0.31205716729164124,0.31046223640441895,0.22976861894130707,0.2896444797515869,0.31046223640441895,0.27596327662467957,0.204116091132164,0.12866169214248657,0.2544887959957123
concerns,0.1265251189470291,0.22676633298397064,0.18857835233211517,0.3380476236343384,0.3228265941143036,0.345258891582489,0.7876518964767456,0.27837324142456055,0.350675493478775,0.3080695569515228,0.23063859343528748,0.2790365219116211,0.18160763382911682,0.23063859343528748,0.18261678516864777,0.17205803096294403,0.20287242531776428,0.3555730879306793
about,0.2418469786643982,0.3347385823726654,0.1850001960992813,0.26711198687553406,0.3877100944519043,0.47976887226104736,0.36705607175827026,0.35519757866859436,0.28219783306121826,0.391953706741333,0.37995871901512146,0.1544860303401947,0.40939709544181824,0.37995871901512146,0.17156068980693817,0.09810283035039902,0.12823054194450378,0.302409827709198
fuel,0.16307008266448975,0.18444593250751495,0.9999999403953552,0.2732717990875244,0.19458916783332825,0.1848171502351761,0.1839694231748581,0.19259697198867798,0.11619047075510025,0.20716820657253265,0.18534968793392181,0.18451081216335297,0.18857792019844055,0.18534968793392181,0.19725801050662994,0.42463067173957825,0.11142077296972275,0.10583324730396271
sources,0.18683560192584991,0.17556439340114594,0.2732717990875244,1.0,0.3490506112575531,0.30212491750717163,0.28325000405311584,0.20692777633666992,0.2425023764371872,0.29232558608055115,0.27209216356277466,0.20773105323314667,0.20696839690208435,0.27209216356277466,0.18978816270828247,0.15929515659809113,0.15930096805095673,0.2886999845504761
and,0.4213258922100067,0.5477725267410278,0.22683054208755493,0.27464351058006287,0.6633074283599854,0.31309178471565247,0.2441520392894745,0.43716782331466675,0.2908022403717041,0.48971283435821533,0.5171257257461548,0.26069340109825134,0.5116966962814331,0.5171257257461548,0.23157277703285217,0.24133789539337158,0.2837696671485901,0.20544172823429108
pollution,0.1869688779115677,0.21122336387634277,0.4876236617565155,0.3277951776981354,0.2824518084526062,0.23829525709152222,0.3778919577598572,0.25124311447143555,0.2591036558151245,0.29624056816101074,0.2658846378326416,0.2380344122648239,0.28485921025276184,0.2658846378326416,0.14206857979297638,0.3247528076171875,0.23534393310546875,0.22070297598838806
have,0.2685122489929199,0.48046383261680603,0.22275035083293915,0.3191109299659729,0.3541618287563324,0.39808809757232666,0.38858452439308167,0.6353569626808167,0.30383312702178955,0.4544740617275238,0.40389683842658997,0.2828937768936157,0.3802283704280853,0.40389683842658997,0.22519676387310028,0.15978071093559265,0.19237689673900604,0.32991164922714233
incited,0.1532759815454483,0.20804207026958466,0.17457164824008942,0.29081809520721436,0.1999625861644745,0.2463538944721222,0.40743952989578247,0.15953458845615387,0.3182024657726288,0.22645850479602814,0.2290176898241043,0.17182303965091705,0.2332129031419754,0.2290176898241043,0.12639988958835602,0.13617399334907532,0.31198185682296753,0.21146373450756073
a,0.24426962435245514,0.3783375024795532,0.199651837348938,0.16673140227794647,0.427140474319458,0.3320399522781372,0.23163463175296783,0.4670248031616211,0.24738897383213043,0.45503583550453186,0.5829201340675354,0.2762584090232849,0.5052502155303955,0.5829201340675354,0.2437601238489151,0.2141898274421692,0.23380696773529053,0.23916715383529663
renewed,0.13443425297737122,0.2489270269870758,0.2127390205860138,0.11366283148527145,0.1589210331439972,0.17414875328540802,0.2385210245847702,0.2054244428873062,0.2801319360733032,0.2594389319419861,0.3146619200706482,0.2932431697845459,0.2304973006248474,0.3146619200706482,0.1155698299407959,0.19320008158683777,0.2294297218322754,0.1604815125465393
interest,0.19453352689743042,0.1937357634305954,0.16389796137809753,0.272897332906723,0.2741461396217346,0.23849236965179443,0.37279027700424194,0.23859544098377228,0.39786985516548157,0.29384326934814453,0.197127103805542,0.30667105317115784,0.2115241438150406,0.197127103805542,0.14908361434936523,0.12596461176872253,0.15356440842151642,0.2411724328994751
