,when,does,photorespiration,happen,?
photorespiration,0.28096261620521545,0.28059664368629456,1.0,0.2983910143375397,0.19153183698654175
can,0.39191514253616333,0.5156301856040955,0.33742016553878784,0.42251962423324585,0.3226337134838104
occur,0.2505786716938019,0.25113990902900696,0.36673590540885925,0.6170995235443115,0.17999543249607086
when,0.9999999403953552,0.3380102217197418,0.28096261620521545,0.3770412802696228,0.22841128706932068
the,0.5091903209686279,0.35928019881248474,0.32620924711227417,0.2880464494228363,0.22068053483963013
oxygen,0.28107690811157227,0.2380215972661972,0.5277449488639832,0.3087875247001648,0.16786395013332367
concentration,0.26362669467926025,0.15179796516895294,0.37904706597328186,0.22604632377624512,0.1292840540409088
is,0.3471449911594391,0.4403602182865143,0.30643975734710693,0.23881089687347412,0.22961433231830597
too,0.4218566417694092,0.36393922567367554,0.2738363444805145,0.3358383774757385,0.33757779002189636
high,0.20577524602413177,0.2028418332338333,0.2059592306613922,0.15844684839248657,0.11137914657592773
.,0.475719153881073,0.3022993505001068,0.31241074204444885,0.2506430745124817,0.4130953550338745
