,who,was,a,prominent,huguenot,in,holland,?
one,0.40083858370780945,0.3752199709415436,0.4910551905632019,0.3245113492012024,0.19037187099456787,0.4129433035850525,0.14851516485214233,0.2673267424106598
of,0.2827862501144409,0.4069072902202606,0.5052502155303955,0.2952583432197571,0.29061198234558105,0.5696388483047485,0.22898225486278534,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,0.5829201340675354,0.30881059169769287,0.29557526111602783,0.6662389636039734,0.21247440576553345,0.22068053483963013
most,0.35393568873405457,0.29933857917785645,0.3508910834789276,0.3996718227863312,0.20259925723075867,0.41416558623313904,0.12187299877405167,0.2107497900724411
prominent,0.31358104944229126,0.24801866710186005,0.2511630952358246,1.0000001192092896,0.23323705792427063,0.3156912922859192,0.06455565989017487,0.12940338253974915
huguenot,0.32233482599258423,0.24281072616577148,0.22502337396144867,0.23323705792427063,1.0000001192092896,0.26198551058769226,0.3498513996601105,0.1359742432832718
refugees,0.31094834208488464,0.17160305380821228,0.2076767385005951,0.20241761207580566,0.3226073086261749,0.23372824490070343,0.19136662781238556,0.10817430168390274
in,0.2792111933231354,0.45514053106307983,0.539380669593811,0.3156912922859192,0.26198551058769226,1.0,0.23064541816711426,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.5829201340675354,0.30881059169769287,0.29557526111602783,0.6662389636039734,0.21247440576553345,0.22068053483963013
netherlands,0.17750196158885956,0.2328115999698639,0.22332750260829926,0.06644976139068604,0.3516989052295685,0.28237903118133545,0.567846417427063,0.09310898929834366
was,0.3318818509578705,1.0000001192092896,0.4508470594882965,0.24801866710186005,0.24281072616577148,0.45514053106307983,0.239714115858078,0.18412111699581146
pierre,0.20534639060497284,0.21739260852336884,0.20534712076187134,0.051273319870233536,0.3819146156311035,0.20307902991771698,0.16360966861248016,0.16526779532432556
bayle,0.2712157964706421,0.3166215419769287,0.17432953417301178,0.18414698541164398,0.32010024785995483,0.20703253149986267,0.16976311802864075,0.10476436465978622
.,0.3541337847709656,0.40146201848983765,0.50484299659729,0.23774133622646332,0.2060975730419159,0.5591574311256409,0.2652395963668823,0.4130953550338745
