,what,protestant,religions,made,northern,european,counties,safe,for,huguenot,immigration,?
around,0.27475327253341675,0.17198586463928223,0.22970537841320038,0.24239443242549896,0.2741384506225586,0.21021924912929535,0.1851128488779068,0.29930806159973145,0.3193374276161194,0.19047462940216064,0.19210536777973175,0.14729668200016022
1685,0.011768915690481663,0.12303530424833298,0.05072483420372009,0.0853334590792656,0.16322174668312073,0.11311165243387222,0.16324293613433838,0.10133331269025803,0.15051643550395966,0.13856157660484314,0.09638088196516037,-0.07933684438467026
",",0.3087472915649414,0.2710806429386139,0.309471070766449,0.32507219910621643,0.29473260045051575,0.19684812426567078,0.2766191363334656,0.26567134261131287,0.4464869201183319,0.24752236902713776,0.2588530480861664,0.31091248989105225
huguenot,0.1912020891904831,0.5451660752296448,0.3339284062385559,0.13473695516586304,0.19645878672599792,0.3020241856575012,0.13097524642944336,0.15789386630058289,0.14738403260707855,1.0000001192092896,0.40412136912345886,0.1359742432832718
refugees,0.17684882879257202,0.3092256784439087,0.26409173011779785,0.13763193786144257,0.20323333144187927,0.2830762565135956,0.22148336470127106,0.26928097009658813,0.20849357545375824,0.3226073086261749,0.4757654070854187,0.10817430168390274
found,0.1796332150697708,0.12416000664234161,0.16940006613731384,0.2833106815814972,0.22855046391487122,0.11306346207857132,0.12121915817260742,0.19693103432655334,0.19707661867141724,0.16500651836395264,0.13474449515342712,0.16790300607681274
a,0.3320399522781372,0.22869355976581573,0.2105460911989212,0.3180864453315735,0.22329643368721008,0.2254103124141693,0.13999399542808533,0.2723674178123474,0.44038116931915283,0.22502337396144867,0.2166307270526886,0.23916715383529663
safe,0.2761310935020447,0.17811909317970276,0.15365901589393616,0.20756731927394867,0.15386928617954254,0.12244340032339096,0.09925948083400726,0.9999998807907104,0.3391197919845581,0.15789386630058289,0.2062249481678009,0.1838974803686142
haven,0.3082619309425354,0.16877835988998413,0.19012999534606934,0.0668993666768074,0.09788928925991058,0.06368350237607956,0.22088517248630524,0.23774324357509613,0.22065593302249908,0.11684396117925644,0.21728484332561493,0.3103583753108978
in,0.30808621644973755,0.2637297511100769,0.24216291308403015,0.25271502137184143,0.3545122444629669,0.23319172859191895,0.26787781715393066,0.2158227562904358,0.4322226941585541,0.26198551058769226,0.2670528292655945,0.20430970191955566
the,0.42745697498321533,0.2679212689399719,0.2735731303691864,0.3885267674922943,0.3422943353652954,0.3423081040382385,0.23370873928070068,0.30060911178588867,0.4739971458911896,0.29557526111602783,0.29821497201919556,0.22068053483963013
lutheran,0.195865198969841,0.6494681239128113,0.4861156940460205,0.12607607245445251,0.1909065991640091,0.15050263702869415,0.21309524774551392,0.12780673801898956,0.1215796172618866,0.3783966600894928,0.2186606377363205,0.1752520203590393
and,0.31309178471565247,0.25109967589378357,0.3005678355693817,0.34954607486724854,0.2852024435997009,0.24143946170806885,0.21969299018383026,0.3030400574207306,0.5064792633056641,0.2762077748775482,0.28087207674980164,0.20544172823429108
reformed,0.19874340295791626,0.5196900367736816,0.35147935152053833,0.2939459979534149,0.15180367231369019,0.09288118779659271,0.2638983726501465,0.10951904207468033,0.11726110428571701,0.2975481152534485,0.20875972509384155,0.11769431829452515
states,0.21526020765304565,0.17654994130134583,0.21915872395038605,0.19372312724590302,0.29666510224342346,0.25554242730140686,0.36398062109947205,0.12647636234760284,0.2496437132358551,0.1941346377134323,0.34269437193870544,0.16272737085819244
in,0.30808621644973755,0.2637297511100769,0.24216291308403015,0.25271502137184143,0.3545122444629669,0.23319172859191895,0.26787781715393066,0.2158227562904358,0.4322226941585541,0.26198551058769226,0.2670528292655945,0.20430970191955566
germany,0.21690446138381958,0.30596432089805603,0.19904379546642303,0.21389944851398468,0.18349014222621918,0.2982380986213684,0.1724824160337448,0.13005498051643372,0.2319389283657074,0.3405469059944153,0.28119173645973206,0.1388660967350006
and,0.31309178471565247,0.25109967589378357,0.3005678355693817,0.34954607486724854,0.2852024435997009,0.24143946170806885,0.21969299018383026,0.3030400574207306,0.5064792633056641,0.2762077748775482,0.28087207674980164,0.20544172823429108
scandinavia,0.1874845176935196,0.2855422794818878,0.31025224924087524,0.16234686970710754,0.344196617603302,0.3742016851902008,0.22930344939231873,0.13528700172901154,0.1975337266921997,0.20200365781784058,0.23377688229084015,0.13888707756996155
.,0.3567904531955719,0.279432475566864,0.2949666976928711,0.4032190144062042,0.2815330922603607,0.2095622420310974,0.21356114745140076,0.29478102922439575,0.4726039469242096,0.2060975730419159,0.2851162850856781,0.4130953550338745
