,on,what,railroad,was,salamanca,used,?
only,0.38586410880088806,0.41415658593177795,0.12825186550617218,0.36249664425849915,0.16646075248718262,0.36452993750572205,0.2767370045185089
four,0.27816104888916016,0.18057085573673248,0.11025755852460861,0.2866098880767822,0.1409083902835846,0.190225750207901,0.14532537758350372
years,0.2152649462223053,0.1981470286846161,0.18328872323036194,0.35855233669281006,0.1695789098739624,0.11647152900695801,0.1914375126361847
later,0.30872204899787903,0.2517229914665222,0.20995333790779114,0.5684447288513184,0.1861320436000824,0.19394758343696594,0.1417175978422165
",",0.49057599902153015,0.3087472915649414,0.23499074578285217,0.45456063747406006,0.24841874837875366,0.3120402991771698,0.31091248989105225
the,0.5107308030128479,0.42745697498321533,0.2709158957004547,0.48711544275283813,0.25914448499679565,0.3718377649784088,0.22068053483963013
successful,0.22642658650875092,0.16902779042720795,0.16912655532360077,0.3046294152736664,0.1680723875761032,0.20562082529067993,0.1132197454571724
twin-cylinder,0.17793111503124237,0.12080153822898865,0.21564841270446777,0.1492394208908081,0.09348025918006897,0.2890203893184662,0.17149202525615692
locomotive,0.1268535554409027,0.13605007529258728,0.46784934401512146,0.17496159672737122,0.11332061141729355,0.18945914506912231,0.10199091583490372
salamanca,0.1793825924396515,0.1563919335603714,0.19469541311264038,0.17990678548812866,1.0,0.08582582324743271,0.15753762423992157
by,0.33887791633605957,0.2455483376979828,0.20548008382320404,0.4752357602119446,0.11833664774894714,0.27705541253089905,0.17966607213020325
matthew,0.20287872850894928,0.22658760845661163,0.13773195445537567,0.2298666387796402,0.061696045100688934,0.09465956687927246,0.08641620725393295
murray,0.1906905323266983,0.09951125830411911,0.12984460592269897,0.20908302068710327,0.16634301841259003,0.08984784036874771,0.17931228876113892
was,0.3909217119216919,0.22111038863658905,0.28358176350593567,1.0000001192092896,0.17990678548812866,0.23679393529891968,0.18412111699581146
used,0.24785758554935455,0.27546408772468567,0.19496604800224304,0.23679393529891968,0.08582582324743271,0.9999998807907104,0.22430120408535004
by,0.33887791633605957,0.2455483376979828,0.20548008382320404,0.4752357602119446,0.11833664774894714,0.27705541253089905,0.17966607213020325
the,0.5107308030128479,0.42745697498321533,0.2709158957004547,0.48711544275283813,0.25914448499679565,0.3718377649784088,0.22068053483963013
edge,0.30707257986068726,0.2064312994480133,0.23120172321796417,0.16399753093719482,0.09965520352125168,0.15218938887119293,0.06842754781246185
railed,0.3412882387638092,0.2472955286502838,0.6098127365112305,0.30339691042900085,0.23138418793678284,0.26117217540740967,0.22706663608551025
rack,0.1937289535999298,0.16166095435619354,0.2919892370700836,0.16154694557189941,0.08133076131343842,0.24406610429286957,0.18209603428840637
and,0.4077630043029785,0.31309178471565247,0.20893311500549316,0.3740963041782379,0.17078030109405518,0.3150506615638733,0.20544172823429108
pinion,0.23830676078796387,0.2833682894706726,0.21058768033981323,0.2386731654405594,0.2213190644979477,0.1147068664431572,0.32330402731895447
middleton,0.23145587742328644,0.19234812259674072,0.2329893857240677,0.284627765417099,0.1261083334684372,0.11813877522945404,0.1538165658712387
railway,0.1921648234128952,0.16704553365707397,0.6148050427436829,0.20427824556827545,0.15151166915893555,0.13920941948890686,0.07994066178798676
.,0.49257001280784607,0.3567904531955719,0.22421196103096008,0.40146201848983765,0.2542265057563782,0.33111312985420227,0.4130953550338745
