,what,city,served,as,poland,'s,capital,in,1313,?
the,0.42745697498321533,0.35769423842430115,0.25209251046180725,0.48381632566452026,0.24871079623699188,-0.01540423184633255,0.3049491047859192,0.6662389636039734,0.04571828246116638,0.22068053483963013
first,0.28086137771606445,0.20456640422344208,0.24579095840454102,0.33842000365257263,0.16973082721233368,-0.014458609744906425,0.19939085841178894,0.4127444326877594,0.011426468379795551,0.18701928853988647
historical,0.2923852205276489,0.24153082072734833,0.1364877074956894,0.2356967031955719,0.19186241924762726,-0.03938525542616844,0.26291218400001526,0.30350539088249207,0.07820042967796326,0.1665111482143402
reference,0.27632904052734375,0.09141988307237625,0.10342506319284439,0.23965704441070557,0.13198904693126678,0.029975110664963722,0.03891018033027649,0.22640638053417206,-0.0676230862736702,0.2950310707092285
to,0.455847829580307,0.20300441980361938,0.13321098685264587,0.42092081904411316,0.18661348521709442,0.03782717138528824,0.1844596415758133,0.45010748505592346,0.09184106439352036,0.29463258385658264
warsaw,0.10373849421739578,0.25006377696990967,0.17756235599517822,0.14492812752723694,0.6352760195732117,0.02839025668799877,0.15139155089855194,0.22642600536346436,-0.028149865567684174,0.09769917279481888
dates,0.2078574001789093,0.09355884045362473,0.12459833174943924,0.2058771699666977,0.08728247880935669,-0.05914353206753731,0.12188448011875153,0.2340383380651474,-0.001697970787063241,0.2331625074148178
back,0.2965294420719147,0.14680662751197815,0.111308753490448,0.23222434520721436,0.0940227285027504,-0.032200850546360016,0.12549780309200287,0.25397348403930664,0.09494287520647049,0.2397768795490265
to,0.455847829580307,0.20300441980361938,0.13321098685264587,0.42092081904411316,0.18661348521709442,0.03782717138528824,0.1844596415758133,0.45010748505592346,0.09184106439352036,0.29463258385658264
the,0.42745697498321533,0.35769423842430115,0.25209251046180725,0.48381632566452026,0.24871079623699188,-0.01540423184633255,0.3049491047859192,0.6662389636039734,0.04571828246116638,0.22068053483963013
year,0.15184831619262695,0.24964560568332672,0.15528038144111633,0.28440728783607483,0.15718093514442444,-0.04087831452488899,0.16104143857955933,0.3359307050704956,0.051023952662944794,0.18315006792545319
1313,-0.022117702290415764,0.105026476085186,-0.023106800392270088,0.0021888529881834984,-0.0012291937600821257,-0.07011782377958298,0.03145746514201164,0.05276709794998169,0.9999999403953552,-0.09352541714906693
",",0.3087472915649414,0.35839709639549255,0.2739005386829376,0.48816442489624023,0.2751549184322357,-0.0016132977325469255,0.28033894300460815,0.5201468467712402,0.044016242027282715,0.31091248989105225
at,0.2838611304759979,0.2310783565044403,0.2018781453371048,0.28092536330223083,0.1648268848657608,-0.08481216430664062,0.1734548956155777,0.4374977946281433,-0.034342728555202484,0.21978627145290375
a,0.3320399522781372,0.2349124401807785,0.19521114230155945,0.39550232887268066,0.19834734499454498,0.04866964742541313,0.16007359325885773,0.539380669593811,0.04315531998872757,0.23916715383529663
time,0.36319252848625183,0.21582140028476715,0.20422667264938354,0.3239102065563202,0.1813235580921173,0.01301188487559557,0.12000653147697449,0.3431483507156372,0.026338642463088036,0.27391523122787476
when,0.4700249433517456,0.19592350721359253,0.1625121384859085,0.4437963366508484,0.1766313761472702,-0.03368149697780609,0.20230671763420105,0.4431333839893341,0.016037097200751305,0.22841128706932068
kraków,0.15572486817836761,0.2735276520252228,0.1904975324869156,0.14166408777236938,0.6202669739723206,0.012986389920115471,0.18472820520401,0.269519180059433,0.05297999829053879,0.17615953087806702
served,0.1271134465932846,0.2204969823360443,1.0000001192092896,0.35688039660453796,0.16701474785804749,-0.0319187268614769,0.18400943279266357,0.24299493432044983,-0.023106800392270088,0.117141492664814
as,0.31749409437179565,0.21195319294929504,0.35688039660453796,1.0,0.17358939349651337,-0.05775856226682663,0.19028405845165253,0.3887844979763031,0.0021888529881834984,0.27043893933296204
the,0.42745697498321533,0.35769423842430115,0.25209251046180725,0.48381632566452026,0.24871079623699188,-0.01540423184633255,0.3049491047859192,0.6662389636039734,0.04571828246116638,0.22068053483963013
polish,0.08233486860990524,0.14986389875411987,0.1546764224767685,0.13429972529411316,0.6610397100448608,0.047667719423770905,0.10914254933595657,0.1896398365497589,-0.05868896469473839,0.14012759923934937
capital,0.17967931926250458,0.5637158751487732,0.18400943279266357,0.19028405845165253,0.1635831594467163,0.01144334115087986,0.9999999403953552,0.3233928978443146,0.03145746514201164,0.0907452180981636
city,0.17493832111358643,1.0,0.2204969823360443,0.21195319294929504,0.1585082858800888,0.004406440537422895,0.5637158751487732,0.3911624252796173,0.105026476085186,0.13423943519592285
.,0.3567904531955719,0.29856356978416443,0.2476729303598404,0.515582263469696,0.2872875928878784,-0.003708066651597619,0.23657599091529846,0.5591574311256409,-0.00038597776438109577,0.4130953550338745
