,super,bowl,50,determined,the,nfl,champion,for,what,season,?
super,1.0000001192092896,0.4848237931728363,0.0833745002746582,0.1417321413755417,0.21959073841571808,0.319060355424881,0.3463263213634491,0.22938419878482819,0.13651713728904724,0.2755677402019501,0.166326642036438
bowl,0.4848237931728363,1.0,0.005446359980851412,0.1181773766875267,0.21576224267482758,0.48354101181030273,0.34389644861221313,0.24430087208747864,0.15942467749118805,0.3117852509021759,0.21118052303791046
50,0.0833745002746582,0.005446359980851412,0.9999999403953552,0.025309758260846138,0.03602437674999237,-0.06279195845127106,0.0722193643450737,0.029183456674218178,-0.04124141484498978,0.06724537163972855,0.030512850731611252
was,0.21420986950397491,0.21915455162525177,-0.0011744623770937324,0.22855234146118164,0.48711544275283813,0.20145657658576965,0.24402377009391785,0.3863949179649353,0.22111038863658905,0.24797968566417694,0.18412111699581146
an,0.09755856543779373,0.13908697664737701,0.02188069000840187,0.2159484326839447,0.4207492768764496,0.05365698039531708,0.13119572401046753,0.3236706852912903,0.2821882665157318,0.1245875135064125,0.19793890416622162
american,0.13530968129634857,0.16529959440231323,-0.01108962669968605,0.10486902296543121,0.24562937021255493,0.22112266719341278,0.25027644634246826,0.2306184321641922,0.1909721940755844,0.17012709379196167,0.18877598643302917
football,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.11708661168813705,0.18794101476669312,0.5028042793273926,0.2796700894832611,0.23134100437164307,0.21136903762817383,0.2595670819282532,0.14957410097122192
game,0.3480181396007538,0.2413962334394455,0.012895043939352036,0.20275837182998657,0.285271555185318,0.3143478333950043,0.23105087876319885,0.2608485519886017,0.2246788740158081,0.3434298038482666,0.1829071193933487
to,0.17783479392528534,0.16993016004562378,-0.024239253252744675,0.3210490345954895,0.535392165184021,0.1526731252670288,0.19018547236919403,0.4451248347759247,0.455847829580307,0.22382742166519165,0.29463258385658264
determine,0.14706291258335114,0.17219866812229156,0.07829482108354568,0.8639670610427856,0.40889066457748413,0.1579168736934662,0.24384845793247223,0.3571944534778595,0.39403316378593445,0.21974675357341766,0.2943372130393982
the,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.3632190227508545,1.0,0.15305201709270477,0.23575055599212646,0.4739971458911896,0.42745697498321533,0.2507155239582062,0.22068053483963013
champion,0.3463263213634491,0.34389644861221313,0.0722193643450737,0.15688367187976837,0.23575055599212646,0.3432503640651703,1.0,0.19510509073734283,0.11434172838926315,0.3079867660999298,0.14080514013767242
of,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.3115927577018738,0.733189046382904,0.1524115800857544,0.1902693659067154,0.4185989499092102,0.33290785551071167,0.1598338931798935,0.1826142966747284
the,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.3632190227508545,1.0,0.15305201709270477,0.23575055599212646,0.4739971458911896,0.42745697498321533,0.2507155239582062,0.22068053483963013
national,0.2390993982553482,0.2769610285758972,0.0077375201508402824,0.21195216476917267,0.32739606499671936,0.26918089389801025,0.21387942135334015,0.36267757415771484,0.16882304847240448,0.21373653411865234,0.15643028914928436
football,0.295350581407547,0.3109349310398102,-0.06365623325109482,0.11708661168813705,0.18794101476669312,0.5028042793273926,0.2796700894832611,0.23134100437164307,0.21136903762817383,0.2595670819282532,0.14957410097122192
league,0.37144264578819275,0.3365440368652344,0.07430867850780487,0.18556348979473114,0.2724147439002991,0.3908804953098297,0.3473253846168518,0.26433616876602173,0.16616638004779816,0.41418924927711487,0.15941482782363892
(,0.17553061246871948,0.15949074923992157,0.03192463144659996,0.15593071281909943,0.33289089798927307,0.18641139566898346,0.22500678896903992,0.3357032239437103,0.2411840260028839,0.1242075115442276,0.40561532974243164
nfl,0.319060355424881,0.48354101181030273,-0.06279195845127106,0.16948740184307098,0.15305201709270477,1.0,0.3432503640651703,0.23749186098575592,0.12579965591430664,0.3929455280303955,0.10610254108905792
),0.1971341073513031,0.16361013054847717,-0.0024984623305499554,0.13410155475139618,0.3456730246543884,0.17973150312900543,0.2248101383447647,0.3639558255672455,0.26259949803352356,0.14535100758075714,0.42300865054130554
for,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.26595234870910645,0.4739971458911896,0.23749186098575592,0.19510509073734283,0.9999999403953552,0.3017193675041199,0.24490800499916077,0.264628142118454
the,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.3632190227508545,1.0,0.15305201709270477,0.23575055599212646,0.4739971458911896,0.42745697498321533,0.2507155239582062,0.22068053483963013
2015,0.04363032057881355,0.0710686594247818,0.01757047325372696,0.07555069774389267,0.1466771513223648,-0.006650217808783054,0.09754913300275803,-0.08512632548809052,-0.07269049435853958,-0.03830436244606972,-0.029954981058835983
season,0.2755677402019501,0.3117852509021759,0.06724537163972855,0.21793924272060394,0.2507155239582062,0.3929455280303955,0.3079867660999298,0.24490800499916077,0.12117787450551987,1.0,0.16793298721313477
.,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.29949477314949036,0.5934505462646484,0.1964210718870163,0.21011604368686676,0.4726039469242096,0.3567904531955719,0.24674734473228455,0.4130953550338745
