,which,organizations,most,commonly,divide,and,promote,the,state,?
the,0.6521818041801453,0.2850687503814697,0.47635307908058167,0.2974449694156647,0.296497642993927,0.5171257257461548,0.2408624291419983,1.0,0.3097178041934967,0.22068053483963013
state,0.27248382568359375,0.22921717166900635,0.24461878836154938,0.20773161947727203,0.1524619609117508,0.2653750479221344,0.18115700781345367,0.3097178041934967,1.0,0.1160883978009224
is,0.4457404911518097,0.16318725049495697,0.41165053844451904,0.3994327187538147,0.19095773994922638,0.3859752118587494,0.1833173632621765,0.5823672413825989,0.2627358138561249,0.22961433231830597
most,0.4637843072414398,0.25921007990837097,1.0,0.3921279311180115,0.19295130670070648,0.4309377074241638,0.14072279632091522,0.47635307908058167,0.24461878836154938,0.2107497900724411
commonly,0.3553910553455353,0.1953199952840805,0.3921279311180115,1.0000001192092896,0.1767747849225998,0.2290310114622116,0.09713245928287506,0.2974449694156647,0.20773161947727203,0.13546277582645416
divided,0.35539376735687256,0.1653227061033249,0.1961781531572342,0.19646430015563965,0.7330642342567444,0.29203352332115173,0.09846386313438416,0.34601110219955444,0.1687982976436615,0.10190024226903915
and,0.506277859210968,0.2811741828918457,0.4309377074241638,0.2290310114622116,0.2515243589878082,1.0,0.2518306374549866,0.5171257257461548,0.2653750479221344,0.20544172823429108
promoted,0.14220328629016876,0.23961587250232697,0.14053943753242493,0.05609312281012535,0.14443287253379822,0.2072608917951584,0.6337306499481201,0.2648380994796753,0.1587405502796173,0.2079106867313385
by,0.40543368458747864,0.19712397456169128,0.270847886800766,0.22668445110321045,0.22826366126537323,0.4289871156215668,0.2196826934814453,0.4408751428127289,0.2263980358839035,0.17966607213020325
its,0.5154205560684204,0.20370537042617798,0.32324016094207764,0.18993866443634033,0.15466366708278656,0.3841775357723236,0.2485506683588028,0.559237003326416,0.3171643614768982,0.15103481709957123
regional,0.2597185969352722,0.2655995786190033,0.16445089876651764,0.17376002669334412,0.1698555201292038,0.2256052941083908,0.23091039061546326,0.3125704526901245,0.27993983030319214,0.09246466308832169
tourism,0.22861342132091522,0.28294676542282104,0.23045668005943298,0.10850414633750916,0.12590990960597992,0.20271359384059906,0.33990806341171265,0.26230889558792114,0.23620352149009705,0.08465105295181274
groups,0.28361281752586365,0.4296261966228485,0.2751586139202118,0.18734821677207947,0.2585870623588562,0.29783302545547485,0.2155037671327591,0.27790749073028564,0.16772642731666565,0.14349548518657684
as,0.41006597876548767,0.26520437002182007,0.3548237979412079,0.3544585108757019,0.1680551916360855,0.49487000703811646,0.23179887235164642,0.48381632566452026,0.26851922273635864,0.27043893933296204
consisting,0.37758737802505493,0.22584329545497894,0.24871331453323364,0.2451012283563614,0.31767210364341736,0.3140257000923157,0.1735035628080368,0.33371514081954956,0.1150226891040802,0.006223649252206087
of,0.5011631846427917,0.24586479365825653,0.4178851246833801,0.29300037026405334,0.27984148263931274,0.5116966962814331,0.22270441055297852,0.733189046382904,0.34253445267677307,0.1826142966747284
northern,0.2470913678407669,0.13112419843673706,0.26077258586883545,0.1957850605249405,0.1846100091934204,0.2852024435997009,0.09252182394266129,0.3422943353652954,0.29877153038978577,0.13149388134479523
