,the,merger,between,itt,and,abc,was,suspended,after,a,complaint,was,filed,by,whom,in,july,1967,?
the,1.0,0.2557354271411896,0.39067012071609497,0.2516029179096222,0.5171257257461548,0.2068762183189392,0.48711544275283813,0.28768354654312134,0.4565047025680542,0.5829201340675354,0.2516179382801056,0.48711544275283813,0.16002413630485535,0.4408751428127289,0.23752936720848083,0.6662389636039734,0.2371699959039688,-0.012038951739668846,0.22068053483963013
merger,0.2557354271411896,1.0000001192092896,0.15942129492759705,0.22005751729011536,0.16802267730236053,0.07602907717227936,0.23289446532726288,0.16095931828022003,0.21007636189460754,0.20794767141342163,0.1747172623872757,0.23289446532726288,0.20657643675804138,0.11816614121198654,0.05852802097797394,0.22860760986804962,0.21007440984249115,0.010550929233431816,0.1345871090888977
was,0.48711544275283813,0.23289446532726288,0.24048170447349548,0.25572720170021057,0.3740963041782379,0.21565799415111542,1.0000001192092896,0.2645036280155182,0.49306565523147583,0.4508470594882965,0.2453518956899643,1.0000001192092896,0.27742746472358704,0.4752357602119446,0.2438793033361435,0.45514053106307983,0.40724116563796997,0.059212569147348404,0.18412111699581146
suspended,0.28768354654312134,0.16095931828022003,0.12867797911167145,0.15403588116168976,0.2007519155740738,0.10476165264844894,0.2645036280155182,0.9999998807907104,0.3274552822113037,0.24709869921207428,0.2979082763195038,0.2645036280155182,0.2928312122821808,0.2345827966928482,0.10227912664413452,0.20142072439193726,0.1733364313840866,-0.09978155791759491,0.13118882477283478
",",0.4933079481124878,0.25569602847099304,0.27714940905570984,0.23605763912200928,0.6633074283599854,0.2097204476594925,0.45456063747406006,0.2427910715341568,0.38860568404197693,0.427140474319458,0.20319557189941406,0.45456063747406006,0.28497740626335144,0.3680937886238098,0.25587570667266846,0.5201468467712402,0.4269406795501709,-0.04270636662840843,0.31091248989105225
and,0.5171257257461548,0.16802267730236053,0.40645647048950195,0.19525663554668427,1.0,0.16453155875205994,0.3740963041782379,0.2007519155740738,0.3765919506549835,0.3739250600337982,0.16165614128112793,0.3740963041782379,0.13030290603637695,0.4289871156215668,0.3148667514324188,0.4954058527946472,0.258785605430603,-0.056995928287506104,0.20544172823429108
a,0.5829201340675354,0.20794767141342163,0.29385313391685486,0.18278837203979492,0.3739250600337982,0.21331243216991425,0.4508470594882965,0.24709869921207428,0.3831600844860077,1.0,0.28602075576782227,0.4508470594882965,0.18640758097171783,0.32094135880470276,0.21455949544906616,0.539380669593811,0.23807190358638763,-0.005675012711435556,0.23916715383529663
complaint,0.2516179382801056,0.1747172623872757,0.16134434938430786,0.14083628356456757,0.16165614128112793,0.18032395839691162,0.2453518956899643,0.2979082763195038,0.2826038599014282,0.28602075576782227,1.0000001192092896,0.2453518956899643,0.4079676866531372,0.2709096670150757,0.27321967482566833,0.17329156398773193,0.17125703394412994,0.0042646764777600765,0.29882416129112244
was,0.48711544275283813,0.23289446532726288,0.24048170447349548,0.25572720170021057,0.3740963041782379,0.21565799415111542,1.0000001192092896,0.2645036280155182,0.49306565523147583,0.4508470594882965,0.2453518956899643,1.0000001192092896,0.27742746472358704,0.4752357602119446,0.2438793033361435,0.45514053106307983,0.40724116563796997,0.059212569147348404,0.18412111699581146
filed,0.16002413630485535,0.20657643675804138,0.15048418939113617,0.2896163761615753,0.13030290603637695,0.19482725858688354,0.27742746472358704,0.2928312122821808,0.41326838731765747,0.18640758097171783,0.4079676866531372,0.27742746472358704,1.0,0.15250620245933533,0.2268488109111786,0.17504344880580902,0.3129950761795044,-0.05099707469344139,0.24084022641181946
by,0.4408751428127289,0.11816614121198654,0.28115302324295044,0.14997056126594543,0.4289871156215668,0.17600902915000916,0.4752357602119446,0.2345827966928482,0.41259682178497314,0.32094135880470276,0.2709096670150757,0.4752357602119446,0.15250620245933533,1.0000001192092896,0.28481900691986084,0.370934396982193,0.16927224397659302,-0.0349467396736145,0.17966607213020325
