,what,slogan,accompanied,the,40th,anniversary,logo,for,abc,?
in,0.30808621644973755,0.1767037957906723,0.18386249244213104,0.6662389636039734,0.13990257680416107,0.25491592288017273,0.1848117560148239,0.4322226941585541,0.1697147786617279,0.20430970191955566
1983,0.025786560028791428,0.02860674448311329,-0.08072290569543839,-0.019107989966869354,-0.020788928493857384,-0.024536024779081345,0.12003503739833832,0.021706007421016693,0.12831369042396545,0.09926492720842361
",",0.3087472915649414,0.15140722692012787,0.25802668929100037,0.4933079481124878,0.12832628190517426,0.20396199822425842,0.20034073293209076,0.4464869201183319,0.2097204476594925,0.31091248989105225
for,0.3017193675041199,0.221732959151268,0.24723607301712036,0.4739971458911896,0.18838761746883392,0.24768374860286713,0.2166183590888977,0.9999999403953552,0.22510288655757904,0.264628142118454
the,0.42745697498321533,0.19725175201892853,0.27266716957092285,1.0,0.23304851353168488,0.29318708181381226,0.2806010842323303,0.4739971458911896,0.2068762183189392,0.22068053483963013
40th,0.18865251541137695,0.15551315248012543,0.09505964815616608,0.23304851353168488,1.0,0.24856117367744446,0.1170416995882988,0.18838761746883392,0.07607007771730423,0.0836496576666832
anniversary,0.15616674721240997,0.22100980579853058,0.21134896576404572,0.29318708181381226,0.24856117367744446,1.0,0.26765260100364685,0.24768374860286713,0.22889697551727295,0.1981802135705948
of,0.33290785551071167,0.12181873619556427,0.28507187962532043,0.733189046382904,0.1560511589050293,0.2393128126859665,0.1528109908103943,0.4185989499092102,0.14607268571853638,0.1826142966747284
the,0.42745697498321533,0.19725175201892853,0.27266716957092285,1.0,0.23304851353168488,0.29318708181381226,0.2806010842323303,0.4739971458911896,0.2068762183189392,0.22068053483963013
network,0.16917307674884796,0.1904028356075287,0.09024001657962799,0.27187061309814453,0.1436644345521927,0.07616539299488068,0.2670271396636963,0.253274142742157,0.4295894205570221,0.17853789031505585
's,0.02692362666130066,0.07890976220369339,-0.01453784666955471,-0.01540423184633255,0.10789064317941666,-0.008144883438944817,0.036982785910367966,-0.07241261005401611,0.06670809537172318,-0.023395681753754616
founding,0.2093554586172104,0.17363494634628296,0.17649045586585999,0.34138360619544983,0.10152225196361542,0.33808037638664246,0.2205388844013214,0.2556380331516266,0.16099371016025543,0.1416333168745041
",",0.3087472915649414,0.15140722692012787,0.25802668929100037,0.4933079481124878,0.12832628190517426,0.20396199822425842,0.20034073293209076,0.4464869201183319,0.2097204476594925,0.31091248989105225
id,0.2237282544374466,0.1085926815867424,0.05946464464068413,0.18612393736839294,0.07003068178892136,0.14167292416095734,0.2644670903682709,0.1497965008020401,0.18392552435398102,0.3476811349391937
sequences,0.22366639971733093,0.09211146831512451,0.20999179780483246,0.2234572321176529,0.11817245930433273,0.1423572450876236,0.15851669013500214,0.22182369232177734,0.25628817081451416,0.1885564625263214
had,0.23849567770957947,0.14993609488010406,0.31503739953041077,0.3875846862792969,0.06664802134037018,0.25495320558547974,0.10860937088727951,0.3270139992237091,0.18355661630630493,0.20728366076946259
the,0.42745697498321533,0.19725175201892853,0.27266716957092285,1.0,0.23304851353168488,0.29318708181381226,0.2806010842323303,0.4739971458911896,0.2068762183189392,0.22068053483963013
logo,0.21781428158283234,0.3529636859893799,0.08934076130390167,0.2806010842323303,0.1170416995882988,0.26765260100364685,1.0000001192092896,0.2166183590888977,0.23574566841125488,0.23347119987010956
