,what,is,preserved,in,a,closed,system,of,forces,when,acted,upon,?
this,0.5489566326141357,0.480927973985672,0.2703884541988373,0.45205554366111755,0.5422310829162598,0.3137420117855072,0.3294329345226288,0.45148900151252747,0.24922366440296173,0.4959332048892975,0.17005829513072968,0.2525794804096222,0.3155723512172699
means,0.2553325295448303,0.4087343215942383,0.1668435037136078,0.1979396492242813,0.34418490529060364,0.15229253470897675,0.2465360313653946,0.29942914843559265,0.17210298776626587,0.28682997822761536,0.15513934195041656,0.18613381683826447,0.21233566105365753
that,0.6297725439071655,0.3995479643344879,0.26563242077827454,0.435920387506485,0.47537946701049805,0.3103141188621521,0.3088737428188324,0.41498205065727234,0.24199660122394562,0.5860282182693481,0.22111652791500092,0.2909981608390808,0.32716336846351624
for,0.3017193675041199,0.43268078565597534,0.20085632801055908,0.4322226941585541,0.44038116931915283,0.17350733280181885,0.2630598843097687,0.4185989499092102,0.14048048853874207,0.43402108550071716,0.20401453971862793,0.2275998592376709,0.264628142118454
a,0.3320399522781372,0.658733606338501,0.16042637825012207,0.539380669593811,1.0,0.1631089150905609,0.2589043080806732,0.5052502155303955,0.17848460376262665,0.44397395849227905,0.1548982858657837,0.17546571791172028,0.23916715383529663
closed,0.1689339131116867,0.15169702470302582,0.32741522789001465,0.21606552600860596,0.1631089150905609,1.0,0.24776631593704224,0.15899594128131866,0.15826721489429474,0.25240758061408997,0.10745496302843094,0.09264283627271652,0.15595348179340363
system,0.23557309806346893,0.2282046526670456,0.15748536586761475,0.21978288888931274,0.2589043080806732,0.24776631593704224,1.0000001192092896,0.25597915053367615,0.17889748513698578,0.27706024050712585,0.031112879514694214,0.11034994572401047,0.15556083619594574
",",0.3087472915649414,0.4691906273365021,0.18864409625530243,0.5201468467712402,0.427140474319458,0.2763722538948059,0.18439900875091553,0.4946078956127167,0.2544684410095215,0.36674630641937256,0.286516010761261,0.27234330773353577,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.2642197906970978,0.6662389636039734,0.5829201340675354,0.2359541952610016,0.3233085572719574,0.733189046382904,0.3134811818599701,0.5091903209686279,0.20873373746871948,0.28184252977371216,0.22068053483963013
net,0.14762049913406372,0.11006560176610947,0.07916945964097977,0.10237058252096176,0.1262080818414688,0.1314670741558075,0.05607881397008896,0.15895754098892212,0.0669322982430458,0.15201713144779205,0.116217240691185,0.10639479011297226,0.20179778337478638
mechanical,0.22318285703659058,0.2110103964805603,0.1925707310438156,0.22276797890663147,0.3179347515106201,0.1558886021375656,0.21851879358291626,0.3339124023914337,0.20080046355724335,0.29049748182296753,0.13508370518684387,0.17881353199481964,0.10079140216112137
energy,0.190252885222435,0.2171693742275238,0.16187462210655212,0.17693158984184265,0.21513298153877258,0.20746156573295593,0.2296154797077179,0.26257598400115967,0.2703719139099121,0.24666637182235718,0.16594795882701874,0.11057940870523453,0.14860127866268158
is,0.28837618231773376,1.0,0.2745146155357361,0.5394441485404968,0.658733606338501,0.15169702470302582,0.2282046526670456,0.4854315221309662,0.18792390823364258,0.3471449911594391,0.1458001434803009,0.1675044447183609,0.22961433231830597
conserved,0.18548007309436798,0.23876217007637024,0.5102534890174866,0.22074294090270996,0.16613930463790894,0.25610706210136414,0.19800019264221191,0.2815810441970825,0.20478418469429016,0.21726827323436737,0.19958385825157166,0.07665905356407166,0.12682415544986725
whenever,0.4568510353565216,0.2636191248893738,0.21129295229911804,0.23968780040740967,0.3618711233139038,0.10881124436855316,0.2724131643772125,0.21635571122169495,0.20139433443546295,0.5372390747070312,0.16902479529380798,0.24860824644565582,0.3446413278579712
a,0.3320399522781372,0.658733606338501,0.16042637825012207,0.539380669593811,1.0,0.1631089150905609,0.2589043080806732,0.5052502155303955,0.17848460376262665,0.44397395849227905,0.1548982858657837,0.17546571791172028,0.23916715383529663
conservative,0.1886831820011139,0.2060939073562622,0.14506985247135162,0.1964135617017746,0.2118833065032959,0.1454722285270691,0.11013908684253693,0.17898385226726532,0.22328926622867584,0.1836523413658142,0.15632878243923187,0.14164993166923523,0.1597563922405243
force,0.16915984451770782,0.22036980092525482,0.10177722573280334,0.21744468808174133,0.2451154738664627,0.1539887934923172,0.14612840116024017,0.27094775438308716,0.6498695015907288,0.24609562754631042,0.23832069337368011,0.2177911251783371,0.1650998443365097
acts,0.24949195981025696,0.253656268119812,0.10439944267272949,0.21356524527072906,0.25177326798439026,0.08707641065120697,0.1611650288105011,0.26445579528808594,0.23912550508975983,0.22038039565086365,0.44815513491630554,0.17155174911022186,0.07075770199298859
on,0.34226128458976746,0.3635730445384979,0.20993784070014954,0.46853652596473694,0.3848365545272827,0.2467423975467682,0.21675898134708405,0.3966929316520691,0.220676988363266,0.37706470489501953,0.21502941846847534,0.3876325786113739,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.2642197906970978,0.6662389636039734,0.5829201340675354,0.2359541952610016,0.3233085572719574,0.733189046382904,0.3134811818599701,0.5091903209686279,0.20873373746871948,0.28184252977371216,0.22068053483963013
system,0.23557309806346893,0.2282046526670456,0.15748536586761475,0.21978288888931274,0.2589043080806732,0.24776631593704224,1.0000001192092896,0.25597915053367615,0.17889748513698578,0.27706024050712585,0.031112879514694214,0.11034994572401047,0.15556083619594574
.,0.3567904531955719,0.4569662809371948,0.21653123199939728,0.5591574311256409,0.50484299659729,0.24888747930526733,0.2277725487947464,0.5352458953857422,0.21802116930484772,0.475719153881073,0.22676311433315277,0.18839296698570251,0.4130953550338745
