,how,is,worst-case,time,complexity,written,as,an,expression,?
if,0.4917012155056,0.30927813053131104,0.403564989566803,0.36530032753944397,0.3077995181083679,0.18724969029426575,0.3354816734790802,0.26347705721855164,0.2958141565322876,0.4441644251346588
the,0.33890387415885925,0.5823672413825989,0.29908043146133423,0.43061500787734985,0.21171598136425018,0.2582438886165619,0.48381632566452026,0.4207492768764496,0.2569258511066437,0.22068053483963013
input,0.3018225431442261,0.2170686423778534,0.19764237105846405,0.2544395923614502,0.4045132100582123,0.1623980700969696,0.2063598930835724,0.20624928176403046,0.33082932233810425,0.24861721694469452
size,0.24571672081947327,0.22983339428901672,0.2310413271188736,0.25952205061912537,0.3099218010902405,0.0981546938419342,0.23959164321422577,0.19841040670871735,0.19630666077136993,0.13693112134933472
is,0.22544461488723755,1.0,0.22882379591464996,0.25187405943870544,0.2541271150112152,0.2634589672088623,0.43216490745544434,0.4654068350791931,0.24893754720687866,0.22961433231830597
n,0.11270806193351746,0.2254602462053299,0.25761252641677856,0.09111524373292923,0.2684973478317261,0.13875125348567963,0.1300116330385208,0.18102464079856873,0.25997394323349,0.19161871075630188
",",0.22659391164779663,0.4691906273365021,0.30874067544937134,0.3029961884021759,0.27822354435920715,0.2737409770488739,0.48816442489624023,0.3581022024154663,0.22825834155082703,0.31091248989105225
the,0.33890387415885925,0.5823672413825989,0.29908043146133423,0.43061500787734985,0.21171598136425018,0.2582438886165619,0.48381632566452026,0.4207492768764496,0.2569258511066437,0.22068053483963013
time,0.35346719622612,0.25187405943870544,0.2757115960121155,0.9999998807907104,0.2680857479572296,0.20809157192707062,0.3239102065563202,0.17594800889492035,0.1823306530714035,0.27391523122787476
taken,0.22504179179668427,0.19185791909694672,0.18075329065322876,0.23608605563640594,0.12976084649562836,0.23024460673332214,0.23555229604244232,0.20487432181835175,0.16746886074543,0.17662954330444336
can,0.49246567487716675,0.44256699085235596,0.33684179186820984,0.2720869183540344,0.31849509477615356,0.16795562207698822,0.3245031237602234,0.23671309649944305,0.2804762125015259,0.3226337134838104
be,0.4158933162689209,0.4819129705429077,0.3606807589530945,0.3473503291606903,0.34982410073280334,0.22968649864196777,0.5230465531349182,0.33041056990623474,0.28006309270858765,0.3324260413646698
expressed,0.23097211122512817,0.18876376748085022,0.24424435198307037,0.25961312651634216,0.33051738142967224,0.3117639720439911,0.2749443054199219,0.14857281744480133,0.7133890986442566,0.17175263166427612
as,0.33782753348350525,0.43216490745544434,0.3280583322048187,0.3239102065563202,0.22960948944091797,0.27031588554382324,1.0,0.37218472361564636,0.2435152530670166,0.27043893933296204
