,where,was,the,location,of,the,2003,rose,revolution,?
it,0.36972272396087646,0.4577186405658722,0.6251175999641418,0.27346327900886536,0.38761502504348755,0.6251175999641418,-0.10566340386867523,0.17944282293319702,0.2443300038576126,0.25732165575027466
has,0.32190436124801636,0.40313825011253357,0.4177538752555847,0.19703881442546844,0.3909035325050354,0.4177538752555847,-0.17332065105438232,0.16253329813480377,0.13146339356899261,0.15994466841220856
been,0.24669882655143738,0.518218457698822,0.3563927710056305,0.14994800090789795,0.31685134768486023,0.3563927710056305,-0.17092083394527435,0.1537894904613495,0.1759459227323532,0.24354910850524902
used,0.31140151619911194,0.23679393529891968,0.3718377649784088,0.2150101363658905,0.3075267970561981,0.3718377649784088,-0.14557543396949768,0.1184496060013771,0.1403326392173767,0.22430120408535004
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.3397608697414398,0.5696388483047485,0.6662389636039734,-0.1320333480834961,0.24995949864387512,0.23010264337062836,0.20430970191955566
many,0.4338301420211792,0.260356068611145,0.4335206151008606,0.1852089762687683,0.37253960967063904,0.4335206151008606,-0.10603365302085876,0.1889946460723877,0.23340174555778503,0.2124512493610382
nonviolent,0.21879641711711884,0.24546442925930023,0.23885348439216614,0.08427465707063675,0.2696565091609955,0.23885348439216614,-0.2079906463623047,0.18557465076446533,0.37766632437705994,0.23365403711795807
resistance,0.17665672302246094,0.224801167845726,0.2521642744541168,0.08635834604501724,0.24201548099517822,0.2521642744541168,-0.09074772149324417,0.20268121361732483,0.2818552255630493,0.026361597701907158
movements,0.18285325169563293,0.15315485000610352,0.31594985723495483,0.11524105817079544,0.24170123040676117,0.31594985723495483,-0.11159985512495041,0.1274823099374771,0.2873397767543793,0.1501890867948532
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.3397608697414398,0.5696388483047485,0.6662389636039734,-0.1320333480834961,0.24995949864387512,0.23010264337062836,0.20430970191955566
india,0.2227068543434143,0.22117909789085388,0.3108653426170349,0.16197238862514496,0.29747170209884644,0.3108653426170349,-0.20621690154075623,0.13057640194892883,0.14069205522537231,0.10473668575286865
(,0.1970011591911316,0.2980341613292694,0.33289089798927307,0.19323384761810303,0.35032153129577637,0.33289089798927307,-0.18357986211776733,0.24166661500930786,0.18345169723033905,0.40561532974243164
gandhi,0.15425509214401245,0.183432474732399,0.23259694874286652,0.07045750319957733,0.2484963834285736,0.23259694874286652,-0.13134531676769257,0.16277875006198883,0.1954607367515564,0.18234050273895264
's,0.0007701900321990252,0.008974763564765453,-0.01540423184633255,-0.0234982892870903,-0.03817026689648628,-0.01540423184633255,-0.05068197846412659,0.07569021731615067,-0.031944599002599716,-0.023395681753754616
campaigns,0.14533506333827972,0.22862818837165833,0.27786964178085327,0.09584096819162369,0.26936405897140503,0.27786964178085327,-0.09220560640096664,0.08620351552963257,0.17990614473819733,0.13006390631198883
for,0.38599511981010437,0.3863949179649353,0.4739971458911896,0.23991359770298004,0.4185989499092102,0.4739971458911896,-0.12971410155296326,0.09382632374763489,0.1494327187538147,0.264628142118454
independence,0.13927894830703735,0.24797119200229645,0.2836182415485382,0.17804481089115143,0.2965129017829895,0.2836182415485382,-0.1357932686805725,0.14185911417007446,0.44560638070106506,0.12301119416952133
from,0.3713873624801636,0.31171464920043945,0.40150508284568787,0.3039056956768036,0.4249346852302551,0.40150508284568787,-0.11257407814264297,0.14656709134578705,0.18298961222171783,0.19969791173934937
the,0.5003893971443176,0.48711544275283813,1.0,0.351087361574173,0.733189046382904,1.0,-0.14761915802955627,0.28326278924942017,0.276140034198761,0.22068053483963013
