,how,many,times,did,luther,preach,in,halle,in,1545,and,1546,?
in,0.2601168751716614,0.41474202275276184,0.2427823841571808,0.2593238651752472,0.20523880422115326,0.2044697254896164,1.0,0.2834251821041107,1.0,-0.09937114268541336,0.4954058527946472,0.15289835631847382,0.20430970191955566
1545,0.1312597692012787,0.030497165396809578,0.03351818397641182,0.026592779904603958,0.04201095178723335,0.021605325862765312,-0.09937114268541336,-0.026611128821969032,-0.09937114268541336,1.0,-0.06610569357872009,-0.07033130526542664,0.07005058974027634
and,0.33647966384887695,0.5296266674995422,0.2611900568008423,0.34479495882987976,0.20796556770801544,0.2662549316883087,0.4954058527946472,0.1998835951089859,0.4954058527946472,-0.06610569357872009,1.0,0.22036215662956238,0.20544172823429108
1546,-0.00996746402233839,0.1627843677997589,0.02359771728515625,0.0356486514210701,0.03921762481331825,0.07300201058387756,0.15289835631847382,0.13710688054561615,0.15289835631847382,-0.07033130526542664,0.22036215662956238,1.0,-0.004786801990121603
luther,0.13354721665382385,0.2471185326576233,0.17637021839618683,0.23667675256729126,1.0,0.3941648006439209,0.20523880422115326,0.25370004773139954,0.20523880422115326,0.04201095178723335,0.20796556770801544,0.03921762481331825,0.1732746809720993
preached,0.16034328937530518,0.2579573094844818,0.20188818871974945,0.2960425317287445,0.34157779812812805,0.8468718528747559,0.22246213257312775,0.15782465040683746,0.22246213257312775,0.008524320088326931,0.23692649602890015,0.08173064142465591,0.21524854004383087
three,0.23807744681835175,0.4501400589942932,0.3240858018398285,0.2043166607618332,0.15010327100753784,0.11621052026748657,0.34828072786331177,0.19273163378238678,0.34828072786331177,0.0066324397921562195,0.3826501965522766,0.05976739153265953,0.20928427577018738
times,0.2685738503932953,0.303416907787323,1.0,0.23068773746490479,0.17637021839618683,0.1493086963891983,0.2427823841571808,0.1049480140209198,0.2427823841571808,0.03351818397641182,0.2611900568008423,0.02359771728515625,0.18880689144134521
in,0.2601168751716614,0.41474202275276184,0.2427823841571808,0.2593238651752472,0.20523880422115326,0.2044697254896164,1.0,0.2834251821041107,1.0,-0.09937114268541336,0.4954058527946472,0.15289835631847382,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.34736719727516174,0.1759674996137619,0.20831279456615448,0.6662389636039734,0.2611607611179352,0.6662389636039734,-0.09684163331985474,0.5171257257461548,0.1649978905916214,0.22068053483963013
market,0.11605820059776306,0.2502439022064209,0.14381060004234314,0.12897977232933044,0.145784392952919,0.13508173823356628,0.27003997564315796,0.16437163949012756,0.27003997564315796,0.012623226270079613,0.23057621717453003,0.18867017328739166,0.12805593013763428
church,0.10719848424196243,0.20546764135360718,0.14627501368522644,0.16781097650527954,0.379041463136673,0.504675030708313,0.2493300437927246,0.2183695286512375,0.2493300437927246,-0.10040810704231262,0.1976170688867569,0.1849944293498993,0.18081501126289368
in,0.2601168751716614,0.41474202275276184,0.2427823841571808,0.2593238651752472,0.20523880422115326,0.2044697254896164,1.0,0.2834251821041107,1.0,-0.09937114268541336,0.4954058527946472,0.15289835631847382,0.20430970191955566
halle,0.11420519649982452,0.19675979018211365,0.1049480140209198,0.11528709530830383,0.25370004773139954,0.12837277352809906,0.2834251821041107,0.9999999403953552,0.2834251821041107,-0.026611128821969032,0.1998835951089859,0.13710688054561615,0.09610161185264587
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3015086054801941,0.23255878686904907,0.22622790932655334,0.5201468467712402,0.23438122868537903,0.5201468467712402,-0.08040781319141388,0.6633074283599854,0.14478033781051636,0.31091248989105225
staying,0.24537532031536102,0.2474372386932373,0.18613803386688232,0.3103906512260437,0.1291942149400711,0.2723348140716553,0.30570822954177856,0.1726527065038681,0.30570822954177856,-0.08445966243743896,0.31600964069366455,-0.06557756662368774,0.20980606973171234
with,0.3525622487068176,0.35744401812553406,0.3026435673236847,0.25472134351730347,0.14705438911914825,0.13407792150974274,0.4080928862094879,0.12869982421398163,0.4080928862094879,-0.02168973907828331,0.5477725267410278,0.04334552586078644,0.2433311939239502
his,0.24614305794239044,0.3188176155090332,0.24570761620998383,0.3546801507472992,0.27093374729156494,0.28542280197143555,0.3598145842552185,0.2528262138366699,0.3598145842552185,0.05175366252660751,0.4234102666378021,0.02623273991048336,0.18075084686279297
friend,0.19191421568393707,0.1720910668373108,0.16161789000034332,0.1877204179763794,0.15032494068145752,0.24730688333511353,0.12977886199951172,0.15273919701576233,0.12977886199951172,-0.030630337074398994,0.2752458155155182,-0.08159923553466797,0.12953594326972961
justus,0.059976913034915924,0.1137830913066864,0.13766297698020935,0.08326622098684311,0.29541632533073425,0.2670624554157257,0.22732342779636383,0.2180727869272232,0.22732342779636383,-0.03733927011489868,0.1816820204257965,0.14750425517559052,0.18760563433170319
jonas,0.18061178922653198,0.1445014923810959,0.040135182440280914,0.22788329422473907,0.25421175360679626,0.17045195400714874,0.10452095419168472,0.15283526480197906,0.10452095419168472,-0.05806597322225571,0.21835732460021973,-0.07534071058034897,0.2537094056606293
during,0.26830652356147766,0.3661181330680847,0.36593833565711975,0.30679523944854736,0.18200165033340454,0.16280333697795868,0.4627237319946289,0.2215600162744522,0.4627237319946289,0.0075467792339622974,0.36462149024009705,0.10803864896297455,0.1325719803571701
christmas,0.2125333994626999,0.20769301056861877,0.15834516286849976,0.17876142263412476,0.2267714887857437,0.24023769795894623,0.17820265889167786,0.2595796287059784,0.17820265889167786,-0.07985474169254303,0.1769854575395584,-0.02346453256905079,0.23817040026187897
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.35288307070732117,0.24907569587230682,0.226605623960495,0.5591574311256409,0.24875034391880035,0.5591574311256409,-0.08135861158370972,0.588965117931366,0.1443537175655365,0.4130953550338745
