,where,is,97,%,of,the,population,located,?
the,0.5003893971443176,0.5823672413825989,0.04433417692780495,0.21490740776062012,0.733189046382904,1.0,0.32044094800949097,0.407527357339859,0.22068053483963013
borders,0.18518313765525818,0.2527235448360443,0.05934790149331093,0.17495794594287872,0.2618892192840576,0.28853991627693176,0.3419581949710846,0.3537926971912384,0.13029009103775024
of,0.38066378235816956,0.4854315221309662,0.07042630761861801,0.19953428208827972,1.0,0.733189046382904,0.3060894012451172,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,0.04433417692780495,0.21490740776062012,0.733189046382904,1.0,0.32044094800949097,0.407527357339859,0.22068053483963013
modern,0.2249264419078827,0.24170172214508057,0.0843905359506607,0.15925908088684082,0.3482828736305237,0.3283970355987549,0.19619593024253845,0.2251931130886078,0.12475407868623734
state,0.2583591639995575,0.2627358138561249,-0.000985032063908875,0.1913590282201767,0.34253445267677307,0.3097178041934967,0.3086160719394684,0.3180226981639862,0.1160883978009224
consequently,0.29851076006889343,0.2400990128517151,0.07596766203641891,0.24411222338676453,0.26282447576522827,0.2966291010379791,0.2299802154302597,0.08360019326210022,0.15715579688549042
comprise,0.13060255348682404,0.3045743703842163,0.14479105174541473,0.2483525574207306,0.37900012731552124,0.30294761061668396,0.26516836881637573,0.2616671025753021,0.056415483355522156
the,0.5003893971443176,0.5823672413825989,0.04433417692780495,0.21490740776062012,0.733189046382904,1.0,0.32044094800949097,0.407527357339859,0.22068053483963013
crossroads,0.2650558650493622,0.21256309747695923,0.06512507051229477,0.0787106603384018,0.2726465165615082,0.29137173295021057,0.20112214982509613,0.26873719692230225,0.12370730936527252
of,0.38066378235816956,0.4854315221309662,0.07042630761861801,0.19953428208827972,1.0,0.733189046382904,0.3060894012451172,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,0.04433417692780495,0.21490740776062012,0.733189046382904,1.0,0.32044094800949097,0.407527357339859,0.22068053483963013
niger-congo,0.16871261596679688,0.1819290816783905,0.10395176708698273,0.15146315097808838,0.22652706503868103,0.25094303488731384,0.19284769892692566,0.15555374324321747,0.19134581089019775
",",0.3149496018886566,0.4691906273365021,0.045141320675611496,0.22757403552532196,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.2678719460964203,0.31091248989105225
nilo-saharan,0.2670360505580902,0.25825124979019165,-0.01908304914832115,0.2288140058517456,0.22402270138263702,0.2723845839500427,0.24663010239601135,0.16527676582336426,0.22270779311656952
and,0.43859338760375977,0.3859752118587494,0.026193711906671524,0.24616369605064392,0.5116966962814331,0.5171257257461548,0.23080337047576904,0.24183952808380127,0.20544172823429108
afroasiatic,0.17635837197303772,0.1984509527683258,0.005869196727871895,0.22324669361114502,0.2544727325439453,0.30214759707450867,0.2894446849822998,0.185481458902359,0.1838536113500595
areas,0.390926331281662,0.28282591700553894,0.06155486777424812,0.2517262399196625,0.2803763747215271,0.3311663568019867,0.33385762572288513,0.30247756838798523,0.1273590475320816
of,0.38066378235816956,0.4854315221309662,0.07042630761861801,0.19953428208827972,1.0,0.733189046382904,0.3060894012451172,0.32520920038223267,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,0.04433417692780495,0.21490740776062012,0.733189046382904,1.0,0.32044094800949097,0.407527357339859,0.22068053483963013
continent,0.2528049051761627,0.1915033459663391,0.10897451639175415,0.18456923961639404,0.2647381126880646,0.3139871060848236,0.26044997572898865,0.18391743302345276,0.17592057585716248
",",0.3149496018886566,0.4691906273365021,0.045141320675611496,0.22757403552532196,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.2678719460964203,0.31091248989105225
representing,0.2728698253631592,0.2766564190387726,0.05377396568655968,0.19022420048713684,0.42015817761421204,0.35762789845466614,0.2555915415287018,0.20536132156848907,0.10637413710355759
most,0.3678402900695801,0.41165053844451904,0.14226551353931427,0.26077356934547424,0.4178851246833801,0.47635307908058167,0.21684317290782928,0.2271362692117691,0.2107497900724411
major,0.20240604877471924,0.19079607725143433,0.020588887855410576,0.15979990363121033,0.2641255557537079,0.31775903701782227,0.20029804110527039,0.2015949785709381,0.19788557291030884
ethnolinguistic,0.23007409274578094,0.2524048089981079,0.0036642313934862614,0.23798587918281555,0.32392552495002747,0.26667356491088867,0.36672237515449524,0.21222154796123505,0.24137699604034424
groups,0.18735745549201965,0.19906288385391235,-0.016567757353186607,0.2370055764913559,0.24723079800605774,0.27790749073028564,0.2649582028388977,0.1552056223154068,0.14349548518657684
found,0.2867223024368286,0.3526395261287689,0.07035031914710999,0.19549022614955902,0.2982911467552185,0.3452354073524475,0.1913554072380066,0.29600822925567627,0.16790300607681274
in,0.5344807505607605,0.5394441485404968,0.043773192912340164,0.19465309381484985,0.5696388483047485,0.6662389636039734,0.3268454372882843,0.35149815678596497,0.20430970191955566
africa,0.23793575167655945,0.18992355465888977,-0.0007834059651941061,0.16999408602714539,0.2694264054298401,0.2903064787387848,0.19442428648471832,0.1629420816898346,0.12926554679870605
.,0.41390106081962585,0.4569662809371948,0.024506650865077972,0.29872366786003113,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.28226932883262634,0.4130953550338745
