,what,did,this,concept,contradict
starting,0.25271084904670715,0.22911779582500458,0.3334716260433197,0.20804129540920258,0.2398589551448822
in,0.30808621644973755,0.2593238651752472,0.45205554366111755,0.21857000887393951,0.23709942400455475
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2355310022830963,0.24798285961151123
late,0.1576872020959854,0.27609187364578247,0.2556518614292145,0.16677746176719666,0.1727382093667984
1950s,0.2998310923576355,0.3492051362991333,0.3505513072013855,0.1602572202682495,0.1732977032661438
",",0.3087472915649414,0.3015086054801941,0.4316047728061676,0.20029692351818085,0.2580571472644806
american,0.1909721940755844,0.21486236155033112,0.21639271080493927,0.18388599157333374,0.16437864303588867
computer,0.26911869645118713,0.1818549484014511,0.21945737302303314,0.2904886305332184,0.1847900152206421
scientist,0.19887776672840118,0.15091316401958466,0.1673281192779541,0.20669321715831757,0.18526683747768402
paul,0.11217030137777328,0.16905230283737183,0.11514980345964432,0.0929277166724205,0.166572704911232
baran,0.11883194744586945,0.048253823071718216,0.18036527931690216,0.07234027236700058,0.12264539301395416
developed,0.15555569529533386,0.24445466697216034,0.27340129017829895,0.36560875177383423,0.23168323934078217
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2355310022830963,0.24798285961151123
concept,0.28724339604377747,0.2316831350326538,0.3189828097820282,0.9999998807907104,0.48291972279548645
distributed,0.12753748893737793,0.15478676557540894,0.21050241589546204,0.2862297296524048,0.14691190421581268
adaptive,0.22806508839130402,0.16779272258281708,0.32852840423583984,0.311764121055603,0.3247871398925781
message,0.35757336020469666,0.1851978302001953,0.3641444444656372,0.19043220579624176,0.2903558313846588
block,0.33229514956474304,0.17439137399196625,0.31793323159217834,0.1781618744134903,0.2347775101661682
switching,0.24737738072872162,0.17849217355251312,0.32673379778862,0.22729705274105072,0.2073081135749817
with,0.2464839518070221,0.25472134351730347,0.36358317732810974,0.16215780377388,0.2540183365345001
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2355310022830963,0.24798285961151123
goal,0.2571476101875305,0.23877869546413422,0.2654769718647003,0.2354726344347,0.26564469933509827
to,0.455847829580307,0.4452643394470215,0.5759071707725525,0.2465057224035263,0.3400905728340149
provide,0.27049049735069275,0.2528877258300781,0.31749656796455383,0.3057410717010498,0.3414427638053894
a,0.3320399522781372,0.2552328109741211,0.5422310829162598,0.29586365818977356,0.23989751935005188
fault-tolerant,0.40556225180625916,0.2654038667678833,0.3813306987285614,0.2727416157722473,0.35556960105895996
",",0.3087472915649414,0.3015086054801941,0.4316047728061676,0.20029692351818085,0.2580571472644806
efficient,0.22662539780139923,0.22738628089427948,0.37687912583351135,0.25831159949302673,0.2687344253063202
routing,0.29352641105651855,0.18212033808231354,0.34884071350097656,0.24839240312576294,0.29275545477867126
method,0.25476205348968506,0.21537424623966217,0.32054242491722107,0.31373143196105957,0.33277103304862976
for,0.3017193675041199,0.318512886762619,0.5082864165306091,0.24192313849925995,0.3063547611236572
telecommunication,0.2281339168548584,0.14696580171585083,0.2483799308538437,0.278148889541626,0.15191759169101715
messages,0.31826624274253845,0.18452005088329315,0.3375281095504761,0.16627466678619385,0.26613283157348633
as,0.31749409437179565,0.3596470057964325,0.43993282318115234,0.26051822304725647,0.31378984451293945
part,0.3476244807243347,0.23558001220226288,0.38220882415771484,0.2748134434223175,0.19326141476631165
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.24082158505916595,0.21893154084682465
a,0.3320399522781372,0.2552328109741211,0.5422310829162598,0.29586365818977356,0.23989751935005188
research,0.237140491604805,0.2046227902173996,0.2943480312824249,0.20544573664665222,0.2563161253929138
program,0.25047802925109863,0.18915289640426636,0.24903999269008636,0.1836337000131607,0.16104042530059814
at,0.2838611304759979,0.28390252590179443,0.32544323801994324,0.12958785891532898,0.15951299667358398
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2355310022830963,0.24798285961151123
rand,0.23037707805633545,0.16993215680122375,0.16602498292922974,0.22674758732318878,0.19791212677955627
corporation,0.1715448498725891,0.10538096725940704,0.17905902862548828,0.22058315575122833,0.17786547541618347
",",0.3087472915649414,0.3015086054801941,0.4316047728061676,0.20029692351818085,0.2580571472644806
funded,0.12889151275157928,0.20334458351135254,0.18729612231254578,0.22976940870285034,0.18530483543872833
by,0.2455483376979828,0.18574509024620056,0.38438332080841064,0.28219208121299744,0.20239731669425964
the,0.42745697498321533,0.34736719727516174,0.6274310946464539,0.2355310022830963,0.24798285961151123
us,0.32081687450408936,0.23250600695610046,0.28853827714920044,0.1645226925611496,0.22808615863323212
department,0.20655807852745056,0.12130371481180191,0.15531164407730103,0.18112027645111084,0.15941984951496124
of,0.33290785551071167,0.2513895630836487,0.45148900151252747,0.24082158505916595,0.21893154084682465
defense,0.193815678358078,0.14361093938350677,0.2316983938217163,0.19734179973602295,0.2347652167081833
.,0.3567904531955719,0.35288307070732117,0.500583827495575,0.17851535975933075,0.26872438192367554
,what,did,this,concept,contradict
