,in,order,to,better,understand,the,orientations,of,faults,and,folds,",",structural,geologists,do,what,with,measurements,of,geological,structures,?
they,0.4330179989337921,0.30929040908813477,0.5452046394348145,0.32682257890701294,0.37453189492225647,0.49925389885902405,0.30125004053115845,0.3426007330417633,0.26456981897354126,0.5073080658912659,0.386417955160141,0.390799880027771,0.19748392701148987,0.32318955659866333,0.4667694866657257,0.4431931674480438,0.42091572284698486,0.2530924379825592,0.3426007330417633,0.15327709913253784,0.2771379053592682,0.2753053903579712
also,0.5073733329772949,0.2635660767555237,0.5348826050758362,0.3658298850059509,0.3511672019958496,0.6021018624305725,0.2761041224002838,0.4924938678741455,0.19281046092510223,0.5755972862243652,0.23779654502868652,0.4717654287815094,0.2295960634946823,0.2034590095281601,0.36242780089378357,0.42747777700424194,0.44397303462028503,0.22910194098949432,0.4924938678741455,0.16744932532310486,0.25024136900901794,0.21848613023757935
plot,0.18982252478599548,0.19663779437541962,0.2934653162956238,0.1158268004655838,0.237742081284523,0.22070206701755524,0.19005180895328522,0.2079721987247467,0.18576380610466003,0.21544823050498962,0.14268866181373596,0.20161598920822144,0.21404553949832916,0.1658756583929062,0.1447073221206665,0.27055343985557556,0.18997003138065338,0.21238712966442108,0.2079721987247467,0.2622475028038025,0.18720564246177673,0.1946352869272232
and,0.4954058527946472,0.2671266496181488,0.48971283435821533,0.3038354516029358,0.3232683539390564,0.5171257257461548,0.25282877683639526,0.5116966962814331,0.26066941022872925,1.0,0.28241172432899475,0.6633074283599854,0.2612690031528473,0.16954530775547028,0.276123583316803,0.31309178471565247,0.5477725267410278,0.2663172781467438,0.5116966962814331,0.2217162847518921,0.29943612217903137,0.20544172823429108
combine,0.30072295665740967,0.10874204337596893,0.2847091257572174,0.2345355898141861,0.3046586513519287,0.2880306839942932,0.1994641125202179,0.3253297805786133,0.21405966579914093,0.36650222539901733,0.21197983622550964,0.29247188568115234,0.3015400767326355,0.1583367884159088,0.24038325250148773,0.27796897292137146,0.35364508628845215,0.23200155794620514,0.3253297805786133,0.14632633328437805,0.2262098789215088,0.23649157583713531
measurements,0.20795248448848724,0.1768619865179062,0.2815989851951599,0.1688666194677353,0.3092215061187744,0.2816277742385864,0.35752972960472107,0.2575634717941284,0.2662467062473297,0.2663172781467438,0.23950140178203583,0.24993771314620972,0.35464799404144287,0.3723966181278229,0.20315487682819366,0.2814480662345886,0.19908776879310608,1.0000001192092896,0.2575634717941284,0.3215232789516449,0.33988457918167114,0.18784773349761963
of,0.5696388483047485,0.31287699937820435,0.41548454761505127,0.18950162827968597,0.22435243427753448,0.733189046382904,0.24909114837646484,1.0,0.1837489753961563,0.5116966962814331,0.18923333287239075,0.4946078956127167,0.23907262086868286,0.21582631766796112,0.26150479912757874,0.33290785551071167,0.41827285289764404,0.2575634717941284,1.0,0.3277883529663086,0.2804560363292694,0.1826142966747284
geological,0.24111470580101013,0.11070535331964493,0.21852900087833405,0.1287357211112976,0.19949141144752502,0.2813860774040222,0.21755360066890717,0.3277883529663086,0.44116663932800293,0.2217162847518921,0.30364376306533813,0.1997290551662445,0.3677878677845001,0.7047867774963379,0.17171868681907654,0.2686845362186432,0.19313529133796692,0.3215232789516449,0.3277883529663086,1.0,0.3152775168418884,0.16050557792186737
structures,0.36503779888153076,0.19026866555213928,0.25539523363113403,0.11293559521436691,0.19005006551742554,0.2516176700592041,0.28769227862358093,0.2804560363292694,0.27876800298690796,0.29943612217903137,0.3395153880119324,0.2790010869503021,0.7078136205673218,0.2777736485004425,0.15187564492225647,0.19226044416427612,0.1962338536977768,0.33988457918167114,0.2804560363292694,0.3152775168418884,1.0000001192092896,0.13590580224990845
in,1.0,0.24184700846672058,0.45010748505592346,0.20443932712078094,0.20633617043495178,0.6662389636039734,0.19338546693325043,0.5696388483047485,0.1723613142967224,0.4954058527946472,0.1617289036512375,0.5201468467712402,0.2507881224155426,0.22336415946483612,0.23402775824069977,0.30808621644973755,0.4080928862094879,0.20795248448848724,0.5696388483047485,0.24111470580101013,0.36503779888153076,0.20430970191955566
