,ministers,of,what,faith,were,trained,by,the,university,in,early,years,?
in,0.21894918382167816,0.5696388483047485,0.30808621644973755,0.16146141290664673,0.3815755248069763,0.22047798335552216,0.370934396982193,0.6662389636039734,0.3201795518398285,1.0,0.34672921895980835,0.33554986119270325,0.20430970191955566
the,0.2563166916370392,0.733189046382904,0.42745697498321533,0.20665863156318665,0.3906462490558624,0.19296632707118988,0.4408751428127289,1.0,0.263973206281662,0.6662389636039734,0.34442198276519775,0.2912273406982422,0.22068053483963013
early,0.15589790046215057,0.30937549471855164,0.2454567849636078,0.20533528923988342,0.39198037981987,0.19724099338054657,0.25586557388305664,0.34442198276519775,0.15928985178470612,0.34672921895980835,1.0000001192092896,0.3695620000362396,0.15272949635982513
years,0.19268277287483215,0.2904134690761566,0.1981470286846161,0.1503433883190155,0.3048669695854187,0.21423685550689697,0.19883383810520172,0.2912273406982422,0.22516091167926788,0.33554986119270325,0.3695620000362396,1.0,0.1914375126361847
the,0.2563166916370392,0.733189046382904,0.42745697498321533,0.20665863156318665,0.3906462490558624,0.19296632707118988,0.4408751428127289,1.0,0.263973206281662,0.6662389636039734,0.34442198276519775,0.2912273406982422,0.22068053483963013
college,0.23413623869419098,0.2384195327758789,0.20568516850471497,0.15114234387874603,0.12271390855312347,0.19581098854541779,0.18773820996284485,0.19751401245594025,0.6649739742279053,0.2160365730524063,0.19495421648025513,0.21759963035583496,0.11076676845550537
trained,0.17938342690467834,0.17385481297969818,0.20267696678638458,0.15453483164310455,0.27124762535095215,1.0,0.2168322205543518,0.19296632707118988,0.2009081095457077,0.22047798335552216,0.19724099338054657,0.21423685550689697,0.14453530311584473
many,0.19665347039699554,0.37253960967063904,0.36131182312965393,0.2252967357635498,0.4804460406303406,0.27141302824020386,0.3409687578678131,0.4335206151008606,0.19385361671447754,0.41474202275276184,0.4033903181552887,0.2731519937515259,0.2124512493610382
puritan,0.276340514421463,0.29180794954299927,0.2604920268058777,0.320261687040329,0.25877928733825684,0.11856148391962051,0.1858575940132141,0.21826402842998505,0.21577543020248413,0.24401246011257172,0.331714391708374,0.17990754544734955,0.16182507574558258
ministers,0.9999999403953552,0.31468528509140015,0.24707821011543274,0.2303273230791092,0.23559054732322693,0.17938342690467834,0.2074352502822876,0.2563166916370392,0.2781432867050171,0.21894918382167816,0.15589790046215057,0.19268277287483215,0.15132683515548706
.,0.19565008580684662,0.5352458953857422,0.3567904531955719,0.2496335357427597,0.3378238379955292,0.2017226666212082,0.3936232924461365,0.5934505462646484,0.290679007768631,0.5591574311256409,0.3224305212497711,0.31919315457344055,0.4130953550338745
