,in,what,year,did,john,and,charles,wesley,come,to,america,to,teach,the,gospel,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.22177861630916595,0.4954058527946472,0.21346928179264069,0.14970102906227112,0.26272067427635193,0.45010748505592346,0.3098583221435547,0.45010748505592346,0.23312166333198547,0.6662389636039734,0.1775401383638382,0.20430970191955566
1735,0.1438913345336914,0.1352374255657196,0.14953123033046722,0.09082478284835815,0.08929149061441422,0.15721049904823303,0.13514533638954163,0.12202242761850357,0.04660750553011894,0.09699079394340515,-0.037716176360845566,0.09699079394340515,0.10056070983409882,0.1201869398355484,0.08079791069030762,0.2166009247303009
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.23961079120635986,0.6633074283599854,0.24990057945251465,0.262672483921051,0.350309282541275,0.44245919585227966,0.253568559885025,0.44245919585227966,0.22192275524139404,0.4933079481124878,0.19893822073936462,0.31091248989105225
john,0.22177861630916595,0.18237407505512238,0.13745838403701782,0.18785913288593292,1.0000001192092896,0.21634717285633087,0.43168818950653076,0.43004438281059265,0.14286096394062042,0.2070634365081787,0.22025291621685028,0.2070634365081787,0.15221664309501648,0.2230520099401474,0.32815858721733093,0.13162356615066528
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.21634717285633087,1.0,0.23640480637550354,0.19792525470256805,0.3412281572818756,0.48971283435821533,0.2647855281829834,0.48971283435821533,0.27376773953437805,0.5171257257461548,0.1558459848165512,0.20544172823429108
charles,0.21346928179264069,0.18606366217136383,0.17921052873134613,0.11287324130535126,0.43168818950653076,0.23640480637550354,1.0000001192092896,0.32569611072540283,0.17953462898731232,0.1563960611820221,0.15900149941444397,0.1563960611820221,0.16131171584129333,0.20777860283851624,0.14034874737262726,0.17366734147071838
wesley,0.14970102906227112,0.15380223095417023,0.188685804605484,0.13146962225437164,0.43004438281059265,0.19792525470256805,0.32569611072540283,0.9999999403953552,0.05210297554731369,0.18164515495300293,0.1133975014090538,0.18164515495300293,0.2060650885105133,0.1425647884607315,0.28412169218063354,0.1662333607673645
went,0.30470821261405945,0.20164033770561218,0.2551687955856323,0.4810470640659332,0.1899385303258896,0.3419242799282074,0.1675105094909668,0.1719440370798111,0.3293837308883667,0.33234721422195435,0.1967214047908783,0.33234721422195435,0.28429678082466125,0.3345835506916046,0.11834108829498291,0.12109432369470596
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.2070634365081787,0.48971283435821533,0.1563960611820221,0.18164515495300293,0.4297197163105011,1.0,0.2636699676513672,1.0,0.36650484800338745,0.535392165184021,0.22325627505779266,0.29463258385658264
america,0.3098583221435547,0.2517423629760742,0.22777484357357025,0.2212076634168625,0.22025291621685028,0.2647855281829834,0.15900149941444397,0.1133975014090538,0.18188384175300598,0.2636699676513672,0.9999998807907104,0.2636699676513672,0.1775546818971634,0.37090015411376953,0.2070411890745163,0.19333907961845398
