,who,is,the,hero,who,killed,a,dragon,on,the,drachenfels,?
this,0.3345087468624115,0.480927973985672,0.6274310946464539,0.16226041316986084,0.3345087468624115,0.20144015550613403,0.5422310829162598,0.16620996594429016,0.4193967580795288,0.6274310946464539,0.318728506565094,0.3155723512172699
``,0.02397952415049076,0.058766357600688934,0.029072100296616554,-0.011326625011861324,0.02397952415049076,0.02015254646539688,0.07272057235240936,-0.03440721333026886,-0.03274054825305939,0.029072100296616554,0.059318821877241135,0.0685480609536171
germanic,0.29034221172332764,0.2013675570487976,0.3006645441055298,0.15574370324611664,0.29034221172332764,0.19316993653774261,0.23486585915088654,0.17829707264900208,0.1591455042362213,0.3006645441055298,0.4223692715167999,0.18380945920944214
heroic,0.28911858797073364,0.13494174182415009,0.24516884982585907,0.5404455065727234,0.28911858797073364,0.2170436978340149,0.23466333746910095,0.20883896946907043,0.128208190202713,0.24516884982585907,0.1769595444202423,0.20906680822372437
age,0.2584081292152405,0.17962174117565155,0.24711290001869202,0.186004176735878,0.2584081292152405,0.15944138169288635,0.19297243654727936,0.1677248775959015,0.23768801987171173,0.24711290001869202,0.2650139331817627,0.16859300434589386
'',0.024401003494858742,0.0793738141655922,0.041273195296525955,0.044631537050008774,0.024401003494858742,-0.006794740911573172,0.04890415817499161,0.005175616592168808,0.04238596186041832,0.041273195296525955,8.406977576669306e-05,0.018684765323996544
is,0.24293622374534607,1.0,0.5823672413825989,0.17476734519004822,0.24293622374534607,0.14937788248062134,0.658733606338501,0.228524312376976,0.3635730445384979,0.5823672413825989,0.3311617970466614,0.22961433231830597
reflected,0.14889879524707794,0.1734040081501007,0.3111802637577057,0.15435311198234558,0.14889879524707794,0.08273541182279587,0.23217599093914032,0.1597956120967865,0.2599312365055084,0.3111802637577057,0.17870156466960907,0.12829364836215973
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.14012277126312256,0.2792111933231354,0.1957504004240036,0.539380669593811,0.16428117454051971,0.46853652596473694,0.6662389636039734,0.3474242687225342,0.20430970191955566
medieval,0.1664111316204071,0.22781160473823547,0.28617456555366516,0.16069230437278748,0.1664111316204071,0.09410115331411362,0.22829298675060272,0.13509252667427063,0.15240095555782318,0.28617456555366516,0.331607460975647,0.15571735799312592
legend,0.22516049444675446,0.1762775480747223,0.19108377397060394,0.3875654339790344,0.22516049444675446,0.23284542560577393,0.21192191541194916,0.3081725835800171,0.1266251802444458,0.19108377397060394,0.20970667898654938,0.1287047564983368
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.22340096533298492,0.3365725874900818,0.3006497025489807,0.427140474319458,0.25962120294570923,0.49057599902153015,0.4933079481124878,0.415554016828537,0.31091248989105225
such,0.2594927251338959,0.23545363545417786,0.3575236201286316,0.1564590036869049,0.2594927251338959,0.09466572105884552,0.2706976532936096,0.15404868125915527,0.3181164264678955,0.3575236201286316,0.21839846670627594,0.17851735651493073
as,0.3923053741455078,0.43216490745544434,0.48381632566452026,0.16114561259746552,0.3923053741455078,0.18260051310062408,0.39550232887268066,0.16835637390613556,0.36047765612602234,0.48381632566452026,0.2750900983810425,0.27043893933296204
the,0.3733934462070465,0.5823672413825989,1.0,0.19534069299697876,0.3733934462070465,0.23115427792072296,0.5829201340675354,0.2850968539714813,0.5107308030128479,1.0,0.39601391553878784,0.22068053483963013
nibelungenlied,0.31398946046829224,0.266268789768219,0.39141249656677246,0.2665753662586212,0.31398946046829224,0.2463422268629074,0.2770625352859497,0.28536421060562134,0.1963086873292923,0.39141249656677246,0.48661720752716064,0.1500171571969986
which,0.3688730001449585,0.4457404911518097,0.6521818041801453,0.17129172384738922,0.3688730001449585,0.14481931924819946,0.56894451379776,0.2305269092321396,0.4245251417160034,0.6521818041801453,0.3165706694126129,0.25814583897590637
tells,0.33667775988578796,0.2967565357685089,0.28859055042266846,0.29090186953544617,0.33667775988578796,0.29125121235847473,0.28668609261512756,0.24100954830646515,0.16476288437843323,0.28859055042266846,0.23879480361938477,0.20469747483730316
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.20685459673404694,0.2827862501144409,0.2589981257915497,0.5052502155303955,0.17682741582393646,0.3966929316520691,0.733189046382904,0.3707074224948883,0.1826142966747284
