,how,much,resources,were,french,placing,in,north,america,?
william,0.1955212652683258,0.16767168045043945,0.16958197951316833,0.18914814293384552,0.20046363770961761,0.11843393743038177,0.21605195105075836,0.21623094379901886,0.19435492157936096,0.14462219178676605
pitt,0.1611364334821701,0.1564859300851822,0.20255470275878906,0.1752316653728485,0.17383159697055817,0.15821298956871033,0.2730093002319336,0.1982986181974411,0.19414597749710083,0.13721784949302673
came,0.24875548481941223,0.26738616824150085,0.19900567829608917,0.4644804000854492,0.21427656710147858,0.14519022405147552,0.29996100068092346,0.2148960530757904,0.2634342908859253,0.1739392727613449
to,0.44169697165489197,0.40610215067863464,0.3263809382915497,0.31913647055625916,0.1713797152042389,0.3024216890335083,0.45010748505592346,0.2743184268474579,0.2636699676513672,0.29463258385658264
power,0.23785550892353058,0.289607435464859,0.3394971787929535,0.18395109474658966,0.10779871046543121,0.12591996788978577,0.16666220128536224,0.16308823227882385,0.17659200727939606,0.15304024517536163
and,0.33647966384887695,0.38395699858665466,0.3116118013858795,0.42175528407096863,0.32751965522766113,0.30559343099594116,0.4954058527946472,0.2776443064212799,0.2647855281829834,0.20544172823429108
significantly,0.3329834043979645,0.5204304456710815,0.29133808612823486,0.25777944922447205,0.15433959662914276,0.24477992951869965,0.26986899971961975,0.11533327400684357,0.127480611205101,0.1823679804801941
increased,0.2297995388507843,0.38681474328041077,0.2756139636039734,0.2608676850795746,0.08259110152721405,0.21184761822223663,0.244624063372612,0.20388749241828918,0.16970990598201752,0.09587585180997849
british,0.17564475536346436,0.17158342897891998,0.1758747100830078,0.27742838859558105,0.43574923276901245,0.18345633149147034,0.23084034025669098,0.2482547163963318,0.23250389099121094,0.09711728990077972
military,0.15955743193626404,0.1876564472913742,0.22436527907848358,0.21322216093540192,0.23023447394371033,0.13007481396198273,0.2402431070804596,0.1860160529613495,0.16090981662273407,0.1890317052602768
resources,0.23077203333377838,0.3162834346294403,1.0000001192092896,0.1945209950208664,0.11615291237831116,0.11871346086263657,0.2161814570426941,0.18336766958236694,0.23487530648708344,0.26047492027282715
in,0.2601168751716614,0.2725222110748291,0.2161814570426941,0.3815755248069763,0.22093388438224792,0.25675341486930847,1.0,0.39050599932670593,0.3098583221435547,0.20430970191955566
