,what,is,the,common,coastal,pleurobrachia,called,?
cydippid,0.2701593041419983,0.22633759677410126,0.3269699513912201,0.274822860956192,0.29262760281562805,0.5100585222244263,0.33596813678741455,0.2854539453983307
ctenophores,0.2505159080028534,0.22332732379436493,0.2543465793132782,0.3439505994319916,0.27554091811180115,0.590568482875824,0.31854429841041565,0.2054179310798645
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.3370055556297302,0.20162180066108704,0.29971548914909363,0.34887513518333435,0.32991164922714233
bodies,0.1688588559627533,0.22389735281467438,0.2745959758758545,0.17164093255996704,0.18435199558734894,0.3229559659957886,0.2661176025867462,0.18285469710826874
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2786630392074585,0.20089487731456757,0.29764023423194885,0.41604554653167725,0.32716336846351624
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.3463647663593292,0.24362002313137054,0.2870176434516907,0.3676711618900299,0.24591213464736938
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.25056302547454834,0.21768265962600708,0.23618942499160767,0.26791808009147644,0.27894994616508484
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.39668911695480347,0.20579829812049866,0.3624512851238251,0.4293559193611145,0.32389625906944275
less,0.31119704246520996,0.3123510479927063,0.29185041785240173,0.31436440348625183,0.25458183884620667,0.25506559014320374,0.28457966446876526,0.22418740391731262
rounded,0.20986932516098022,0.2543472349643707,0.2660619914531708,0.21172383427619934,0.19008868932724,0.267534077167511,0.2584070861339569,0.1535935252904892
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2497023195028305,0.21444359421730042,0.3501478135585785,0.26549121737480164,0.31091248989105225
sometimes,0.34229418635368347,0.3757973313331604,0.35816407203674316,0.3963818848133087,0.24834951758384705,0.3078690469264984,0.575774610042572,0.1751544177532196
nearly,0.21304303407669067,0.268917441368103,0.3409946858882904,0.20358429849147797,0.2205193191766739,0.21121707558631897,0.19340527057647705,0.11670064926147461
spherical,0.1481882929801941,0.239867702126503,0.2172049880027771,0.18048544228076935,0.1565595269203186,0.3193369507789612,0.218410924077034,0.0753602683544159
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.229714497923851,0.2637535333633423,0.31245362758636475,0.3251761794090271,0.20544172823429108
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.32652610540390015,0.19473424553871155,0.26518046855926514,0.3308360278606415,0.24682199954986572
times,0.21414996683597565,0.21773184835910797,0.29093852639198303,0.14813515543937683,0.16568784415721893,0.1449555605649948,0.22388021647930145,0.18880689144134521
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.25056302547454834,0.21768265962600708,0.23618942499160767,0.26791808009147644,0.27894994616508484
cylindrical,0.16798965632915497,0.2356187105178833,0.2267201691865921,0.257683128118515,0.15798500180244446,0.39548224210739136,0.294852077960968,0.1266353279352188
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.39668911695480347,0.20579829812049866,0.3624512851238251,0.4293559193611145,0.32389625906944275
egg-shaped,0.22149525582790375,0.24212585389614105,0.30625149607658386,0.26795583963394165,0.2465461939573288,0.4102420508861542,0.4282063841819763,0.11325749009847641
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.03765946254134178,0.06513570994138718,0.06466923654079437,0.02254311740398407,0.10349778085947037
the,0.42745697498321533,0.5823672413825989,1.0,0.2705984115600586,0.2718130946159363,0.3389502763748169,0.489897221326828,0.22068053483963013
common,0.19989867508411407,0.2952355444431305,0.2705984115600586,0.9999998807907104,0.22701378166675568,0.2826249599456787,0.2879287302494049,0.20434872806072235
coastal,0.18264484405517578,0.21945476531982422,0.2718130946159363,0.22701378166675568,1.0000001192092896,0.26176005601882935,0.24742810428142548,0.13777320086956024
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.13911877572536469,0.05644974485039711,0.21894502639770508,0.00907047651708126,0.0685480609536171
sea,0.19525039196014404,0.22288988530635834,0.30363768339157104,0.1687072515487671,0.48406046628952026,0.3155388832092285,0.20846620202064514,0.15551945567131042
gooseberry,0.21568390727043152,0.31130126118659973,0.2879318594932556,0.276933491230011,0.23781490325927734,0.339797705411911,0.28198686242103577,0.13494670391082764
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2497023195028305,0.21444359421730042,0.3501478135585785,0.26549121737480164,0.31091248989105225
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,-0.003978588618338108,-0.039853837341070175,-0.006374341901391745,0.021102847531437874,0.018684765323996544
