,what,was,the,first,picture,released,by,abc,pictures,?
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3482176661491394,0.28874918818473816,0.23219406604766846,0.37496164441108704,0.17440107464790344,0.2706739008426666,0.32716336846351624
year,0.15184831619262695,0.3209837079048157,0.3609684407711029,0.3099139928817749,0.21833181381225586,0.21057839691638947,0.28805047273635864,0.2373921275138855,0.14347043633460999,0.18315006792545319
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34503069519996643,0.21603867411613464,0.2775750756263733,0.3680937886238098,0.2097204476594925,0.22709426283836365,0.31091248989105225
roone,0.17437835037708282,0.2372283935546875,0.24336695671081543,0.19956862926483154,0.25396519899368286,0.2307192087173462,0.216336190700531,0.30657878518104553,0.23061591386795044,0.21176548302173615
arledge,0.3535206913948059,0.23825472593307495,0.38004153966903687,0.19736726582050323,0.27926138043403625,0.1965666115283966,0.2721877992153168,0.31692740321159363,0.24330765008926392,0.30967646837234497
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.19888970255851746,0.32720035314559937,0.4752357602119446,0.21565799415111542,0.19563059508800507,0.18412111699581146
named,0.1525408923625946,0.37528327107429504,0.3521348536014557,0.35798725485801697,0.13749168813228607,0.1883924901485443,0.30212631821632385,0.2247007191181183,0.11967305839061737,0.1297498345375061
president,0.1870913952589035,0.2505730390548706,0.24330610036849976,0.2690713107585907,0.16950984299182892,0.14121489226818085,0.18304786086082458,0.20593604445457458,0.1294209212064743,0.14148259162902832
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3536086082458496,0.2663329243659973,0.17721395194530487,0.3646814823150635,0.14607268571853638,0.19921936094760895,0.1826142966747284
abc,0.1317344456911087,0.21565799415111542,0.2068762183189392,0.2403600513935089,0.2221495658159256,0.2587141990661621,0.17600902915000916,1.0000001192092896,0.23470810055732727,0.19065172970294952
sports,0.13245077431201935,0.19941140711307526,0.20313861966133118,0.16888070106506348,0.08202996850013733,0.1468278467655182,0.1928456425666809,0.20410163700580597,0.20172978937625885,0.04557104781270027
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.07760433852672577,-0.032719820737838745,0.08775733411312103,0.10469875484704971,-0.0012340332614257932,0.010280818678438663,0.10349778085947037
the,0.42745697498321533,0.48711544275283813,1.0,0.49448907375335693,0.31755533814430237,0.24578391015529633,0.4408751428127289,0.2068762183189392,0.2478199452161789,0.22068053483963013
