,what,is,another,term,for,rotors,?
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3080509603023529,0.44038116931915283,0.3083786368370056,0.23916715383529663
steam,0.15672586858272552,0.13029660284519196,0.18421155214309692,0.10872190445661545,0.19393667578697205,0.4222961962223053,0.113324373960495
turbine,0.1404699683189392,0.20463748276233673,0.18623217940330505,0.14181368052959442,0.16188207268714905,0.5087845325469971,0.16315746307373047
consists,0.11367427557706833,0.43405216932296753,0.1587071269750595,0.22009800374507904,0.260900616645813,0.2113271951675415,-0.004641483072191477
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.26047757267951965,0.4185989499092102,0.24719494581222534,0.1826142966747284
one,0.376489520072937,0.4544198513031006,0.5444791913032532,0.20483051240444183,0.384836345911026,0.2932324707508087,0.2673267424106598
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.34949591755867004,0.4111599624156952,0.2481328547000885,0.32389625906944275
more,0.3484537899494171,0.2946030795574188,0.4338461756706238,0.2468089461326599,0.3891189992427826,0.21729803085327148,0.27894994616508484
rotors,0.17702068388462067,0.2282179445028305,0.24720969796180725,0.1536770910024643,0.2037714719772339,1.0,0.14298434555530548
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.16755855083465576,0.3357032239437103,0.18331314623355865,0.40561532974243164
rotating,0.1976575255393982,0.19488193094730377,0.27632495760917664,0.14315423369407654,0.21533049643039703,0.5105764269828796,0.08289054036140442
discs,0.20178590714931488,0.20366539061069489,0.23268423974514008,0.16209402680397034,0.21083790063858032,0.36191147565841675,0.09042835980653763
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.14937621355056763,0.3639558255672455,0.16590018570423126,0.42300865054130554
mounted,0.1395481526851654,0.1747606098651886,0.23881475627422333,0.09958207607269287,0.19787012040615082,0.4187544882297516,0.07335436344146729
on,0.34226128458976746,0.3635730445384979,0.2988088130950928,0.1491490602493286,0.36199691891670227,0.22406750917434692,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3080509603023529,0.44038116931915283,0.3083786368370056,0.23916715383529663
drive,0.21679377555847168,0.20462195575237274,0.2585357129573822,0.10161008685827255,0.2716398239135742,0.3145405352115631,0.11447915434837341
shaft,0.12638844549655914,0.2056579887866974,0.25527822971343994,0.2179119884967804,0.173964262008667,0.4320661723613739,0.15109451115131378
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.23797942698001862,0.31091248989105225
alternating,0.10095972567796707,0.2651365399360657,0.22436004877090454,0.22313885390758514,0.28052112460136414,0.3348080515861511,0.13878576457500458
with,0.2464839518070221,0.3250955045223236,0.359900563955307,0.18053050339221954,0.39140474796295166,0.19149591028690338,0.2433311939239502
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3080509603023529,0.44038116931915283,0.3083786368370056,0.23916715383529663
series,0.17328087985515594,0.20355552434921265,0.1687842309474945,0.12554240226745605,0.2715710699558258,0.22665737569332123,0.1709602326154709
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.26047757267951965,0.4185989499092102,0.24719494581222534,0.1826142966747284
stators,0.19921216368675232,0.1262323260307312,0.14806132018566132,0.13119883835315704,0.15256112813949585,0.5342518091201782,0.08155762404203415
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.16755855083465576,0.3357032239437103,0.18331314623355865,0.40561532974243164
static,0.2510988116264343,0.16519774496555328,0.27259737253189087,0.1424734741449356,0.1698531210422516,0.33963167667388916,0.22167910635471344
discs,0.20178590714931488,0.20366539061069489,0.23268423974514008,0.16209402680397034,0.21083790063858032,0.36191147565841675,0.09042835980653763
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.14937621355056763,0.3639558255672455,0.16590018570423126,0.42300865054130554
fixed,0.255135715007782,0.19544963538646698,0.23000678420066833,0.13180211186408997,0.19920459389686584,0.21903002262115479,0.2728462815284729
to,0.455847829580307,0.42745086550712585,0.48769932985305786,0.3310292959213257,0.4451248347759247,0.2291257083415985,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2740369141101837,0.4739971458911896,0.2792211174964905,0.22068053483963013
turbine,0.1404699683189392,0.20463748276233673,0.18623217940330505,0.14181368052959442,0.16188207268714905,0.5087845325469971,0.16315746307373047
casing,0.16667453944683075,0.27843719720840454,0.33123794198036194,0.17513971030712128,0.25362148880958557,0.35101500153541565,0.184690460562706
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.18456575274467468,0.4726039469242096,0.2592269480228424,0.4130953550338745
