,who,is,the,president,of,egypt,?
egyptian,0.21174673736095428,0.15807108581066132,0.22032245993614197,0.1821102648973465,0.20001496374607086,0.7541024684906006,0.14169205725193024
president,0.22565458714962006,0.15443938970565796,0.24330610036849976,1.0000001192092896,0.21610750257968903,0.238915354013443,0.14148259162902832
anwar,0.3026922345161438,0.15475192666053772,0.2525264620780945,0.3632887005805969,0.18239761888980865,0.490847647190094,0.2032770961523056
sadat,0.2775149941444397,0.1532515436410904,0.274522602558136,0.4745725095272064,0.24748633801937103,0.50239098072052,0.2286619395017624
–,0.2920783460140228,0.1436920464038849,0.2607575058937073,0.24094988405704498,0.2799985408782959,0.20186938345432281,0.2714554965496063
whose,0.48551782965660095,0.26491984724998474,0.38253846764564514,0.15398049354553223,0.37058958411216736,0.11681942641735077,0.16990536451339722
policies,0.2789143919944763,0.1406831294298172,0.22566401958465576,0.25397640466690063,0.210641011595726,0.19173240661621094,0.2969106435775757
included,0.19250646233558655,0.23363345861434937,0.3825419843196869,0.10140462964773178,0.4391688108444214,0.09228961914777756,0.14385655522346497
opening,0.12329958379268646,0.1926470547914505,0.37298497557640076,0.13196653127670288,0.2651100158691406,0.1109536737203598,0.16502447426319122
egypt,0.17025555670261383,0.16368485987186432,0.2536296546459198,0.238915354013443,0.25414037704467773,1.0,0.17769601941108704
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.21247753500938416,0.41548454761505127,0.2233564704656601,0.29463258385658264
western,0.2089514136314392,0.2572968304157257,0.37920868396759033,0.14854004979133606,0.32974064350128174,0.1960555464029312,0.17439141869544983
investment,0.1804065853357315,0.22608432173728943,0.20950904488563538,0.3005093038082123,0.24637944996356964,0.2107013761997223,0.17811161279678345
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.2037333846092224,0.35032153129577637,0.1353471428155899,0.40561532974243164
infitah,0.27352389693260193,0.16440078616142273,0.26415133476257324,0.2708517014980316,0.26872578263282776,0.3891349136829376,0.20328617095947266
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.1912459284067154,0.3680361211299896,0.14896562695503235,0.42300865054130554
;,0.007937713526189327,0.05324986204504967,0.09152708947658539,-0.05959305167198181,0.054534342139959335,0.036044660955667496,0.10349778085947037
transferring,0.1662752628326416,0.24914954602718353,0.31029975414276123,0.1804181933403015,0.2900182902812958,0.19209876656532288,0.17889004945755005
egypt,0.17025555670261383,0.16368485987186432,0.2536296546459198,0.238915354013443,0.25414037704467773,1.0,0.17769601941108704
's,0.05599616840481758,0.02396530658006668,-0.01540423184633255,-0.08566092699766159,-0.03817026689648628,0.068876713514328,-0.023395681753754616
allegiance,0.20829445123672485,0.13599054515361786,0.26782822608947754,0.3800086975097656,0.29746443033218384,0.25597676634788513,0.10591092705726624
from,0.27839982509613037,0.27355384826660156,0.40150508284568787,0.14635725319385529,0.4249346852302551,0.18771670758724213,0.19969791173934937
the,0.3733934462070465,0.5823672413825989,1.0,0.24330610036849976,0.733189046382904,0.2536296546459198,0.22068053483963013
soviet,0.19540928304195404,0.14624075591564178,0.2312941700220108,0.2645951509475708,0.17437179386615753,0.21903857588768005,0.08693568408489227
union,0.16662479937076569,0.16997112333774567,0.24421639740467072,0.257988840341568,0.2642118036746979,0.153463676571846,0.07797172665596008
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.21247753500938416,0.41548454761505127,0.2233564704656601,0.29463258385658264
the,0.3733934462070465,0.5823672413825989,1.0,0.24330610036849976,0.733189046382904,0.2536296546459198,0.22068053483963013
