,when,did,luther,waken,with,more,chest,pains,?
at,0.38876327872276306,0.28390252590179443,0.13834704458713531,0.12677721679210663,0.29126521944999695,0.2627858817577362,0.11918435990810394,0.23763185739517212,0.21978627145290375
1,-0.2683585286140442,-0.2815930247306824,-0.1791495978832245,-0.1377914994955063,-0.2545506954193115,-0.24222660064697266,-0.12696459889411926,-0.28869199752807617,-0.249979168176651
a.m.,0.03297573700547218,0.06142153590917587,0.0645604357123375,0.045551806688308716,0.06538701802492142,0.054668258875608444,0.03749528527259827,0.1809680014848709,-0.013456551358103752
he,0.39115971326828003,0.3292143940925598,0.2454872578382492,0.2547052800655365,0.2845253646373749,0.25741079449653625,0.18759974837303162,0.3054101765155792,0.2089974731206894
awoke,0.43003058433532715,0.3375455141067505,0.18829630315303802,0.4675866663455963,0.2319808453321457,0.23994652926921844,0.2676788866519928,0.291881799697876,0.23581703007221222
with,0.5075214505195618,0.25472134351730347,0.14705438911914825,0.22110094130039215,0.9999999403953552,0.3535402715206146,0.25345805287361145,0.29649925231933594,0.2433311939239502
more,0.359977662563324,0.2803135812282562,0.11574393510818481,0.17858240008354187,0.3535402715206146,1.0,0.18138279020786285,0.2757287323474884,0.27894994616508484
chest,0.2795240581035614,0.13813361525535583,0.12796975672245026,0.1607505977153778,0.25345805287361145,0.18138279020786285,1.0,0.4561067521572113,0.1842467039823532
pain,0.24814249575138092,0.19090883433818817,0.1677510142326355,0.2275373637676239,0.2583017349243164,0.20723164081573486,0.4638656973838806,0.7160266637802124,0.2135392427444458
and,0.4716290831565857,0.34479495882987976,0.20796556770801544,0.251936137676239,0.5477725267410278,0.39880692958831787,0.22237001359462738,0.33388829231262207,0.20544172823429108
was,0.37326499819755554,0.41399896144866943,0.19185513257980347,0.1983450949192047,0.27411898970603943,0.21525104343891144,0.1825808882713318,0.2282116562128067,0.18412111699581146
warmed,0.38106176257133484,0.20946235954761505,0.07757563889026642,0.27482399344444275,0.27348077297210693,0.2950066030025482,0.2903369665145874,0.2721751630306244,0.1593949794769287
with,0.5075214505195618,0.25472134351730347,0.14705438911914825,0.22110094130039215,0.9999999403953552,0.3535402715206146,0.25345805287361145,0.29649925231933594,0.2433311939239502
hot,0.2563246190547943,0.18463468551635742,0.11442572623491287,0.13293308019638062,0.23800167441368103,0.1967853456735611,0.16961607336997986,0.21691519021987915,0.1789601445198059
towels,0.293170690536499,0.19104793667793274,0.08180543780326843,0.17143337428569794,0.28682443499565125,0.23524154722690582,0.3489368259906769,0.28680220246315,0.17534612119197845
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.23422570526599884,0.4446153938770294,0.4070230722427368,0.21531569957733154,0.2753838896751404,0.4130953550338745
