,the,umc,prohibits,the,celebration,of,what,type,of,unions,?
in,0.6662389636039734,0.15436193346977234,0.17151343822479248,0.6662389636039734,0.284860759973526,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.21335460245609283,0.20430970191955566
addition,0.32955414056777954,0.18178528547286987,0.27146491408348083,0.32955414056777954,0.176892951130867,0.27503931522369385,0.20643717050552368,0.1775611788034439,0.27503931522369385,0.2149142175912857,0.19187232851982117
",",0.4933079481124878,0.1953766793012619,0.2522578239440918,0.4933079481124878,0.23405496776103973,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20337598025798798,0.31091248989105225
the,1.0,0.21262750029563904,0.24808304011821747,1.0,0.30612465739250183,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2158300280570984,0.22068053483963013
united,0.34367692470550537,0.1928277611732483,0.324386328458786,0.34367692470550537,0.22013501822948456,0.3187655806541443,0.20036718249320984,0.14191332459449768,0.3187655806541443,0.2691345810890198,0.17266890406608582
methodist,0.21922016143798828,0.2650960683822632,0.20558063685894012,0.21922016143798828,0.2528493404388428,0.28458893299102783,0.17637217044830322,0.0813259556889534,0.28458893299102783,0.25130531191825867,0.1436992734670639
church,0.23846197128295898,0.20494024455547333,0.14579415321350098,0.23846197128295898,0.2881157696247101,0.3079429268836975,0.1944202184677124,0.06279973685741425,0.3079429268836975,0.23072199523448944,0.18081501126289368
prohibits,0.24808304011821747,0.16175338625907898,1.0000001192092896,0.24808304011821747,0.17178277671337128,0.26500216126441956,0.2541826069355011,0.13152316212654114,0.26500216126441956,0.3232825696468353,0.21884572505950928
the,1.0,0.21262750029563904,0.24808304011821747,1.0,0.30612465739250183,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2158300280570984,0.22068053483963013
celebration,0.30612465739250183,0.20924952626228333,0.17178277671337128,0.30612465739250183,1.0000001192092896,0.27687039971351624,0.20844492316246033,0.08061905950307846,0.27687039971351624,0.22439149022102356,0.1872778683900833
of,0.733189046382904,0.18128293752670288,0.26500216126441956,0.733189046382904,0.27687039971351624,1.0,0.33290785551071167,0.18112817406654358,1.0,0.2497035413980484,0.1826142966747284
same-sex,0.3488786220550537,0.3373790681362152,0.28553906083106995,0.3488786220550537,0.237677663564682,0.29123005270957947,0.2764958441257477,0.18408076465129852,0.29123005270957947,0.35051241517066956,0.2158789336681366
unions,0.2158300280570984,0.2027391642332077,0.3232825696468353,0.2158300280570984,0.22439149022102356,0.2497035413980484,0.19864864647388458,0.062494147568941116,0.2497035413980484,0.9999998807907104,0.1424994021654129
.,0.5934505462646484,0.23154163360595703,0.20428632199764252,0.5934505462646484,0.2085781693458557,0.5352458953857422,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19813977181911469,0.4130953550338745
