,approximately,how,many,musical,instruments,were,loaned,to,the,horniman,museum,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.2295164167881012,0.21890103816986084,0.3906462490558624,0.2851851284503937,0.535392165184021,1.0,0.2511445879936218,0.24861779808998108,0.22068053483963013
horniman,0.15614362061023712,0.14034993946552277,0.1772499531507492,0.3101404905319214,0.27725750207901,0.19874364137649536,0.1332014948129654,0.14412513375282288,0.2511445879936218,0.9999999403953552,0.21069945394992828,0.16307298839092255
went,0.1574794352054596,0.18771818280220032,0.24444319307804108,0.13267487287521362,0.18383879959583282,0.3797573149204254,0.3577863276004791,0.33234721422195435,0.3345835506916046,0.21502409875392914,0.19349944591522217,0.12109432369470596
on,0.20797507464885712,0.32655060291290283,0.32520127296447754,0.19468769431114197,0.179425910115242,0.2774328887462616,0.16225560009479523,0.41031414270401,0.5107308030128479,0.21818123757839203,0.1697414517402649,0.2714994251728058
to,0.27967149019241333,0.44169697165489197,0.40243685245513916,0.21814438700675964,0.2603708803653717,0.31913647055625916,0.22136303782463074,1.0,0.535392165184021,0.14412513375282288,0.1640389859676361,0.29463258385658264
host,0.14819929003715515,0.15428608655929565,0.2232399731874466,0.11884848028421402,0.07239416241645813,0.0860249325633049,0.04904968664050102,0.18300798535346985,0.26909032464027405,0.1923186033964157,0.09424345940351486,0.1021634042263031
a,0.2885743975639343,0.29312583804130554,0.2872205972671509,0.21863259375095367,0.23024742305278778,0.17203083634376526,0.22702279686927795,0.45503583550453186,0.5829201340675354,0.23162499070167542,0.14725451171398163,0.23916715383529663
joint,0.1230451837182045,0.14203397929668427,0.10352055728435516,0.13151101768016815,0.16619062423706055,0.14485037326812744,0.11800218373537064,0.1634485125541687,0.2854326069355011,0.20191262662410736,0.1405773013830185,0.15804731845855713
exhibition,0.1147693395614624,0.1519046574831009,0.2550511956214905,0.24340838193893433,0.15061825513839722,0.20416437089443207,0.24111805856227875,0.17194919288158417,0.22614671289920807,0.22181275486946106,0.5163875222206116,0.11494685709476471
with,0.2440137416124344,0.3525622487068176,0.35744401812553406,0.17150826752185822,0.20840176939964294,0.3179011940956116,0.1933855414390564,0.4239959120750427,0.4223487675189972,0.18803927302360535,0.08185859024524689,0.2433311939239502
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.2295164167881012,0.21890103816986084,0.3906462490558624,0.2851851284503937,0.535392165184021,1.0,0.2511445879936218,0.24861779808998108,0.22068053483963013
v,0.059290606528520584,0.15972670912742615,0.09144165366888046,0.0724087655544281,0.11595548689365387,0.1089601069688797,0.1446220576763153,0.2109750658273697,0.18580520153045654,0.14331746101379395,0.07561434060335159,0.28677162528038025
&,0.1181027963757515,0.1377509981393814,0.12268554419279099,0.15061990916728973,0.09254316985607147,0.1205248013138771,0.10643476992845535,0.1254875510931015,0.14992168545722961,0.17209704220294952,0.18110838532447815,0.12596383690834045
a,0.2885743975639343,0.29312583804130554,0.2872205972671509,0.21863259375095367,0.23024742305278778,0.17203083634376526,0.22702279686927795,0.45503583550453186,0.5829201340675354,0.23162499070167542,0.14725451171398163,0.23916715383529663
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.2380346953868866,0.24177105724811554,0.34038281440734863,0.2206873595714569,0.41548454761505127,0.733189046382904,0.2396623194217682,0.23314370214939117,0.1826142966747284
musical,0.054063066840171814,0.2172233760356903,0.224236398935318,1.0,0.515166699886322,0.19588713347911835,0.10865810513496399,0.21814438700675964,0.2295164167881012,0.3101404905319214,0.20174925029277802,0.187048077583313
instruments,0.08755610883235931,0.2526197135448456,0.25202152132987976,0.515166699886322,0.9999999403953552,0.248578742146492,0.11341676861047745,0.2603708803653717,0.21890103816986084,0.27725750207901,0.13710464537143707,0.14437328279018402
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.2668933868408203,0.2795305550098419,0.36755475401878357,0.20844165980815887,0.44245919585227966,0.4933079481124878,0.3409329950809479,0.20741747319698334,0.31091248989105225
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.28433868288993835,0.29311448335647583,0.42175528407096863,0.20846959948539734,0.48971283435821533,0.5171257257461548,0.30135101079940796,0.21554097533226013,0.20544172823429108
has,0.29600146412849426,0.26820555329322815,0.4266262650489807,0.18427874147891998,0.18391884863376617,0.2784052789211273,0.18861445784568787,0.3619994819164276,0.4177538752555847,0.15173454582691193,0.13289806246757507,0.15994466841220856
