,who,originally,hosted,the,syndicated,version,of,who,wants,to,be,a,millionaire,?
millionaire,0.3235035836696625,0.23969987034797668,0.2565469443798065,0.21001788973808289,0.3206220269203186,0.17499607801437378,0.13616830110549927,0.3235035836696625,0.3506709635257721,0.2684379816055298,0.18120020627975464,0.287532240152359,1.0,0.24294789135456085
ended,0.13835756480693817,0.23776377737522125,0.24408766627311707,0.3356485068798065,0.2863648235797882,0.13782669603824615,0.27636510133743286,0.13835756480693817,0.1445901095867157,0.26005783677101135,0.13484296202659607,0.23481619358062744,0.12188053131103516,0.15429291129112244
its,0.1326070874929428,0.28195133805274963,0.15378360450267792,0.559237003326416,0.2604406177997589,0.18388846516609192,0.48690423369407654,0.1326070874929428,0.1820862889289856,0.3691340684890747,0.2731834948062897,0.4424409866333008,0.15547411143779755,0.15103481709957123
run,0.2372417002916336,0.23434627056121826,0.2555510997772217,0.27883726358413696,0.36484554409980774,0.1708555519580841,0.2272813767194748,0.2372417002916336,0.2721801698207855,0.2691870927810669,0.2707693874835968,0.2607046067714691,0.18845964968204498,0.17904110252857208
on,0.2340552806854248,0.2673487365245819,0.2524368166923523,0.5107308030128479,0.26752179861068726,0.25959500670433044,0.3966929316520691,0.2340552806854248,0.17078258097171783,0.41031414270401,0.37900757789611816,0.3848365545272827,0.1570359468460083,0.2714994251728058
the,0.3733934462070465,0.36820849776268005,0.2576315402984619,1.0,0.26253175735473633,0.27268242835998535,0.733189046382904,0.3733934462070465,0.2615984082221985,0.535392165184021,0.4248143136501312,0.5829201340675354,0.21001788973808289,0.22068053483963013
network,0.16999904811382294,0.24431277811527252,0.3600938320159912,0.27187061309814453,0.44183751940727234,0.2144576609134674,0.21800683438777924,0.16999904811382294,0.15751095116138458,0.25940340757369995,0.21879678964614868,0.17299489676952362,0.23147299885749817,0.17853789031505585
's,0.05599616840481758,0.06449723243713379,-0.006038293242454529,-0.01540423184633255,-0.002750858897343278,-0.009124638512730598,-0.03817026689648628,0.05599616840481758,0.034207552671432495,0.03782717138528824,0.025217169895768166,0.04866964742541313,0.05900312587618828,-0.023395681753754616
primetime,0.20144255459308624,0.27299946546554565,0.4403265118598938,0.304171085357666,0.46091437339782715,0.318516343832016,0.2045239955186844,0.20144255459308624,0.192682683467865,0.22560857236385345,0.2285517156124115,0.2278537154197693,0.31612923741340637,0.22593814134597778
lineup,0.22116360068321228,0.20552897453308105,0.24646954238414764,0.32800373435020447,0.29145708680152893,0.2980768382549286,0.18776953220367432,0.22116360068321228,0.1500537097454071,0.2515918016433716,0.23279395699501038,0.25587448477745056,0.16876628994941711,0.19030295312404633
