,why,do,islamists,need,democratic,elections,?
while,0.3304853141307831,0.3032379448413849,0.28223004937171936,0.32537710666656494,0.15968957543373108,0.18059657514095306,0.21076419949531555
islamist,0.21436528861522675,0.17377261817455292,0.8732509016990662,0.15191633999347687,0.3174824118614197,0.31662940979003906,0.14697067439556122
political,0.2156774252653122,0.16049352288246155,0.4060049057006836,0.14701475203037262,0.5250658988952637,0.47754260897636414,0.17130474746227264
culture,0.20274041593074799,0.1603490710258484,0.25566333532333374,0.17364563047885895,0.24008570611476898,0.20032335817813873,0.13093146681785583
itself,0.30151432752609253,0.24929769337177277,0.22488340735435486,0.3023548126220703,0.15598544478416443,0.13046160340309143,0.17933900654315948
may,0.25454580783843994,0.28230178356170654,0.16997040808200836,0.28590816259384155,0.1905485838651657,0.22840633988380432,0.2768254578113556
not,0.5504072904586792,0.6619802713394165,0.3051680028438568,0.5400496125221252,0.16124917566776276,0.231805220246315,0.41942933201789856
be,0.4042811989784241,0.36575672030448914,0.25897660851478577,0.5365972518920898,0.14320175349712372,0.24737296998500824,0.3324260413646698
democratic,0.16120654344558716,0.1549958437681198,0.2867084741592407,0.15681788325309753,0.9999999403953552,0.49014222621917725,0.1668088138103485
",",0.2827242314815521,0.3283645510673523,0.1822616159915924,0.25983062386512756,0.23484410345554352,0.2606843113899231,0.31091248989105225
islamists,0.2672177255153656,0.26649510860443115,1.0000001192092896,0.22101564705371857,0.2867084741592407,0.33784475922584534,0.17165705561637878
need,0.48943978548049927,0.5324284434318542,0.22101564705371857,0.9999999403953552,0.15681788325309753,0.18301670253276825,0.40413710474967957
democratic,0.16120654344558716,0.1549958437681198,0.2867084741592407,0.15681788325309753,0.9999999403953552,0.49014222621917725,0.1668088138103485
elections,0.22292938828468323,0.18452391028404236,0.33784475922584534,0.18301670253276825,0.49014222621917725,1.0,0.2319818139076233
to,0.4100138247013092,0.38876664638519287,0.28735893964767456,0.42094892263412476,0.20661352574825287,0.23835663497447968,0.29463258385658264
maintain,0.25768333673477173,0.2804717719554901,0.19949346780776978,0.4032987058162689,0.1398148089647293,0.16713686287403107,0.20568779110908508
their,0.2619993984699249,0.35424983501434326,0.2855563759803772,0.35579198598861694,0.13293485343456268,0.16675560176372528,0.1898253709077835
legitimacy,0.27106690406799316,0.24543888866901398,0.3369235694408417,0.19715844094753265,0.3143165111541748,0.3485887944698334,0.17292635142803192
.,0.32909876108169556,0.3613996207714081,0.22075964510440826,0.26852357387542725,0.22955322265625,0.27339601516723633,0.4130953550338745
