,when,was,the,first,measurement,of,the,value,of,the,newton,universal,gravitation,constant,?
not,0.4799930453300476,0.2888734042644501,0.4310511648654938,0.2955942749977112,0.28278785943984985,0.3307090103626251,0.4310511648654938,0.24114683270454407,0.3307090103626251,0.4310511648654938,0.21876533329486847,0.23280788958072662,0.21711377799510956,0.24966473877429962,0.41942933201789856
until,0.494509756565094,0.43126991391181946,0.37191009521484375,0.3975810110569,0.13757744431495667,0.2787701487541199,0.37191009521484375,0.13051572442054749,0.2787701487541199,0.37191009521484375,0.12213102728128433,0.08261186629533768,0.10548172891139984,0.2121504247188568,0.20304496586322784
1798,0.05859147757291794,0.1410113275051117,0.17788971960544586,0.09905751049518585,0.10221173614263535,0.174815833568573,0.17788971960544586,0.12886318564414978,0.174815833568573,0.17788971960544586,0.107093945145607,0.06998233497142792,0.09386990964412689,0.1027202308177948,0.10499652475118637
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.1753922402858734,0.4069072902202606,0.48711544275283813,0.13631008565425873,0.4069072902202606,0.48711544275283813,0.25264593958854675,0.210410475730896,0.1482723355293274,0.11607828736305237,0.18412111699581146
henry,0.28485748171806335,0.31945720314979553,0.2542637586593628,0.2219134271144867,0.13887888193130493,0.2390729784965515,0.2542637586593628,0.1255396157503128,0.2390729784965515,0.2542637586593628,0.2119508534669876,0.1495305448770523,0.13569314777851105,0.16133078932762146,0.16836383938789368
cavendish,0.19201116263866425,0.2747613787651062,0.2888660430908203,0.2623339891433716,0.2575441896915436,0.2563726603984833,0.2888660430908203,0.14023709297180176,0.2563726603984833,0.2888660430908203,0.28220197558403015,0.09580927342176437,0.25648999214172363,0.13087013363838196,0.09402149170637131
able,0.35277876257896423,0.19031302630901337,0.3435857892036438,0.289527028799057,0.2360888123512268,0.23883962631225586,0.3435857892036438,0.1424454152584076,0.23883962631225586,0.3435857892036438,0.14515672624111176,0.15019848942756653,0.1995917707681656,0.22218456864356995,0.260649710893631
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.3792489171028137,0.2653844356536865,0.41548454761505127,0.535392165184021,0.23921877145767212,0.41548454761505127,0.535392165184021,0.2176830768585205,0.19006553292274475,0.24520020186901093,0.26379308104515076,0.29463258385658264
make,0.4273611307144165,0.20205417275428772,0.3146495521068573,0.24807552993297577,0.2308378964662552,0.2912110388278961,0.3146495521068573,0.16082942485809326,0.2912110388278961,0.3146495521068573,0.1542254388332367,0.18569107353687286,0.17159074544906616,0.17118851840496063,0.28314751386642456
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.2747146487236023,0.733189046382904,1.0,0.16908381879329681,0.733189046382904,1.0,0.1876603662967682,0.2359178364276886,0.2239520251750946,0.2037150114774704,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,1.0,0.18479087948799133,0.3536086082458496,0.49448907375335693,0.16560477018356323,0.3536086082458496,0.49448907375335693,0.2017267495393753,0.2103700041770935,0.1456855684518814,0.1297389268875122,0.18701928853988647
measurement,0.2195417732000351,0.1753922402858734,0.2747146487236023,0.18479087948799133,1.0000001192092896,0.26198503375053406,0.2747146487236023,0.4550303518772125,0.26198503375053406,0.2747146487236023,0.310769647359848,0.1851569563150406,0.4063076972961426,0.4086335599422455,0.18654219806194305
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3536086082458496,0.26198503375053406,1.0,0.733189046382904,0.14933855831623077,1.0,0.733189046382904,0.18479612469673157,0.20601727068424225,0.20778346061706543,0.25393494963645935,0.1826142966747284
using,0.4100514352321625,0.18766598403453827,0.28364112973213196,0.30465447902679443,0.40287137031555176,0.24298200011253357,0.28364112973213196,0.2827243208885193,0.24298200011253357,0.28364112973213196,0.14429940283298492,0.12966783344745636,0.22830724716186523,0.2227572351694107,0.2804589569568634
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.2956489324569702,0.5052502155303955,0.5829201340675354,0.2328912615776062,0.5052502155303955,0.5829201340675354,0.1884482353925705,0.20401886105537415,0.2073047012090683,0.26609575748443604,0.23916715383529663
torsion,0.24898165464401245,0.10598348081111908,0.24691571295261383,0.09983670711517334,0.43421095609664917,0.22058716416358948,0.24691571295261383,0.2899326980113983,0.22058716416358948,0.24691571295261383,0.22174987196922302,0.13146787881851196,0.4484536647796631,0.3288173973560333,0.21169951558113098
balance,0.2931882441043854,0.16826172173023224,0.2858610153198242,0.1391812562942505,0.33922937512397766,0.2267034351825714,0.2858610153198242,0.25334686040878296,0.2267034351825714,0.2858610153198242,0.14508862793445587,0.24821262061595917,0.31447896361351013,0.29317623376846313,0.2381676584482193
;,0.022927695885300636,0.0754367932677269,0.09152708947658539,0.07760433852672577,0.03615497797727585,0.054534342139959335,0.09152708947658539,0.028275461867451668,0.054534342139959335,0.09152708947658539,0.03475720062851906,0.11383615434169769,0.03721439465880394,0.0166960209608078,0.10349778085947037
this,0.4959332048892975,0.3638818562030792,0.6274310946464539,0.41690850257873535,0.3301146924495697,0.45148900151252747,0.6274310946464539,0.2783501148223877,0.45148900151252747,0.6274310946464539,0.17378488183021545,0.2245345264673233,0.317509263753891,0.2505357265472412,0.3155723512172699
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.5022147297859192,0.1753922402858734,0.4069072902202606,0.48711544275283813,0.13631008565425873,0.4069072902202606,0.48711544275283813,0.25264593958854675,0.210410475730896,0.1482723355293274,0.11607828736305237,0.18412111699581146
widely,0.21910633146762848,0.3025229275226593,0.29394426941871643,0.3282143771648407,0.24897350370883942,0.22028475999832153,0.29394426941871643,0.13705018162727356,0.22028475999832153,0.29394426941871643,0.17672084271907806,0.27012670040130615,0.16073615849018097,0.17757335305213928,0.10354958474636078
reported,0.2281116247177124,0.2993243634700775,0.24444028735160828,0.18223828077316284,0.22480559349060059,0.23745855689048767,0.24444028735160828,0.12512792646884918,0.23745855689048767,0.24444028735160828,0.1204347088932991,0.05073428899049759,0.19494307041168213,0.20000241696834564,0.16150116920471191
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.2026844471693039,0.5696388483047485,0.6662389636039734,0.12795600295066833,0.5696388483047485,0.6662389636039734,0.23639483749866486,0.17730140686035156,0.17963449656963348,0.15271376073360443,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.2747146487236023,0.733189046382904,1.0,0.16908381879329681,0.733189046382904,1.0,0.1876603662967682,0.2359178364276886,0.2239520251750946,0.2037150114774704,0.22068053483963013
press,0.18807558715343475,0.20932909846305847,0.2519533634185791,0.22467122972011566,0.16002508997917175,0.2328261137008667,0.2519533634185791,0.1886824369430542,0.2328261137008667,0.2519533634185791,0.1476220190525055,0.21077314019203186,0.14872927963733673,0.13717195391654968,0.14048311114311218
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.33842000365257263,0.23886264860630035,0.3886612355709076,0.48381632566452026,0.1832757443189621,0.3886612355709076,0.48381632566452026,0.18695951998233795,0.2161426991224289,0.19515565037727356,0.22787931561470032,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.4287874400615692,0.2956489324569702,0.5052502155303955,0.5829201340675354,0.2328912615776062,0.5052502155303955,0.5829201340675354,0.1884482353925705,0.20401886105537415,0.2073047012090683,0.26609575748443604,0.23916715383529663
measurement,0.2195417732000351,0.1753922402858734,0.2747146487236023,0.18479087948799133,1.0000001192092896,0.26198503375053406,0.2747146487236023,0.4550303518772125,0.26198503375053406,0.2747146487236023,0.310769647359848,0.1851569563150406,0.4063076972961426,0.4086335599422455,0.18654219806194305
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3536086082458496,0.26198503375053406,1.0,0.733189046382904,0.14933855831623077,1.0,0.733189046382904,0.18479612469673157,0.20601727068424225,0.20778346061706543,0.25393494963645935,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.2747146487236023,0.733189046382904,1.0,0.16908381879329681,0.733189046382904,1.0,0.1876603662967682,0.2359178364276886,0.2239520251750946,0.2037150114774704,0.22068053483963013
mass,0.1852782517671585,0.16957920789718628,0.2284930944442749,0.13717874884605408,0.35813966393470764,0.26915112137794495,0.2284930944442749,0.2188863605260849,0.26915112137794495,0.2284930944442749,0.3224262297153473,0.24304069578647614,0.5111193656921387,0.3339194357395172,0.2076406031847
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.3536086082458496,0.26198503375053406,1.0,0.733189046382904,0.14933855831623077,1.0,0.733189046382904,0.18479612469673157,0.20601727068424225,0.20778346061706543,0.25393494963645935,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.49448907375335693,0.2747146487236023,0.733189046382904,1.0,0.16908381879329681,0.733189046382904,1.0,0.1876603662967682,0.2359178364276886,0.2239520251750946,0.2037150114774704,0.22068053483963013
earth,0.23456822335720062,0.18661361932754517,0.2801888585090637,0.23709720373153687,0.3089277148246765,0.2329314798116684,0.2801888585090637,0.2181830257177353,0.2329314798116684,0.2801888585090637,0.1983465850353241,0.2511849105358124,0.47331613302230835,0.23102408647537231,0.17717236280441284
