,the,1970s,allowed,which,network,to,move,in,to,first,place,in,the,ratings,?
in,0.6662389636039734,0.057396724820137024,0.23683252930641174,0.4840516746044159,0.19496823847293854,0.45010748505592346,0.23030683398246765,1.0,0.45010748505592346,0.4127444326877594,0.38128477334976196,1.0,0.6662389636039734,0.17289267480373383,0.20430970191955566
the,1.0,0.004102230537682772,0.2985120713710785,0.6521818041801453,0.27187061309814453,0.535392165184021,0.29817628860473633,0.6662389636039734,0.535392165184021,0.49448907375335693,0.4179787337779999,0.6662389636039734,1.0,0.23356813192367554,0.22068053483963013
early,0.34442198276519775,0.025006351992487907,0.21496057510375977,0.29240089654922485,0.1706339418888092,0.24557004868984222,0.18990126252174377,0.34672921895980835,0.24557004868984222,0.4007106125354767,0.19691842794418335,0.34672921895980835,0.34442198276519775,0.23288412392139435,0.15272949635982513
1970s,0.004102230537682772,1.0000001192092896,0.0738946944475174,0.005460713058710098,0.004718925803899765,0.06756533682346344,0.08270549029111862,0.057396724820137024,0.06756533682346344,0.016542699187994003,0.03506673127412796,0.057396724820137024,0.004102230537682772,0.07169631868600845,0.03861190751194954
",",0.4933079481124878,0.06473266333341599,0.2785535454750061,0.3658004403114319,0.1932937651872635,0.44245919585227966,0.25767531991004944,0.5201468467712402,0.44245919585227966,0.34503069519996643,0.34068408608436584,0.5201468467712402,0.4933079481124878,0.21650241315364838,0.31091248989105225
abc,0.2068762183189392,-0.11265640705823898,0.11095034331083298,0.1991286277770996,0.4295894205570221,0.1762417107820511,0.10701066255569458,0.1697147786617279,0.1762417107820511,0.2403600513935089,0.13112665712833405,0.1697147786617279,0.2068762183189392,0.2876999080181122,0.19065172970294952
completed,0.29278936982154846,0.010520870797336102,0.22685113549232483,0.28856298327445984,0.16920100152492523,0.2867361009120941,0.17910321056842804,0.2960484027862549,0.2867361009120941,0.3614111840724945,0.2123245745897293,0.2960484027862549,0.29278936982154846,0.2172485888004303,0.08272653818130493
its,0.559237003326416,-0.011291023343801498,0.20374268293380737,0.5154205560684204,0.25264307856559753,0.3691340684890747,0.20699678361415863,0.3793783485889435,0.3691340684890747,0.26377397775650024,0.27794507145881653,0.3793783485889435,0.559237003326416,0.245393767952919,0.15103481709957123
transition,0.30452099442481995,-0.03208007290959358,0.17361688613891602,0.33067160844802856,0.16424132883548737,0.21985375881195068,0.2691892087459564,0.2444610297679901,0.21985375881195068,0.2968621551990509,0.26630502939224243,0.2444610297679901,0.30452099442481995,0.17324084043502808,0.15479432046413422
to,0.535392165184021,0.06756533682346344,0.42967355251312256,0.5345056653022766,0.25940340757369995,1.0,0.37858664989471436,0.45010748505592346,1.0,0.3792489171028137,0.3346366882324219,0.45010748505592346,0.535392165184021,0.23899689316749573,0.29463258385658264
