,how,long,did,it,take,for,thoreau,'s,disobedience,to,be,known,?
the,0.33890387415885925,0.3075225353240967,0.34736719727516174,0.6251175999641418,0.31620436906814575,0.4739971458911896,0.30504027009010315,-0.01540423184633255,0.30963727831840515,0.535392165184021,0.4248143136501312,0.3624623417854309,0.22068053483963013
tax,0.24537210166454315,0.10912833362817764,0.22152264416217804,0.17267748713493347,0.19416077435016632,0.2646346986293793,0.27197036147117615,0.0735364556312561,0.35435110330581665,0.24948102235794067,0.19502007961273193,0.002403165213763714,0.2097984105348587
collector,0.1203976646065712,0.11309435963630676,0.16521203517913818,0.16416096687316895,0.14608389139175415,0.2089441567659378,0.30603376030921936,0.05867529660463333,0.12983295321464539,0.18452472984790802,0.18384969234466553,0.21351544559001923,0.10493998229503632
who,0.4070430099964142,0.18512077629566193,0.34038686752319336,0.2868398427963257,0.2940447926521301,0.37110671401023865,0.38208138942718506,0.05599616840481758,0.34217217564582825,0.42656609416007996,0.3371641933917999,0.24757125973701477,0.26220351457595825
arrested,0.07845745980739594,0.10836422443389893,0.2683548331260681,0.1445133239030838,0.19265545904636383,0.25044214725494385,0.2314710021018982,-0.02864701859652996,0.4290798604488373,0.19391043484210968,0.16966858506202698,0.21550697088241577,0.15566205978393555
him,0.3545486629009247,0.18915146589279175,0.4290095865726471,0.33292555809020996,0.29657846689224243,0.34431272745132446,0.3592554032802582,0.004161491058766842,0.3692842423915863,0.4702378511428833,0.2850542664527893,0.12116920202970505,0.23943768441677094
rose,0.1042250394821167,0.07691119611263275,0.029700901359319687,0.17944282293319702,0.16239267587661743,0.09382632374763489,0.258955717086792,0.07569021731615067,0.15720805525779724,0.15193326771259308,0.17787578701972961,0.16029994189739227,0.11847885698080063
to,0.44169697165489197,0.30218687653541565,0.4452643394470215,0.513711154460907,0.4075521230697632,0.4451248347759247,0.3212342858314514,0.03782717138528824,0.30665844678878784,1.0,0.4972836375236511,0.14337651431560516,0.29463258385658264
higher,0.2273179441690445,0.08937932550907135,0.17969463765621185,0.24014347791671753,0.22230735421180725,0.2346303015947342,0.15295319259166718,-0.012609186582267284,0.15809696912765503,0.3279348313808441,0.31005796790122986,0.11994476616382599,0.15679465234279633
political,0.1886202096939087,0.18412449955940247,0.21022029221057892,0.13214361667633057,0.17070813477039337,0.24620850384235382,0.244094580411911,0.04151610657572746,0.3612893521785736,0.2065112292766571,0.19028756022453308,0.15405070781707764,0.17130474746227264
