,who,was,the,broncos,',leading,rusher,for,the,2015,season,?
running,0.2064424604177475,0.20939749479293823,0.28883472084999084,0.2753031253814697,0.18608780205249786,0.21556340157985687,0.22343118488788605,0.3230443000793457,0.28883472084999084,-0.04270157590508461,0.1752285361289978,0.15679655969142914
back,0.2667590379714966,0.2438982129096985,0.3612101674079895,0.2655918300151825,0.23420757055282593,0.14100389182567596,0.230904221534729,0.2631518244743347,0.3612101674079895,0.0385875441133976,0.16828195750713348,0.2397768795490265
c.,0.04752575606107712,-0.18139663338661194,-0.23451577126979828,-0.07336290180683136,-0.10635692626237869,-0.04830479249358177,-0.00011341038771206513,-0.10942672193050385,-0.23451577126979828,-0.3251209259033203,-0.0958937332034111,0.019047532230615616
j.,-0.022884098812937737,0.07399903982877731,0.03800997510552406,-0.012629280798137188,-0.015611421316862106,0.05414048582315445,-0.014716997742652893,-0.07291736453771591,0.03800997510552406,0.10364531725645065,-0.1160099059343338,0.004272869788110256
anderson,0.27154824137687683,0.22858858108520508,0.22428388893604279,0.2760247588157654,0.21255174279212952,0.141205832362175,0.3176623284816742,0.23211809992790222,0.22428388893604279,0.00153326615691185,0.17731475830078125,0.1857001930475235
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.23574475944042206,0.33675912022590637,0.27386704087257385,0.27699869871139526,0.3863949179649353,0.48711544275283813,0.14799827337265015,0.24797968566417694,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,1.0,0.25985947251319885,0.474788099527359,0.3809107840061188,0.2200862467288971,0.4739971458911896,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
team,0.22248858213424683,0.13986483216285706,0.22564226388931274,0.32797038555145264,0.23008745908737183,0.1184927299618721,0.21353307366371155,0.25615394115448,0.22564226388931274,-0.009967954829335213,0.3451383709907532,0.11243411153554916
's,0.05599616840481758,0.008974763564765453,-0.01540423184633255,-0.037254199385643005,0.07651367038488388,-0.05591977760195732,-0.030132587999105453,-0.07241261005401611,-0.01540423184633255,0.023902352899312973,0.06624794006347656,-0.023395681753754616
leading,0.25606170296669006,0.27386704087257385,0.3809107840061188,0.24829493463039398,0.13829252123832703,1.0,0.28786590695381165,0.3854183852672577,0.3809107840061188,0.04016697034239769,0.1614891141653061,0.1360926628112793
