,when,was,the,fis,founded,?
founded,0.16657374799251556,0.36917948722839355,0.2840350568294525,0.10675996541976929,1.0000001192092896,0.09119737893342972
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.21989309787750244,0.2213044911623001,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.26405221223831177,0.1686933934688568,0.23916715383529663
broad,0.17673538625240326,0.10466443002223969,0.27128511667251587,0.06772300601005554,0.015252422541379929,0.15083929896354675
islamist,0.17608045041561127,0.23685774207115173,0.2459319531917572,0.13467499613761902,0.24397364258766174,0.14697067439556122
coalition,0.2245868444442749,0.22617590427398682,0.27709540724754333,0.15551012754440308,0.24363048374652863,0.13521195948123932
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.26741597056388855,0.24877111613750458,0.20430970191955566
1989,-0.1379205584526062,0.06480737775564194,-0.009533590637147427,0.07041449099779129,0.07410608232021332,0.08110656589269638
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.25032639503479004,0.24971328675746918,0.25732165575027466
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.20063583552837372,0.36917948722839355,0.18412111699581146
led,0.2072276622056961,0.34443995356559753,0.3267505168914795,0.10319582372903824,0.27893853187561035,0.09273858368396759
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.1904708743095398,0.264241099357605,0.17966607213020325
abbassi,0.147762730717659,0.28708136081695557,0.26317474246025085,0.31505486369132996,0.26141121983528137,0.1902085393667221
madani,0.14316025376319885,0.2218092381954193,0.21674630045890808,0.22521384060382843,0.19037385284900665,0.23965422809123993
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.288654088973999,0.24976085126399994,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.21142849326133728,0.22426098585128784,0.20544172823429108
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.26405221223831177,0.1686933934688568,0.23916715383529663
charismatic,0.1835067868232727,0.24172300100326538,0.25931552052497864,0.19057366251945496,0.19027511775493622,0.10361214727163315
islamist,0.17608045041561127,0.23685774207115173,0.2459319531917572,0.13467499613761902,0.24397364258766174,0.14697067439556122
young,0.3470209538936615,0.2406257688999176,0.2729646563529968,0.15671856701374054,0.20940189063549042,0.14931946992874146
preacher,0.21381103992462158,0.33722740411758423,0.23548784852027893,0.03270955756306648,0.28488942980766296,0.19625940918922424
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.288654088973999,0.24976085126399994,0.31091248989105225
ali,0.17012666165828705,0.2125740945339203,0.21759866178035736,0.19656461477279663,0.17264485359191895,0.12320320308208466
belhadj,0.234193816781044,0.3422451913356781,0.35732781887054443,0.2334829866886139,0.2870527505874634,0.20613449811935425
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2793008089065552,0.23141497373580933,0.4130953550338745
