,what,did,luther,think,reason,could,not,be,used,to,test,?
for,0.3017193675041199,0.318512886762619,0.12958186864852905,0.35838815569877625,0.42787787318229675,0.3405117690563202,0.39280617237091064,0.3801851272583008,0.4236139953136444,0.4451248347759247,0.2297848016023636,0.264628142118454
luther,0.2134782373905182,0.23667675256729126,1.0,0.16532817482948303,0.1425657421350479,0.1768653839826584,0.21636232733726501,0.15299063920974731,0.08111961930990219,0.18029534816741943,0.10336145013570786,0.1732746809720993
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.3095206320285797,0.24553878605365753,0.27399855852127075,0.3769696354866028,0.39254459738731384,0.3120402991771698,0.44245919585227966,0.17614826560020447,0.31091248989105225
reason,0.3762516975402832,0.2975914180278778,0.1425657421350479,0.45760443806648254,1.0,0.3438085615634918,0.4808345437049866,0.3769439458847046,0.3059914708137512,0.3437597155570984,0.26448285579681396,0.3403966724872589
could,0.4188697934150696,0.6308382749557495,0.1768653839826584,0.4359463155269623,0.3438085615634918,0.9999998807907104,0.5930190086364746,0.4791525900363922,0.3978976011276245,0.5461788773536682,0.20161072909832,0.3411986827850342
be,0.3929833769798279,0.22657383978366852,0.15299063920974731,0.4904957115650177,0.3769439458847046,0.4791525900363922,0.5788898468017578,1.0,0.3731876611709595,0.4972836375236511,0.25003713369369507,0.3324260413646698
used,0.27546408772468567,0.30443844199180603,0.08111961930990219,0.3013586103916168,0.3059914708137512,0.3978976011276245,0.358921617269516,0.3731876611709595,0.9999998807907104,0.40058770775794983,0.2261657863855362,0.22430120408535004
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.3748004138469696,0.3437597155570984,0.5461788773536682,0.5149973034858704,0.4972836375236511,0.40058770775794983,1.0,0.23725658655166626,0.29463258385658264
question,0.5285786390304565,0.2738208472728729,0.20709577202796936,0.5355821251869202,0.41997095942497253,0.33043456077575684,0.40132758021354675,0.3342532515525818,0.24857281148433685,0.33945542573928833,0.29242804646492004,0.48000848293304443
men,0.18620994687080383,0.284831702709198,0.1650136560201645,0.24490629136562347,0.1671430617570877,0.2239415943622589,0.221909761428833,0.18528887629508972,0.1625864952802658,0.24045762419700623,0.06625092774629593,0.1408759206533432
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.30740439891815186,0.26490068435668945,0.3385082483291626,0.39099299907684326,0.41766801476478577,0.3150506615638733,0.48971283435821533,0.22158049046993256,0.20544172823429108
institutions,0.22018329799175262,0.21867677569389343,0.1400638222694397,0.26050788164138794,0.21092459559440613,0.2141183614730835,0.24071906507015228,0.23006395995616913,0.22198167443275452,0.21708254516124725,0.1083366721868515,0.19119486212730408
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.3095206320285797,0.24553878605365753,0.27399855852127075,0.3769696354866028,0.39254459738731384,0.3120402991771698,0.44245919585227966,0.17614826560020447,0.31091248989105225
but,0.5029441118240356,0.49033689498901367,0.20694120228290558,0.5420777797698975,0.45176705718040466,0.49503007531166077,0.6553761959075928,0.5764366984367371,0.3391169309616089,0.5542377829551697,0.17229843139648438,0.27921953797340393
not,0.5449194312095642,0.6481515765190125,0.21636232733726501,0.5479815602302551,0.4808345437049866,0.5930190086364746,0.9999999403953552,0.5788898468017578,0.358921617269516,0.5149973034858704,0.24568605422973633,0.41942933201789856
god,0.3127830922603607,0.2420882135629654,0.2238161414861679,0.28584322333335876,0.2351614385843277,0.25938257575035095,0.25066840648651123,0.21916557848453522,0.18739363551139832,0.2408517301082611,0.15923474729061127,0.23396754264831543
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.31119775772094727,0.3219331204891205,0.3200591504573822,0.4824007451534271,0.4383580684661865,0.33111312985420227,0.4645031690597534,0.23588362336158752,0.4130953550338745
