,what,is,the,most,important,role,of,chloroplasts,?
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.5404669642448425,0.3853038251399994,0.2139739841222763,0.4999135136604309,0.2720645070075989,0.2673267424106598
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.43301743268966675,0.1797693818807602,1.0,0.23179760575294495,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.39348116517066956,0.26607486605644226,0.733189046382904,0.23062430322170258,0.22068053483963013
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.288818359375,0.4633060097694397,0.22617127001285553,0.3177044689655304,0.14365117251873016,0.1665669083595276
functions,0.22357098758220673,0.1740858554840088,0.2567043900489807,0.19445860385894775,0.2694329619407654,0.24643424153327942,0.2328059822320938,0.38193801045417786,0.13745930790901184
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.43301743268966675,0.1797693818807602,1.0,0.23179760575294495,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.39348116517066956,0.26607486605644226,0.733189046382904,0.23062430322170258,0.22068053483963013
chloroplast,0.23505516350269318,0.20798198878765106,0.21317854523658752,0.23533090949058533,0.21669265627861023,0.15384319424629211,0.2069506198167801,0.9777651429176331,0.12532055377960205
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.350485235452652,0.20847192406654358,0.4854315221309662,0.22550933063030243,0.22961433231830597
its,0.30393704771995544,0.4447362422943115,0.559237003326416,0.32324016094207764,0.31383612751960754,0.2062283307313919,0.48690423369407654,0.24104106426239014,0.15103481709957123
role,0.22614215314388275,0.20847192406654358,0.26607486605644226,0.2083391547203064,0.3086093068122864,0.9999998807907104,0.1797693818807602,0.146297886967659,0.18676944077014923
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.3796374499797821,0.243671715259552,0.5696388483047485,0.21141497790813446,0.20430970191955566
photosynthesis,0.261831134557724,0.22769613564014435,0.27159422636032104,0.24084943532943726,0.2988576292991638,0.2296198457479477,0.26824626326560974,0.7245578765869141,0.1871609091758728
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.199491485953331,0.4946078956127167,0.20794041454792023,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.39348116517066956,0.26607486605644226,0.733189046382904,0.23062430322170258,0.22068053483963013
process,0.3466717302799225,0.21762968599796295,0.264274537563324,0.16820742189884186,0.2523403465747833,0.18332748115062714,0.23962904512882233,0.4006134271621704,0.2460896074771881
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.270847886800766,0.1897295117378235,0.20783835649490356,0.3646814823150635,0.1951972097158432,0.17966607213020325
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.4637843072414398,0.37798872590065,0.18845273554325104,0.5011631846427917,0.3874085545539856,0.25814583897590637
light,0.22953972220420837,0.2457275241613388,0.2649136185646057,0.21187102794647217,0.21181468665599823,0.12589681148529053,0.18257063627243042,0.35485613346099854,0.17429810762405396
is,0.28837618231773376,1.0,0.5823672413825989,0.41165053844451904,0.350485235452652,0.20847192406654358,0.4854315221309662,0.22550933063030243,0.22961433231830597
transformed,0.1665840744972229,0.17622648179531097,0.2591012716293335,0.15419021248817444,0.22662119567394257,0.2528204321861267,0.2842146158218384,0.27693983912467957,0.08252272009849548
into,0.2180619090795517,0.2619607150554657,0.39493247866630554,0.19537433981895447,0.17725320160388947,0.12190651893615723,0.32255905866622925,0.18454523384571075,0.15662476420402527
chemical,0.26249468326568604,0.2387559562921524,0.18641819059848785,0.2149663120508194,0.24832764267921448,0.17543673515319824,0.22874756157398224,0.4688074290752411,0.2040288895368576
energy,0.190252885222435,0.2171693742275238,0.26756542921066284,0.17644186317920685,0.21193501353263855,0.18328417837619781,0.26257598400115967,0.3781890571117401,0.14860127866268158
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.3452564477920532,0.199491485953331,0.4946078956127167,0.20794041454792023,0.31091248989105225
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.321603000164032,0.30913278460502625,0.17841029167175293,0.41548454761505127,0.23370109498500824,0.29463258385658264
subsequently,0.10897690057754517,0.12358549237251282,0.2886511981487274,0.16499392688274384,0.08784943073987961,0.15863364934921265,0.19330023229122162,0.15775637328624725,0.005594457965344191
produce,0.1685742735862732,0.26456785202026367,0.23457570374011993,0.24670688807964325,0.18759706616401672,0.09901001304388046,0.19541172683238983,0.4013572037220001,0.19229066371917725
food,0.23540689051151276,0.20563258230686188,0.3025728166103363,0.22719769179821014,0.23705518245697021,0.15994049608707428,0.2602803111076355,0.28908511996269226,0.15376032888889313
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.3796374499797821,0.243671715259552,0.5696388483047485,0.21141497790813446,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.39348116517066956,0.26607486605644226,0.733189046382904,0.23062430322170258,0.22068053483963013
form,0.15868011116981506,0.3218395411968231,0.29286009073257446,0.2929508090019226,0.15997125208377838,0.058378916233778,0.29600051045417786,0.26124995946884155,0.1463010311126709
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.4178851246833801,0.43301743268966675,0.1797693818807602,1.0,0.23179760575294495,0.1826142966747284
sugars,0.2835851311683655,0.23830680549144745,0.2764650881290436,0.23549051582813263,0.2778399884700775,0.16717201471328735,0.26610589027404785,0.6351883411407471,0.18126407265663147
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.33938494324684143,0.22067026793956757,0.5352458953857422,0.23868323862552643,0.4130953550338745
