,what,are,the,main,sources,of,primary,law,?
the,0.42745697498321533,0.40399202704429626,1.0,0.38631999492645264,0.27209216356277466,0.733189046382904,0.25688621401786804,0.24548950791358948,0.22068053483963013
main,0.2344268560409546,0.2828797399997711,0.38631999492645264,1.0000001192092896,0.1818551868200302,0.3177044689655304,0.42449983954429626,0.07402544468641281,0.1665669083595276
sources,0.30212491750717163,0.3228793740272522,0.27209216356277466,0.1818551868200302,1.0,0.20696839690208435,0.27182701230049133,0.20332248508930206,0.2886999845504761
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3177044689655304,0.20696839690208435,1.0,0.23414276540279388,0.2816956341266632,0.1826142966747284
primary,0.2113915979862213,0.24237659573554993,0.25688621401786804,0.42449983954429626,0.27182701230049133,0.23414276540279388,1.0,0.1267443150281906,0.16286636888980865
law,0.2145031988620758,0.13009320199489594,0.24548950791358948,0.07402544468641281,0.20332248508930206,0.2816956341266632,0.1267443150281906,1.0000001192092896,0.1528988480567932
are,0.29724663496017456,1.0,0.40399202704429626,0.2828797399997711,0.3228793740272522,0.39081433415412903,0.24237659573554993,0.13009320199489594,0.24591213464736938
the,0.42745697498321533,0.40399202704429626,1.0,0.38631999492645264,0.27209216356277466,0.733189046382904,0.25688621401786804,0.24548950791358948,0.22068053483963013
treaties,0.2403455525636673,0.23368829488754272,0.28970760107040405,0.1221899762749672,0.1747671216726303,0.3281906247138977,0.13191401958465576,0.39653173089027405,0.1693580597639084
establishing,0.1974942833185196,0.14556282758712769,0.3532279133796692,0.185923770070076,0.2181873768568039,0.31199124455451965,0.20363323390483856,0.3332834541797638,0.1457604318857193
the,0.42745697498321533,0.40399202704429626,1.0,0.38631999492645264,0.27209216356277466,0.733189046382904,0.25688621401786804,0.24548950791358948,0.22068053483963013
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.11931241303682327,0.1349249929189682,0.2507138252258301,0.10110604763031006,0.17164482176303864,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.24421639740467072,0.12240706384181976,0.08081434667110443,0.2642118036746979,0.10285277664661407,0.19371826946735382,0.07797172665596008
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.31122034788131714,0.25805729627609253,0.5352458953857422,0.22422198951244354,0.24482665956020355,0.4130953550338745
,what,are,the,main,sources,of,primary,law,?
the,0.42745697498321533,0.40399202704429626,1.0,0.38631999492645264,0.27209216356277466,0.733189046382904,0.25688621401786804,0.24548950791358948,0.22068053483963013
three,0.24888746440410614,0.38895705342292786,0.43452659249305725,0.29923519492149353,0.14161023497581482,0.3844621181488037,0.19898562133312225,0.16254623234272003,0.20928427577018738
sources,0.30212491750717163,0.3228793740272522,0.27209216356277466,0.1818551868200302,1.0,0.20696839690208435,0.27182701230049133,0.20332248508930206,0.2886999845504761
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.3177044689655304,0.20696839690208435,1.0,0.23414276540279388,0.2816956341266632,0.1826142966747284
european,0.15324164927005768,0.15548661351203918,0.3423081040382385,0.11931241303682327,0.1349249929189682,0.2507138252258301,0.10110604763031006,0.17164482176303864,0.14560863375663757
union,0.1396910548210144,0.15829040110111237,0.24421639740467072,0.12240706384181976,0.08081434667110443,0.2642118036746979,0.10285277664661407,0.19371826946735382,0.07797172665596008
law,0.2145031988620758,0.13009320199489594,0.24548950791358948,0.07402544468641281,0.20332248508930206,0.2816956341266632,0.1267443150281906,1.0000001192092896,0.1528988480567932
are,0.29724663496017456,1.0,0.40399202704429626,0.2828797399997711,0.3228793740272522,0.39081433415412903,0.24237659573554993,0.13009320199489594,0.24591213464736938
primary,0.2113915979862213,0.24237659573554993,0.25688621401786804,0.42449983954429626,0.27182701230049133,0.23414276540279388,1.0,0.1267443150281906,0.16286636888980865
law,0.2145031988620758,0.13009320199489594,0.24548950791358948,0.07402544468641281,0.20332248508930206,0.2816956341266632,0.1267443150281906,1.0000001192092896,0.1528988480567932
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.2989408075809479,0.3490506112575531,0.4946078956127167,0.2565748989582062,0.24953721463680267,0.31091248989105225
secondary,0.20388361811637878,0.24611520767211914,0.21037471294403076,0.33429089188575745,0.32872334122657776,0.219074085354805,0.6853594779968262,0.1541907638311386,0.18118004500865936
law,0.2145031988620758,0.13009320199489594,0.24548950791358948,0.07402544468641281,0.20332248508930206,0.2816956341266632,0.1267443150281906,1.0000001192092896,0.1528988480567932
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.29831406474113464,0.27464351058006287,0.5116966962814331,0.2539214491844177,0.254730761051178,0.20544172823429108
supplementary,0.23133672773838043,0.3076252043247223,0.2643578052520752,0.20719540119171143,0.3321971595287323,0.27749159932136536,0.3744281232357025,0.19569797813892365,0.17542016506195068
law,0.2145031988620758,0.13009320199489594,0.24548950791358948,0.07402544468641281,0.20332248508930206,0.2816956341266632,0.1267443150281906,1.0000001192092896,0.1528988480567932
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.31122034788131714,0.25805729627609253,0.5352458953857422,0.22422198951244354,0.24482665956020355,0.4130953550338745
