,what,company,paid,for,a,super,bowl,50,ad,to,show,a,trailer,of,x-men,:,apocalypse,?
20th,0.1850772649049759,0.13881541788578033,0.12083613127470016,0.19465364515781403,0.24495378136634827,0.2248833030462265,0.16469363868236542,0.023265095427632332,0.18574008345603943,0.20756898820400238,0.24894770979881287,0.24495378136634827,0.23385217785835266,0.21726468205451965,0.1842239946126938,-0.05708693340420723,0.26002100110054016,0.14985637366771698
century,0.20422613620758057,0.20846223831176758,0.18743184208869934,0.18660898506641388,0.19417014718055725,0.12517407536506653,0.08717174082994461,0.003477037651464343,0.3573480248451233,0.20143604278564453,0.1606844961643219,0.19417014718055725,0.09754668176174164,0.2826060354709625,0.24736963212490082,-0.05431302636861801,0.2558077573776245,0.1026201918721199
fox,0.16651637852191925,0.25603240728378296,0.08633742481470108,0.1993214637041092,0.16995559632778168,0.17024748027324677,0.17459118366241455,0.007465891540050507,0.12549227476119995,0.2072722166776657,0.27675753831863403,0.16995559632778168,0.15135587751865387,0.13095848262310028,0.1065092533826828,-0.03502407297492027,0.242493137717247,0.1670110523700714
",",0.3087472915649414,0.2697763442993164,0.18092423677444458,0.4464869201183319,0.427140474319458,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.21154692769050598,0.44245919585227966,0.31928569078445435,0.427140474319458,0.20151035487651825,0.4946078956127167,0.21719399094581604,-0.004729332868009806,0.23481988906860352,0.31091248989105225
lionsgate,0.22215215861797333,0.36814653873443604,0.24763692915439606,0.2642984986305237,0.2585168182849884,0.2803584039211273,0.284046471118927,0.002250801306217909,0.16622374951839447,0.27206581830978394,0.3298693597316742,0.2585168182849884,0.3649771511554718,0.23525218665599823,0.1776968389749527,-0.14374591410160065,0.3291131258010864,0.20515874028205872
",",0.3087472915649414,0.2697763442993164,0.18092423677444458,0.4464869201183319,0.427140474319458,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.21154692769050598,0.44245919585227966,0.31928569078445435,0.427140474319458,0.20151035487651825,0.4946078956127167,0.21719399094581604,-0.004729332868009806,0.23481988906860352,0.31091248989105225
paramount,0.1447969675064087,0.36330583691596985,0.24635596573352814,0.19609104096889496,0.12325868755578995,0.17205844819545746,0.17346921563148499,0.051812537014484406,0.1119685173034668,0.16977928578853607,0.26227688789367676,0.12325868755578995,0.31387844681739807,0.12845782935619354,0.12807747721672058,-0.0916600450873375,0.37977278232574463,0.1511610448360443
pictures,0.25560304522514343,0.2676602602005005,0.21417883038520813,0.1759856790304184,0.17716485261917114,0.11435796320438385,0.13025258481502533,0.02473958395421505,0.13622581958770752,0.20347432792186737,0.2881369888782501,0.17716485261917114,0.2658297121524811,0.19921936094760895,0.18942660093307495,-0.0738585963845253,0.24475425481796265,0.20528490841388702
",",0.3087472915649414,0.2697763442993164,0.18092423677444458,0.4464869201183319,0.427140474319458,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.21154692769050598,0.44245919585227966,0.31928569078445435,0.427140474319458,0.20151035487651825,0.4946078956127167,0.21719399094581604,-0.004729332868009806,0.23481988906860352,0.31091248989105225
universal,0.20640362799167633,0.24939820170402527,0.1164514496922493,0.19553370773792267,0.20401886105537415,0.16074901819229126,0.11771684139966965,0.098045714199543,0.13727696239948273,0.19006553292274475,0.24247325956821442,0.20401886105537415,0.19180795550346375,0.20601727068424225,0.1149689257144928,-0.04396766424179077,0.26508039236068726,0.2074412703514099
